,Player,Nation,Pos,Squad,Born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Medium Cmp,Medium Att,Long Cmp,Long Att,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Tkld,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,Standard Gls,Standard Sh,Standard SoT,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,Performance W,Performance D,Performance L,Performance CS,Performance CS%,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Goals GA,Goals PKA,Goals FK,Goals CK,Goals OG,Expected PSxG,Expected PSxG/SoT,Expected PSxG+/-,Expected /90,Launched Cmp,Launched Att,Launched Cmp%,Passes Att (GK),Passes Thr,Passes Launch%,Passes AvgLen,Goal Kicks Att,Goal Kicks Launch%,Goal Kicks AvgLen,Crosses Opp,Crosses Stp,Crosses Stp%,Sweeper #OPA,Sweeper #OPA/90,Sweeper AvgDist
0,Max Aarons,ENG,DF,Norwich City,2000,32.0,64,44,49,15,0,37,55,18,39,19,20,28,92,96,1,46,1.44,34,3,2,3,3,1,3,0.09,3,0,0,0,0,0,8,0,0,27,52,1,50,28,44,0,2,1,154,13,50,1107,1469,75.4,16588,6133,645,713,383,511,57,160,2,1.7,1.7,0.3,20,50,37,9,117,1841,160,721,703,440,23,1841,68,34,34,953,6454,3377,78,47,12,38,23,1030,85,0,13,2,0.41,0.06,0.0,0.0,19.9,0,0,0,0.8,0.8,0.06,-0.8,-0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Che Adams,SCO,FW,Southampton,1996,22.7,13,6,5,5,3,2,16,14,18,2,16,8,21,18,0,51,2.25,32,0,2,4,11,2,5,0.22,3,0,1,0,0,1,0,0,0,29,40,7,8,8,6,0,0,0,70,61,91,304,472,64.4,4188,1017,188,256,73,106,18,34,3,3.0,1.7,0.0,26,24,10,0,33,712,22,81,293,344,94,712,35,20,15,394,1804,651,19,13,13,59,34,537,153,7,49,24,2.16,1.06,0.14,0.29,13.3,0,0,0,7.1,7.1,0.15,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Rayan Aït Nouri,ALG,DF|MF,Wolves,2001,20.3,64,36,46,15,3,22,44,22,24,2,22,22,86,39,1,45,2.22,30,8,4,0,2,1,6,0.3,4,1,0,0,1,0,4,0,0,14,20,3,96,22,36,1,0,0,128,17,13,763,1025,74.4,12151,4064,418,472,273,361,54,141,2,1.6,1.1,0.4,17,28,14,10,49,1293,49,459,458,392,39,1293,81,42,39,659,3744,1969,60,38,19,44,27,736,127,1,13,4,0.64,0.2,0.08,0.25,17.6,0,0,0,0.6,0.6,0.04,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Kristoffer Ajer,NOR,DF,Brentford,1998,22.2,29,18,21,6,2,13,21,8,19,11,8,26,55,74,0,33,1.5,22,6,2,1,1,1,7,0.32,3,1,2,0,1,0,5,0,0,12,16,0,17,26,18,0,0,0,109,49,31,627,892,70.3,10133,4740,303,372,255,342,47,105,3,1.7,1.8,1.3,8,41,13,2,82,1101,108,442,484,181,31,1101,18,13,5,488,2991,1717,30,25,2,25,7,530,29,1,7,1,0.32,0.05,0.14,1.0,8.8,0,0,0,0.8,0.8,0.11,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Nathan Aké,NED,DF,Manchester City,1995,10.3,16,9,7,8,1,6,8,2,7,5,2,8,24,23,0,5,0.49,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,9,2,0,1,8,9,0,0,0,43,37,12,796,878,90.7,13200,4534,373,399,384,416,29,42,0,0.6,0.5,-0.6,2,63,3,0,57,956,56,332,525,103,10,956,2,0,2,677,3333,2158,12,12,0,4,3,741,8,2,5,2,0.49,0.2,0.4,1.0,7.3,0,0,0,0.7,0.7,0.13,1.3,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Marc Albrighton,ENG,FW|DF,Leicester City,1989,12.6,31,19,16,9,6,10,47,37,15,3,12,14,45,20,0,19,1.51,12,4,0,0,3,0,2,0.16,2,0,0,0,0,0,3,0,0,6,13,2,78,14,19,0,0,0,65,4,13,347,558,62.2,5152,2040,220,258,86,145,26,94,2,2.0,1.0,0.0,11,23,8,6,26,705,35,166,302,243,12,705,40,15,25,357,1616,691,21,14,2,21,8,397,56,1,4,1,0.32,0.08,0.25,1.0,16.3,0,0,0,0.5,0.5,0.12,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Thiago Alcántara,ESP,MF,Liverpool,1991,17.0,48,29,14,24,10,10,42,32,22,2,20,26,74,13,2,67,3.93,57,0,1,7,1,1,6,0.35,6,0,0,0,0,0,2,0,0,19,13,0,4,26,29,0,0,0,126,31,12,1340,1508,88.9,24737,7150,573,624,594,640,150,190,4,2.3,1.7,1.7,29,211,26,1,214,1700,32,247,1106,362,20,1700,32,20,12,1039,5003,2393,24,43,1,16,13,1279,45,1,25,6,1.47,0.35,0.04,0.17,19.3,0,0,0,1.9,1.9,0.08,-0.9,-0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Trent Alexander-Arnold,ENG,DF,Liverpool,1998,31.7,40,23,19,13,8,27,60,33,22,4,18,43,83,40,0,160,5.05,96,53,3,7,1,0,18,0.57,13,4,0,1,0,0,2,0,0,12,7,11,273,43,23,0,0,0,235,15,13,2039,2757,74.0,40112,15683,841,964,811,1048,344,636,12,12.0,13.0,0.0,90,245,85,25,267,3036,71,602,1386,1070,83,3036,39,19,20,1504,5687,2824,53,55,14,41,19,1897,201,2,51,15,1.61,0.47,0.04,0.13,24.0,8,0,0,2.4,2.4,0.05,-0.4,-0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Alisson,BRA,GK,Liverpool,1992,36.0,3,1,3,0,0,3,5,2,1,0,1,0,3,28,1,2,0.06,2,0,0,0,0,0,1,0.03,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,80,15,1,1214,1388,87.5,28439,18286,275,276,686,699,249,409,1,0.2,0.0,0.8,1,16,1,0,1,1469,1042,1452,17,0,0,1469,1,1,0,873,3573,2223,0,0,0,1,0,836,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,24.0,0.67,99.0,76.0,75.8,27.0,7.0,2.0,20.0,55.6,0.0,0.0,0.0,0.0,24.0,0.0,0.0,3.0,1.0,24.4,0.25,1.4,0.04,114.0,258.0,44.2,1216.0,211.0,16.5,26.3,172.0,33.1,33.4,340.0,22.0,6.5,89.0,2.47,18.7
9,Allan,BRA,MF,Everton,1991,24.3,74,44,28,39,7,34,105,71,40,9,31,23,97,39,1,38,1.57,35,0,1,0,1,1,7,0.29,5,0,1,0,1,0,7,1,0,30,22,0,10,23,44,1,0,0,191,11,15,778,982,79.2,12868,4192,356,405,337,402,57,102,2,0.8,1.0,1.2,15,103,20,3,130,1259,77,324,763,191,7,1259,31,21,10,650,3118,1603,26,24,4,38,24,672,18,0,7,3,0.29,0.12,0.0,0.0,24.5,0,0,0,0.2,0.2,0.03,-0.2,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
