,Player,Nation,Pos,Squad,Born,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,Playing Time MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Score,Gk_Score
0,Max Aarons,ENG,DF,Norwich City,2000.0,64.0,44.0,49.0,15.0,0.0,37.0,55.0,67.3,18.0,39.0,19.0,20.0,28.0,92.0,96.0,1.0,46.0,1.44,34.0,3.0,2.0,3.0,3.0,1.0,3.0,0.09,3.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,27.0,52.0,1.0,50.0,28.0,44.0,0.0,2.0,1.0,154.0,13.0,50.0,20.6,1107.0,1469.0,75.4,16588.0,6133.0,645.0,713.0,90.5,383.0,511.0,75.0,57.0,160.0,35.6,2.0,1.7,1.7,0.3,20.0,50.0,37.0,9.0,117.0,34.0,2881.0,85.0,84.2,32.0,32.0,89.0,29.0,2.0,22.0,2.0,0.53,18.0,69.0,-51.0,-1.59,0.08,25.5,60.0,-34.6,-1.08,0.35,1841.0,160.0,721.0,703.0,440.0,23.0,1841.0,68.0,34.0,50.0,34.0,50.0,953.0,6454.0,3377.0,78.0,47.0,12.0,38.0,23.0,1030.0,85.0,0.0,13.0,2.0,15.4,0.41,0.06,0.0,0.0,19.9,0.0,0.0,0.0,0.8,0.8,0.06,-0.8,-0.8,26.386128463500345,0
1,Che Adams,SCO,FW,Southampton,1996.0,13.0,6.0,5.0,5.0,3.0,2.0,16.0,12.5,14.0,18.0,2.0,16.0,8.0,21.0,18.0,0.0,51.0,2.25,32.0,0.0,2.0,4.0,11.0,2.0,5.0,0.22,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,29.0,40.0,7.0,8.0,8.0,6.0,0.0,0.0,0.0,70.0,61.0,91.0,40.1,304.0,472.0,64.4,4188.0,1017.0,188.0,256.0,73.4,73.0,106.0,68.9,18.0,34.0,52.9,3.0,3.0,1.7,0.0,26.0,24.0,10.0,0.0,33.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,0.0,,,,,0.0,712.0,22.0,81.0,293.0,344.0,94.0,712.0,35.0,20.0,57.1,15.0,42.9,394.0,1804.0,651.0,19.0,13.0,13.0,59.0,34.0,537.0,153.0,7.0,49.0,24.0,49.0,2.16,1.06,0.14,0.29,13.3,0.0,0.0,0.0,7.1,7.1,0.15,-0.1,-0.1,,0
2,Rayan Aït Nouri,ALG,DF|MF,Wolves,2001.0,64.0,36.0,46.0,15.0,3.0,22.0,44.0,50.0,22.0,24.0,2.0,22.0,22.0,86.0,39.0,1.0,45.0,2.22,30.0,8.0,4.0,0.0,2.0,1.0,6.0,0.3,4.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,14.0,20.0,3.0,96.0,22.0,36.0,1.0,0.0,0.0,128.0,17.0,13.0,56.7,763.0,1025.0,74.4,12151.0,4064.0,418.0,472.0,88.6,273.0,361.0,75.6,54.0,141.0,38.3,2.0,1.6,1.1,0.4,17.0,28.0,14.0,10.0,49.0,30.0,2039.0,68.0,59.6,22.7,23.0,82.0,13.0,7.0,22.0,4.0,1.03,25.0,40.0,-15.0,-0.66,-0.08,28.5,36.1,-7.7,-0.34,0.16,1293.0,49.0,459.0,458.0,392.0,39.0,1293.0,81.0,42.0,51.9,39.0,48.1,659.0,3744.0,1969.0,60.0,38.0,19.0,44.0,27.0,736.0,127.0,1.0,13.0,4.0,30.8,0.64,0.2,0.08,0.25,17.6,0.0,0.0,0.0,0.6,0.6,0.04,0.4,0.4,,0
3,Kristoffer Ajer,NOR,DF,Brentford,1998.0,29.0,18.0,21.0,6.0,2.0,13.0,21.0,61.9,8.0,19.0,11.0,8.0,26.0,55.0,74.0,0.0,33.0,1.5,22.0,6.0,2.0,1.0,1.0,1.0,7.0,0.32,3.0,1.0,2.0,0.0,1.0,0.0,5.0,0.0,0.0,12.0,16.0,0.0,17.0,26.0,18.0,0.0,0.0,0.0,109.0,49.0,31.0,61.3,627.0,892.0,70.3,10133.0,4740.0,303.0,372.0,81.5,255.0,342.0,74.6,47.0,105.0,44.8,3.0,1.7,1.8,1.3,8.0,41.0,13.0,2.0,82.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,0.0,,,,,0.0,1101.0,108.0,442.0,484.0,181.0,31.0,1101.0,18.0,13.0,72.2,5.0,27.8,488.0,2991.0,1717.0,30.0,25.0,2.0,25.0,7.0,530.0,29.0,1.0,7.0,1.0,14.3,0.32,0.05,0.14,1.0,8.8,0.0,0.0,0.0,0.8,0.8,0.11,0.2,0.2,,0
4,Nathan Aké,NED,DF,Manchester City,1995.0,16.0,9.0,7.0,8.0,1.0,6.0,8.0,75.0,2.0,7.0,5.0,2.0,8.0,24.0,23.0,0.0,5.0,0.49,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,0.0,1.0,8.0,9.0,0.0,0.0,0.0,43.0,37.0,12.0,75.5,796.0,878.0,90.7,13200.0,4534.0,373.0,399.0,93.5,384.0,416.0,92.3,29.0,42.0,69.0,0.0,0.6,0.5,-0.6,2.0,63.0,3.0,0.0,57.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,5.0,,,,,,0.0,,,,,0.0,956.0,56.0,332.0,525.0,103.0,10.0,956.0,2.0,0.0,0.0,2.0,100.0,677.0,3333.0,2158.0,12.0,12.0,0.0,4.0,3.0,741.0,8.0,2.0,5.0,2.0,40.0,0.49,0.2,0.4,1.0,7.3,0.0,0.0,0.0,0.7,0.7,0.13,1.3,1.3,,0
5,Marc Albrighton,ENG,FW|DF,Leicester City,1989.0,31.0,19.0,16.0,9.0,6.0,10.0,47.0,21.3,37.0,15.0,3.0,12.0,14.0,45.0,20.0,0.0,19.0,1.51,12.0,4.0,0.0,0.0,3.0,0.0,2.0,0.16,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,6.0,13.0,2.0,78.0,14.0,19.0,0.0,0.0,0.0,65.0,4.0,13.0,23.5,347.0,558.0,62.2,5152.0,2040.0,220.0,258.0,85.3,86.0,145.0,59.3,26.0,94.0,27.7,2.0,2.0,1.0,0.0,11.0,23.0,8.0,6.0,26.0,23.0,1828.0,79.0,53.5,20.3,20.0,89.0,17.0,3.0,13.0,12.0,1.13,25.0,26.0,-1.0,-0.05,0.18,18.6,33.6,-15.0,-0.74,-0.49,705.0,35.0,166.0,302.0,243.0,12.0,705.0,40.0,15.0,37.5,25.0,62.5,357.0,1616.0,691.0,21.0,14.0,2.0,21.0,8.0,397.0,56.0,1.0,4.0,1.0,25.0,0.32,0.08,0.25,1.0,16.3,0.0,0.0,0.0,0.5,0.5,0.12,0.5,0.5,,0
6,Thiago Alcántara,ESP,MF,Liverpool,1991.0,48.0,29.0,14.0,24.0,10.0,10.0,42.0,23.8,32.0,22.0,2.0,20.0,26.0,74.0,13.0,2.0,67.0,3.93,57.0,0.0,1.0,7.0,1.0,1.0,6.0,0.35,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,19.0,13.0,0.0,4.0,26.0,29.0,0.0,0.0,0.0,126.0,31.0,12.0,72.1,1340.0,1508.0,88.9,24737.0,7150.0,573.0,624.0,91.8,594.0,640.0,92.8,150.0,190.0,78.9,4.0,2.3,1.7,1.7,29.0,211.0,26.0,1.0,214.0,24.0,1995.0,83.0,58.3,22.2,23.0,85.0,17.0,1.0,45.0,3.0,1.29,28.0,31.0,-3.0,-0.14,0.18,27.7,29.8,-2.1,-0.09,-0.05,1700.0,32.0,247.0,1106.0,362.0,20.0,1700.0,32.0,20.0,62.5,12.0,37.5,1039.0,5003.0,2393.0,24.0,43.0,1.0,16.0,13.0,1279.0,45.0,1.0,25.0,6.0,24.0,1.47,0.35,0.04,0.17,19.3,0.0,0.0,0.0,1.9,1.9,0.08,-0.9,-0.9,,0
7,Trent Alexander-Arnold,ENG,DF,Liverpool,1998.0,40.0,23.0,19.0,13.0,8.0,27.0,60.0,45.0,33.0,22.0,4.0,18.0,43.0,83.0,40.0,0.0,160.0,5.05,96.0,53.0,3.0,7.0,1.0,0.0,18.0,0.57,13.0,4.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,12.0,7.0,11.0,273.0,43.0,23.0,0.0,0.0,0.0,235.0,15.0,13.0,53.6,2039.0,2757.0,74.0,40112.0,15683.0,841.0,964.0,87.2,811.0,1048.0,77.4,344.0,636.0,54.1,12.0,12.0,13.0,0.0,90.0,245.0,85.0,25.0,267.0,14.0,923.0,66.0,27.0,10.3,10.0,82.0,8.0,4.0,25.0,22.0,2.64,19.0,3.0,16.0,1.56,-0.49,20.3,5.3,15.0,1.46,-0.31,3036.0,71.0,602.0,1386.0,1070.0,83.0,3036.0,39.0,19.0,48.7,20.0,51.3,1504.0,5687.0,2824.0,53.0,55.0,14.0,41.0,19.0,1897.0,201.0,2.0,51.0,15.0,29.4,1.61,0.47,0.04,0.13,24.0,8.0,0.0,0.0,2.4,2.4,0.05,-0.4,-0.4,,0
8,Alisson,BRA,GK,Liverpool,1992.0,3.0,1.0,3.0,0.0,0.0,3.0,5.0,60.0,2.0,1.0,0.0,1.0,0.0,3.0,28.0,1.0,2.0,0.06,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,80.0,15.0,1.0,93.8,1214.0,1388.0,87.5,28439.0,18286.0,275.0,276.0,99.6,686.0,699.0,98.1,249.0,409.0,60.9,1.0,0.2,0.0,0.8,1.0,16.0,1.0,0.0,1.0,17.0,1132.0,67.0,33.1,12.6,11.0,90.0,11.0,6.0,24.0,17.0,1.35,17.0,24.0,-7.0,-0.56,-0.95,13.3,24.6,-11.3,-0.9,-0.89,1469.0,1042.0,1452.0,17.0,0.0,0.0,1469.0,1.0,1.0,100.0,0.0,0.0,873.0,3573.0,2223.0,0.0,0.0,0.0,1.0,0.0,836.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
9,Allan,BRA,MF,Everton,1991.0,74.0,44.0,28.0,39.0,7.0,34.0,105.0,32.4,71.0,40.0,9.0,31.0,23.0,97.0,39.0,1.0,38.0,1.57,35.0,0.0,1.0,0.0,1.0,1.0,7.0,0.29,5.0,0.0,1.0,0.0,1.0,0.0,7.0,1.0,0.0,30.0,22.0,0.0,10.0,23.0,44.0,1.0,0.0,0.0,191.0,11.0,15.0,42.3,778.0,982.0,79.2,12868.0,4192.0,356.0,405.0,87.9,337.0,402.0,83.8,57.0,102.0,55.9,2.0,0.8,1.0,1.2,15.0,103.0,20.0,3.0,130.0,25.0,1534.0,61.0,44.9,17.0,17.0,80.0,5.0,8.0,22.0,1.0,2.64,43.0,7.0,36.0,2.11,0.59,42.7,10.9,31.9,1.87,0.77,1259.0,77.0,324.0,763.0,191.0,7.0,1259.0,31.0,21.0,67.7,10.0,32.3,650.0,3118.0,1603.0,26.0,24.0,4.0,38.0,24.0,672.0,18.0,0.0,7.0,3.0,42.9,0.29,0.12,0.0,0.0,24.5,0.0,0.0,0.0,0.2,0.2,0.03,-0.2,-0.2,,0
