Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def
1,Issah Abbas,GHA,FW,Mainz 05,19,1998,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2,David Abraham,ARG,DF,Eint Frankfurt,32,1986,15.8,12,0.76,9,0,1,1,1,0,1,0.06,0,0,0,1,0,0
3,Amir Abrashi,ALB,MF,Freiburg,28,1990,8.8,8,0.91,8,0,0,0,0,0,0,0.00,0,0,0,0,0,0
4,Tyler Adams,USA,MF,RB Leipzig,19,1999,8.0,12,1.50,10,0,1,0,1,0,3,0.37,3,0,0,0,0,0
5,Antonis Aidonis,GER,DF,Stuttgart,17,2001,0.9,1,1.13,0,0,0,0,0,1,0,0.00,0,0,0,0,0,0
6,Manuel Akanji,SUI,DF,Dortmund,23,1995,24.5,18,0.73,14,0,1,0,2,1,4,0.16,2,0,0,0,1,1
7,Chadrac Akolo,COD,MF|FW,Stuttgart,23,1995,5.8,21,3.60,15,0,3,2,1,0,1,0.17,1,0,0,0,0,0
8,Kevin Akpoguma,NGA,DF,Hoffenheim,23,1995,5.5,7,1.26,6,0,0,0,1,0,2,0.36,1,0,0,0,1,0
9,Kevin Akpoguma,NGA,DF,Hannover 96,23,1995,3.5,4,1.15,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0
10,David Alaba,AUT,DF,Bayern Munich,26,1992,28.1,84,2.99,64,4,4,10,2,0,9,0.32,7,1,1,0,0,0
11,Lucas Alario,ARG,FW|MF,Leverkusen,25,1992,14.1,31,2.21,29,0,0,1,1,0,4,0.28,4,0,0,0,0,0
12,Miiko Albornoz,CHI,DF|MF,Hannover 96,27,1990,18.4,37,2.01,27,5,2,2,0,1,4,0.22,4,0,0,0,0,0
13,Paco Alcácer,ESP,FW,Dortmund,24,1993,13.5,40,2.97,29,0,2,5,2,2,7,0.52,4,0,0,1,1,1
14,Thiago Alcántara,ESP,MF,Bayern Munich,27,1991,26.8,98,3.66,71,16,4,1,4,2,9,0.34,7,2,0,0,0,0
15,Allan,BRA,MF,Eint Frankfurt,21,1997,2.0,7,3.58,4,1,1,0,1,0,0,0.00,0,0,0,0,0,0
16,Alfons Amade,GER,MF,Hoffenheim,18,1999,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
17,Nadiem Amiri,GER,MF,Hoffenheim,21,1996,8.4,28,3.34,21,1,4,1,1,0,3,0.36,1,0,1,0,1,0
18,Waldemar Anton,GER,DF,Hannover 96,22,1996,34.0,27,0.79,21,2,2,1,1,0,0,0.00,0,0,0,0,0,0
19,Dennis Aogo,GER,MF,Stuttgart,31,1987,11.4,26,2.28,15,8,1,2,0,0,1,0.09,0,0,0,1,0,0
20,Charles Aránguiz,CHI,MF,Leverkusen,29,1989,21.0,72,3.42,64,4,0,3,1,0,13,0.62,12,0,0,1,0,0
21,Maximilian Arnold,GER,MF,Wolfsburg,24,1994,31.9,90,2.82,41,30,4,6,9,0,14,0.44,4,6,1,1,2,0
22,Takuma Asano,JPN,MF|FW,Hannover 96,23,1994,7.8,14,1.81,6,0,1,4,3,0,0,0.00,0,0,0,0,0,0
23,Santiago Ascacíbar,ARG,MF,Stuttgart,21,1997,27.0,45,1.67,39,0,0,5,1,0,4,0.15,3,0,0,1,0,0
24,Simon Asta,GER,DF,Augsburg,17,2001,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
25,Jean-Kévin Augustin,FRA,FW,RB Leipzig,21,1997,5.1,17,3.32,9,0,3,1,4,0,2,0.39,0,0,1,1,0,0
26,Ludwig Augustinsson,SWE,DF,Werder Bremen,24,1994,33.6,82,2.44,65,12,1,3,1,0,9,0.27,8,0,0,1,0,0
27,Kaan Ayhan,TUR,DF,Düsseldorf,23,1994,27.2,25,0.92,21,1,0,3,0,0,1,0.04,1,0,0,0,0,0
28,Florian Baak,GER,MF,Hertha BSC,19,1999,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
29,Holger Badstuber,GER,DF,Stuttgart,29,1989,5.8,2,0.34,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
30,Daniel Baier,GER,MF,Augsburg,34,1984,31.3,66,2.11,55,2,0,2,5,2,5,0.16,4,0,0,0,1,0
31,Leon Bailey,JAM,FW,Leverkusen,20,1997,21.3,90,4.23,54,14,9,7,6,0,3,0.14,2,0,0,1,0,0
32,Marvin Bakalorz,GER,MF,Hannover 96,28,1989,16.3,18,1.10,13,0,1,0,4,0,2,0.12,1,0,0,0,1,0
33,Ridle Baku,GER,MF,Mainz 05,20,1998,10.4,22,2.12,20,0,1,0,1,0,0,0.00,0,0,0,0,0,0
34,Philipp Bargfrede,GER,MF|DF,Werder Bremen,29,1989,12.0,13,1.08,13,0,0,0,0,0,0,0.00,0,0,0,0,0,0
35,Aymen Barkok,MAR,MF,Düsseldorf,20,1998,5.7,7,1.23,7,0,0,0,0,0,0,0.00,0,0,0,0,0,0
36,Leandro Barreiro Martins,LUX,MF,Mainz 05,18,2000,1.0,2,2.00,1,0,1,0,0,0,0,0.00,0,0,0,0,0,0
37,Fin Bartels,GER,MF|FW,Werder Bremen,31,1987,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
38,Robert Bauer,GER,DF,Nürnberg,23,1995,19.1,30,1.57,17,10,0,0,2,1,0,0.00,0,0,0,0,0,0
39,Oliver Baumann,GER,GK,Hoffenheim,28,1990,33.0,6,0.18,4,2,0,0,0,0,2,0.06,2,0,0,0,0,0
40,Timo Baumgartl,GER,DF,Stuttgart,22,1996,18.0,9,0.50,7,2,0,0,0,0,0,0.00,0,0,0,0,0,0
41,Julian Baumgartlinger,AUT,MF,Leverkusen,30,1988,17.3,35,2.02,33,1,0,1,0,0,3,0.17,3,0,0,0,0,0
42,Christoph Baumgartner,AUT,MF,Hoffenheim,18,1999,0.9,6,6.35,1,0,3,0,2,0,3,3.18,1,0,1,0,1,0
43,Noah Joel Sarenren Bazee,NGA,FW|MF,Hannover 96,21,1996,1.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
44,Ihlas Bebou,TOG,MF|FW,Hannover 96,24,1994,11.8,51,4.31,31,3,8,4,3,2,8,0.68,5,0,2,0,1,0
45,Uffe Bech,DEN,FW,Hannover 96,25,1993,0.2,2,9.47,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
46,Andreas Beck,GER,DF,Stuttgart,31,1987,19.7,33,1.67,26,3,1,0,2,1,4,0.20,4,0,0,0,0,0
47,Hanno Behrens,GER,MF,Nürnberg,28,1990,29.3,61,2.08,48,0,1,9,2,1,4,0.14,2,0,0,2,0,0
48,Ishak Belfodil,ALG,FW|MF,Hoffenheim,26,1992,20.7,77,3.72,45,1,16,10,5,0,9,0.43,3,0,2,3,1,0
49,Stefan Bell,GER,DF,Mainz 05,26,1991,25.0,46,1.84,40,1,2,2,1,0,2,0.08,2,0,0,0,0,0
50,Karim Bellarabi,GER,FW,Leverkusen,28,1990,11.7,45,3.84,37,0,2,4,1,1,6,0.51,5,0,0,1,0,0
51,Lars Bender,GER,MF|DF,Leverkusen,29,1989,15.1,30,1.99,23,4,0,2,1,0,5,0.33,5,0,0,0,0,0
52,Sven Bender,GER,DF,Leverkusen,29,1989,22.1,14,0.63,11,0,0,3,0,0,0,0.00,0,0,0,0,0,0
53,László Bénes,SVK,MF|FW,M'Gladbach,20,1997,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
54,Nabil Bentaleb,ALG,MF,Schalke 04,23,1994,19.9,45,2.26,26,9,0,3,5,2,2,0.10,1,0,0,1,0,0
55,Jordan Beyer,GER,DF,M'Gladbach,18,2000,8.0,8,1.00,6,0,1,1,0,0,2,0.25,2,0,0,0,0,0
56,Ermin Bičakčić,BIH,DF,Hoffenheim,28,1990,19.9,19,0.96,18,0,0,1,0,0,5,0.25,5,0,0,0,0,0
57,Leonardo Bittencourt,GER,MF,Hoffenheim,24,1993,11.9,53,4.46,37,6,0,4,5,1,6,0.51,5,0,0,1,0,0
58,Pablo de Blasis,ARG,FW,Mainz 05,30,1988,1.0,1,1.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
59,Danny Blum,GER,MF,Eint Frankfurt,27,1991,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
60,Jérôme Boateng,GER,DF,Bayern Munich,29,1988,18.8,30,1.59,27,0,1,2,0,0,5,0.27,5,0,0,0,0,0
61,Adam Bodzek,GER,MF|DF,Düsseldorf,32,1985,17.7,26,1.47,19,2,0,0,3,2,3,0.17,2,0,0,0,0,1
