Rk,Player,Nation,Pos,Squad,Age,Born,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%
1,Issah Abbas,GHA,FW,Mainz 05,19,1998,0.1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,
2,David Abraham,ARG,DF,Eint Frankfurt,32,1986,15.8,2,0,0,11,9,0,8,24,14,0,0,0,104,40,22,64.5
3,Amir Abrashi,ALB,MF,Freiburg,28,1990,8.8,5,0,0,19,16,0,2,14,11,0,0,0,61,5,4,55.6
4,Tyler Adams,USA,MF,RB Leipzig,19,1999,8.0,0,0,0,13,11,0,2,16,17,0,0,0,60,17,14,54.8
5,Antonis Aidonis,GER,DF,Stuttgart,17,2001,0.9,1,0,0,1,0,0,6,2,1,0,0,0,4,2,4,33.3
6,Manuel Akanji,SUI,DF,Dortmund,23,1995,24.5,1,0,0,13,17,0,2,27,19,0,0,0,121,44,37,54.3
7,Chadrac Akolo,COD,MF|FW,Stuttgart,23,1995,5.8,0,0,0,8,15,1,8,4,6,0,0,0,31,6,17,26.1
8,Kevin Akpoguma,NGA,DF,Hoffenheim,23,1995,5.5,2,0,0,6,10,0,0,12,15,0,0,0,31,5,7,41.7
9,Kevin Akpoguma,NGA,DF,Hannover 96,23,1995,3.5,2,0,0,4,2,0,0,10,6,0,1,0,14,6,5,54.5
10,David Alaba,AUT,DF,Bayern Munich,26,1992,28.1,4,0,0,13,11,5,115,31,21,0,0,0,148,24,22,52.2
11,Lucas Alario,ARG,FW|MF,Leverkusen,25,1992,14.1,1,0,0,23,24,14,5,1,8,0,0,0,37,40,72,35.7
12,Miiko Albornoz,CHI,DF|MF,Hannover 96,27,1990,18.4,3,1,0,34,37,1,57,16,26,0,1,0,94,8,24,25.0
13,Paco Alcácer,ESP,FW,Dortmund,24,1993,13.5,0,0,0,5,7,9,3,6,1,0,0,0,26,12,33,26.7
14,Thiago Alcántara,ESP,MF,Bayern Munich,27,1991,26.8,5,0,0,52,34,0,69,44,65,0,1,0,266,34,38,47.2
15,Allan,BRA,MF,Eint Frankfurt,21,1997,2.0,1,0,0,5,5,0,3,0,4,0,0,0,10,1,3,25.0
16,Alfons Amade,GER,MF,Hoffenheim,18,1999,0.1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,100.0
17,Nadiem Amiri,GER,MF,Hoffenheim,21,1996,8.4,1,0,0,14,14,0,11,7,9,0,0,0,44,3,8,27.3
18,Waldemar Anton,GER,DF,Hannover 96,22,1996,34.0,4,0,0,25,19,0,5,69,32,0,1,1,215,83,73,53.2
19,Dennis Aogo,GER,MF,Stuttgart,31,1987,11.4,1,0,0,9,6,2,52,9,10,0,0,0,63,11,4,73.3
20,Charles Aránguiz,CHI,MF,Leverkusen,29,1989,21.0,3,0,0,27,32,0,24,25,30,0,0,0,160,12,11,52.2
21,Maximilian Arnold,GER,MF,Wolfsburg,24,1994,31.9,7,0,0,45,81,2,134,35,30,1,0,0,207,25,44,36.2
22,Takuma Asano,JPN,MF|FW,Hannover 96,23,1994,7.8,0,0,0,5,14,5,9,2,3,0,0,0,25,5,22,18.5
23,Santiago Ascacíbar,ARG,MF,Stuttgart,21,1997,27.0,10,1,0,24,33,0,11,43,50,0,0,1,190,28,39,41.8
