Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off
1,Issah Abbas,GHA,FW,Mainz 05,19,1998,1,9,9,0.3,0.1,0,,0,1,8,2,1.00,0,0,0,0.00,+0.32,0.1,0.1,0.0,-0.40,-0.16
2,David Abraham,ARG,DF,Eint Frankfurt,32,1986,17,1420,84,46.4,15.8,17,84,15,0,,3,1.35,28,29,-1,-0.06,-0.78,25.9,26.6,-0.6,-0.04,-0.43
3,Amir Abrashi,ALB,MF,Freiburg,28,1990,10,790,79,25.8,8.8,9,85,7,1,22,2,1.20,10,15,-5,-0.57,-0.17,8.0,16.2,-8.2,-0.93,-0.45
4,Tyler Adams,USA,MF,RB Leipzig,19,1999,10,721,72,23.6,8.0,8,85,6,2,23,1,2.10,18,2,+16,+2.00,+1.30,17.3,6.9,+10.4,+1.30,+0.73
5,Antonis Aidonis,GER,DF,Stuttgart,17,2001,2,80,40,2.6,0.9,1,80,0,1,0,4,1.50,0,2,-2,-2.25,-1.16,0.4,1.3,-0.9,-0.98,-0.40
6,Manuel Akanji,SUI,DF,Dortmund,23,1995,25,2205,88,72.1,24.5,25,88,24,0,,0,2.28,60,35,+25,+1.02,-0.24,43.2,30.3,+12.9,+0.52,-0.39
7,Chadrac Akolo,COD,MF|FW,Stuttgart,23,1995,16,525,33,17.2,5.8,5,66,0,11,18,5,0.94,7,12,-5,-0.86,+0.31,6.4,8.5,-2.2,-0.37,+0.26
8,Kevin Akpoguma,NGA,DF,Hoffenheim,23,1995,8,499,62,16.3,5.5,5,86,4,3,24,2,1.63,11,12,-1,-0.18,-0.85,9.9,12.3,-2.4,-0.44,-1.34
9,Kevin Akpoguma,NGA,DF,Hannover 96,23,1995,4,313,78,10.2,3.5,4,78,3,0,,0,0.75,1,9,-8,-2.30,-1.25,2.3,7.1,-4.7,-1.36,-0.51
10,David Alaba,AUT,DF,Bayern Munich,26,1992,31,2530,82,82.7,28.1,29,85,24,2,27,0,2.29,71,27,+44,+1.57,-0.47,68.4,23.6,+44.9,+1.60,-0.70
