Squad,# Pl,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err
Augsburg,30,34.0,591,376,280,262,49,238,515,46.2,277,404,130,274,467,1058,754,15
Bayern Munich,24,34.0,465,294,172,210,83,165,410,40.2,245,313,61,252,336,801,368,10
Dortmund,23,34.0,497,319,242,194,61,181,402,45.0,221,334,79,255,384,881,659,17
Düsseldorf,24,34.0,625,384,345,233,47,250,621,40.3,371,374,107,267,419,1044,760,14
Eint Frankfurt,30,34.0,598,371,291,246,61,233,539,43.2,306,465,102,363,360,958,708,4
Freiburg,28,34.0,570,357,301,211,58,213,503,42.3,290,401,121,280,374,944,882,12
Hannover 96,32,34.0,583,342,305,228,50,262,628,41.7,366,434,124,310,459,1042,797,10
Hertha BSC,26,34.0,538,352,251,235,52,178,451,39.5,273,423,117,306,381,919,823,7
Hoffenheim,29,34.0,571,363,260,237,74,206,528,39.0,322,419,104,315,399,970,638,13
Leverkusen,21,34.0,583,368,298,217,68,230,543,42.4,313,416,96,320,358,941,687,7
M'Gladbach,22,34.0,498,292,258,192,48,198,466,42.5,268,382,102,280,310,808,648,18
Mainz 05,28,34.0,528,309,256,219,53,220,467,47.1,247,455,123,332,395,923,728,12
Nürnberg,27,34.0,551,350,335,175,41,253,560,45.2,307,382,119,263,354,905,840,12
RB Leipzig,23,34.0,657,398,300,279,78,282,580,48.6,298,455,70,385,416,1073,717,1
Schalke 04,32,34.0,631,381,279,286,66,251,594,42.3,343,464,119,345,419,1050,657,16
Stuttgart,26,34.0,576,362,299,217,60,204,476,42.9,272,422,116,306,399,975,898,12
Werder Bremen,24,34.0,549,344,256,230,63,216,553,39.1,337,426,109,317,407,956,817,10
Wolfsburg,25,34.0,542,343,272,209,61,219,505,43.4,286,399,95,304,426,968,791,18
