Squad,# Pl,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP
Augsburg,30,34.0,10999,15066,73.0,201057,82127,4694,5561,84.4,4346,5391,80.6,1453,2889,50.3,33,32.0,31.0,+1.0,330,788,246,85,1158
Bayern Munich,24,34.0,20441,23944,85.4,364171,112358,8740,9555,91.5,8799,9768,90.1,2223,3234,68.7,62,66.1,74.4,-4.1,472,1576,448,75,2192
Dortmund,23,34.0,18779,22172,84.7,321433,102680,8942,9896,90.4,7550,8454,89.3,1786,2686,66.5,60,46.0,47.6,+14.0,336,1358,268,41,1637
Düsseldorf,24,34.0,11056,14623,75.6,215151,84981,4513,5328,84.7,4477,5457,82.0,1747,2983,58.6,35,32.2,31.6,+2.8,306,875,218,68,1202
Eint Frankfurt,30,34.0,10568,14928,70.8,203665,90955,4348,5357,81.2,4481,5764,77.7,1487,2856,52.1,42,42.9,38.7,-0.9,303,959,216,77,1247
Freiburg,28,34.0,11389,14903,76.4,224099,84304,4258,4977,85.6,5063,5971,84.8,1692,2999,56.4,25,26.5,25.1,-1.5,301,756,201,71,1064
Hannover 96,32,34.0,11348,15117,75.1,209729,84211,4887,5751,85.0,4591,5605,81.9,1495,2768,54.0,20,27.2,26.9,-7.2,281,776,215,57,1105
Hertha BSC,26,34.0,12348,16140,76.5,224985,90720,5628,6555,85.9,4809,5819,82.6,1535,2810,54.6,32,36.8,33.8,-4.8,307,837,226,70,1241
Hoffenheim,29,34.0,14436,18031,80.1,255965,97949,6457,7333,88.1,5920,6919,85.6,1572,2667,58.9,49,56.8,56.0,-7.8,470,1136,346,91,1589
Leverkusen,21,34.0,18245,22081,82.6,314578,108444,8254,9224,89.5,7291,8289,88.0,1870,2924,64.0,51,43.8,49.7,+7.2,381,1266,356,78,1791
M'Gladbach,22,34.0,15736,19093,82.4,294502,95475,6089,6877,88.5,7411,8275,89.6,1842,2946,62.5,43,36.7,36.0,+6.3,346,1108,285,64,1532
Mainz 05,28,34.0,11451,15327,74.7,221968,84862,4848,5702,85.0,4652,5677,81.9,1759,3169,55.5,30,37.5,37.6,-7.5,363,990,255,83,1261
Nürnberg,27,34.0,10558,14199,74.4,195884,77242,4429,5210,85.0,4431,5373,82.5,1327,2687,49.4,16,21.1,25.4,-5.1,243,700,166,41,989
RB Leipzig,23,34.0,12448,16841,73.9,204197,88278,6154,7307,84.2,4271,5496,77.7,1254,2457,51.0,41,46.0,41.6,-5.0,383,1085,324,70,1607
Schalke 04,32,34.0,10812,14474,74.7,209639,80371,4241,5068,83.7,4874,5828,83.6,1509,2800,53.9,23,29.7,27.0,-6.7,305,837,211,47,1148
Stuttgart,26,34.0,11198,15209,73.6,207957,79413,4792,5632,85.1,4494,5530,81.3,1508,2949,51.1,26,28.2,30.9,-2.2,304,815,229,103,1130
Werder Bremen,24,34.0,14383,18331,78.5,263762,98861,6170,7164,86.1,6226,7355,84.6,1677,2875,58.3,38,33.7,36.7,+4.3,351,1200,310,90,1672
Wolfsburg,25,34.0,13184,17159,76.8,266544,93327,4662,5657,82.4,5838,6892,84.7,2242,3502,64.0,38,33.0,35.0,+5.0,312,901,272,95,1320
