Squad,# Pl,Age,Playing Time MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90
Augsburg,30,26.5,34,3060,90,100,34.0,374,85,,94,22,144,0.94,51,71,-20,-0.59,45.3,61.1,-15.8,-0.46
Bayern Munich,24,27.4,34,3060,90,100,34.0,374,85,,102,20,133,2.29,88,32,+56,+1.65,85.6,27.2,+58.4,+1.72
Dortmund,23,24.8,34,3060,90,100,34.0,374,85,,100,17,137,2.24,81,44,+37,+1.09,61.5,39.9,+21.5,+0.63
Düsseldorf,24,26.9,34,3060,90,100,34.0,374,85,,97,19,140,1.29,49,65,-16,-0.47,47.1,62.4,-15.3,-0.45
Eint Frankfurt,30,26.4,34,3060,90,100,34.0,374,84,,93,21,145,1.59,60,48,+12,+0.35,57.2,50.7,+6.6,+0.19
Freiburg,28,25.8,34,3060,90,100,34.0,374,85,,101,20,137,1.06,46,61,-15,-0.44,40.9,61.1,-20.2,-0.60
Hannover 96,32,26.3,34,3060,90,100,34.0,374,84,,97,22,141,0.62,31,71,-40,-1.18,37.2,67.8,-30.6,-0.90
Hertha BSC,26,25.9,34,3060,90,100,34.0,374,85,,92,20,145,1.26,49,57,-8,-0.24,51.0,61.4,-10.5,-0.31
Hoffenheim,29,25.5,34,3060,90,100,34.0,374,84,,100,23,138,1.50,70,52,+18,+0.53,75.9,52.5,+23.4,+0.69
Leverkusen,21,25.3,34,3060,90,100,34.0,374,85,,93,22,144,1.71,69,52,+17,+0.50,58.3,44.0,+14.3,+0.42
M'Gladbach,22,26.5,34,3060,90,100,34.0,374,84,,102,20,136,1.62,55,42,+13,+0.38,52.2,52.3,0.0,0.00
Mainz 05,28,24.2,34,3060,90,100,34.0,374,85,,102,20,136,1.26,46,57,-11,-0.32,51.2,59.2,-8.0,-0.24
Nürnberg,27,24.9,34,3060,90,100,34.0,374,84,,96,20,141,0.56,26,68,-42,-1.24,35.7,52.9,-17.2,-0.51
RB Leipzig,23,24.0,34,3060,90,100,34.0,374,86,,100,15,138,1.94,63,29,+34,+1.00,65.7,40.5,+25.2,+0.74
Schalke 04,32,25.8,34,3060,90,100,34.0,374,84,,97,21,141,0.97,37,55,-18,-0.53,45.6,50.1,-4.5,-0.13
Stuttgart,26,26.3,34,3060,90,100,34.0,374,84,,101,23,137,0.82,32,70,-38,-1.12,38.0,58.2,-20.1,-0.59
Werder Bremen,24,27.1,34,3060,90,100,34.0,374,84,,101,22,137,1.56,58,49,+9,+0.26,49.8,56.1,-6.4,-0.19
Wolfsburg,25,25.4,34,3060,90,100,34.0,374,86,,97,16,140,1.62,62,50,+12,+0.35,47.6,48.3,-0.7,-0.02
