Squad,# Pl,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,Performance W,Performance D,Performance L,Performance CS,Performance CS%,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%
Augsburg,2,34,34,3060,34.0,63,1.85,155,94,59.4,9,9,16,7,20.6,1,0,1,0,100.0
Bayern Munich,2,34,34,3060,34.0,32,0.94,113,81,74.3,26,4,4,15,44.1,4,3,1,0,25.0
Dortmund,2,34,34,3060,34.0,41,1.21,102,64,62.7,21,6,7,15,44.1,3,3,0,0,0.0
Düsseldorf,2,34,34,3060,34.0,67,1.97,177,112,63.8,6,12,16,4,11.8,5,3,2,0,40.0
Eint Frankfurt,3,34,34,3060,34.0,60,1.76,174,116,67.2,13,6,15,5,14.7,3,3,0,0,0.0
Freiburg,3,34,34,3060,34.0,47,1.38,191,144,77.0,13,9,12,7,20.6,4,3,0,1,0.0
Hertha BSC,3,34,34,3058,34.0,59,1.74,173,116,69.9,11,8,15,9,26.5,7,7,0,0,0.0
Hoffenheim,2,34,34,3060,34.0,53,1.56,167,114,71.9,15,7,12,8,23.5,8,6,2,0,25.0
Köln,1,34,34,3060,34.0,69,2.03,156,87,58.3,10,6,18,6,17.6,6,4,2,0,33.3
Leverkusen,1,34,34,3060,34.0,44,1.29,143,99,70.6,19,6,9,10,29.4,2,2,0,0,0.0
M'Gladbach,1,34,34,3060,34.0,40,1.18,158,117,75.3,20,5,9,7,20.6,2,1,1,0,50.0
Mainz 05,2,34,34,3060,34.0,65,1.91,181,115,65.7,11,4,19,5,14.7,5,3,2,0,40.0
Paderborn 07,2,34,34,3060,34.0,74,2.18,185,112,62.2,4,8,22,5,14.7,5,4,1,0,20.0
RB Leipzig,2,34,34,3060,34.0,37,1.09,121,84,71.1,18,12,4,10,29.4,2,2,0,0,0.0
Schalke 04,2,34,34,3057,34.0,58,1.71,173,117,69.9,9,12,13,7,20.6,6,6,0,0,0.0
Union Berlin,2,34,34,3060,34.0,58,1.71,167,109,67.1,12,5,17,8,23.5,4,3,1,0,25.0
Werder Bremen,2,34,34,3060,34.0,69,2.03,174,108,60.9,8,7,19,4,11.8,1,1,0,0,0.0
Wolfsburg,2,34,34,3060,34.0,46,1.35,142,97,71.1,13,10,11,8,23.5,5,5,0,0,0.0
