Squad,# Pl,90s,Goals GA,Goals PKA,Goals FK,Goals CK,Goals OG,Expected PSxG,Expected PSxG/SoT,Expected PSxG+/-,Expected /90,Launched Cmp,Launched Att,Launched Cmp%,Passes Att (GK),Passes Thr,Passes Launch%,Passes AvgLen,Goal Kicks Att,Goal Kicks Launch%,Goal Kicks AvgLen,Crosses Opp,Crosses Stp,Crosses Stp%,Sweeper #OPA,Sweeper #OPA/90,Sweeper AvgDist
Augsburg,2,34.0,63,0,0,3,3,56.7,0.36,-3.3,-0.10,197,622,31.7,947,153,45.1,35.1,303,64.4,49.6,550,23,4.2,45,1.32,13.9
Bayern Munich,2,34.0,32,3,0,6,1,35.8,0.29,+4.8,+0.14,141,283,49.8,1309,208,19.4,24.0,190,15.3,27.4,314,10,3.2,124,3.65,14.3
Dortmund,2,34.0,41,3,0,7,3,37.9,0.36,-0.1,0.00,92,294,31.3,922,196,24.3,28.2,226,31.0,33.7,344,12,3.5,49,1.44,15.4
Düsseldorf,2,34.0,67,3,1,7,4,57.7,0.31,-5.3,-0.16,244,583,41.9,981,159,43.5,36.9,256,60.9,48.5,471,20,4.2,36,1.06,12.9
Eint Frankfurt,3,34.0,60,3,1,5,2,51.9,0.28,-6.1,-0.18,253,571,44.3,1149,141,39.6,33.2,231,50.2,41.2,418,20,4.8,48,1.41,13.5
Freiburg,3,34.0,47,3,0,6,0,53.2,0.26,+6.2,+0.18,218,618,35.3,1083,169,35.0,35.9,365,65.5,52.2,554,18,3.2,23,0.68,12.6
Hertha BSC,3,34.0,59,7,3,8,2,50.5,0.26,-6.5,-0.19,306,671,45.6,934,139,50.4,39.5,273,73.3,50.8,548,36,6.6,29,0.85,22.8
Hoffenheim,2,34.0,53,6,0,4,2,54.7,0.28,+3.7,+0.11,150,437,34.3,1151,200,28.6,29.9,293,36.9,34.8,565,22,3.9,38,1.12,13.9
Köln,1,34.0,69,4,1,11,2,54.8,0.32,-12.2,-0.36,270,552,48.9,901,103,46.5,37.9,297,44.8,38.4,479,20,4.2,23,0.68,11.8
Leverkusen,1,34.0,44,2,1,4,0,48.1,0.33,+4.1,+0.12,180,498,36.1,1365,204,30.4,32.3,232,35.8,35.9,365,14,3.8,55,1.62,16.7
M'Gladbach,1,34.0,40,1,1,3,0,47.5,0.29,+7.5,+0.22,180,418,43.1,1263,169,25.7,29.8,282,33.3,34.6,501,13,2.6,49,1.44,16.9
Mainz 05,2,34.0,65,3,3,7,1,58.9,0.31,-5.1,-0.15,194,577,33.6,953,225,39.7,36.8,316,63.0,48.3,555,33,5.9,35,1.03,13.6
Paderborn 07,2,34.0,74,4,3,7,2,60.7,0.31,-11.3,-0.33,160,359,44.6,1180,225,24.1,31.5,282,26.6,29.9,524,10,1.9,27,0.79,15.2
RB Leipzig,2,34.0,37,2,0,7,0,38.0,0.30,+1.0,+0.03,121,346,35.0,1102,195,24.4,25.9,237,32.5,33.6,420,19,4.5,71,2.09,17.6
Schalke 04,2,34.0,58,6,2,9,2,54.3,0.29,-1.7,-0.05,176,549,32.1,1043,138,37.5,37.6,267,59.2,45.4,488,28,5.7,31,0.91,12.7
Union Berlin,2,34.0,58,3,0,7,1,51.9,0.29,-5.1,-0.15,383,841,45.5,1107,122,55.9,41.7,276,80.4,56.5,529,32,6.0,38,1.12,13.4
Werder Bremen,2,34.0,69,1,1,11,3,50.5,0.29,-15.5,-0.46,205,506,40.5,917,160,37.4,33.8,310,52.6,41.9,614,12,2.0,31,0.91,12.0
Wolfsburg,2,34.0,46,5,1,4,0,45.7,0.29,-0.3,-0.01,235,540,43.5,994,159,40.7,36.4,240,56.3,45.0,460,21,4.6,46,1.35,16.3
