Rk,Player,Nation,Pos,Squad,Age,Born,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%
1,Issah Abbas,GHA,DF|FW,Mainz 05,21,1998,0.2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,
2,David Abraham,ARG,DF,Eint Frankfurt,34,1986,13.6,5,1,1,9,6,1,13,17,12,0,0,0,76,31,18,63.3
3,Amir Abrashi,ALB,MF|DF,Freiburg,30,1990,0.7,0,0,0,4,0,0,0,2,1,0,0,0,6,1,2,33.3
4,Ragnar Ache,GER,FW|DF,Eint Frankfurt,22,1998,1.1,1,0,0,5,1,1,1,1,0,0,0,0,3,9,7,56.3
5,Tyler Adams,USA,MF|DF,RB Leipzig,21,1999,20.6,3,0,0,29,29,2,19,29,24,0,0,0,169,21,13,61.8
6,Sargis Adamyan,ARM,FW|MF,Hoffenheim,27,1993,5.3,2,0,0,5,8,3,10,6,4,0,0,0,20,11,11,50.0
7,Felix Agu,GER,DF,Werder Bremen,20,1999,7.8,0,0,0,5,26,1,12,12,9,0,0,0,45,13,11,54.2
8,Naouirou Ahamada,FRA,MF,Stuttgart,18,2002,2.8,2,1,0,6,9,0,0,1,1,0,1,0,16,0,1,0.0
9,Manuel Akanji,SUI,DF,Dortmund,25,1995,26.1,4,0,0,22,18,0,2,49,22,1,1,0,148,46,30,60.5
10,Kevin Akpoguma,NGA,DF,Hoffenheim,25,1995,13.2,1,0,0,15,16,0,8,13,12,0,0,0,69,21,28,42.9
11,David Alaba,AUT,DF|MF,Bayern Munich,28,1992,29.7,4,0,0,19,10,0,37,43,21,0,0,0,189,19,18,51.4
12,Lucas Alario,ARG,FW,Leverkusen,27,1992,13.8,2,0,0,17,17,11,0,2,2,0,0,0,29,38,69,35.5
13,Omar Alderete,PAR,DF,Hertha BSC,23,1996,14.4,2,0,0,22,5,0,2,21,10,0,0,0,68,32,29,52.5
14,Nadiem Amiri,GER,MF,Leverkusen,23,1996,21.0,5,0,0,21,26,4,68,12,7,0,0,0,109,4,21,16.0
15,Sebastian Andersson,SWE,FW,Köln,29,1991,12.5,1,0,0,21,7,7,2,2,2,1,0,0,23,79,63,55.6
16,Robert Andrich,GER,MF,Union Berlin,25,1994,28.1,5,1,0,50,34,2,17,51,24,0,0,1,176,46,25,64.8
17,Angeliño,ESP,DF|FW,RB Leipzig,23,1997,24.0,2,0,0,22,27,7,184,30,19,0,0,0,110,12,22,35.3
18,Waldemar Anton,GER,DF,Stuttgart,24,1996,30.1,3,0,0,24,34,1,11,47,20,0,1,0,228,50,34,59.5
19,Charles Aránguiz,CHI,MF,Leverkusen,31,1989,18.5,4,0,0,31,25,0,4,33,23,0,0,0,122,10,16,38.5
20,Santiago Arias,COL,DF,Leverkusen,28,1992,1.0,0,0,0,1,0,0,2,1,1,0,0,0,6,0,3,0.0
21,Maximilian Arnold,GER,MF,Wolfsburg,26,1994,28.7,7,1,0,39,62,0,139,49,32,0,1,0,240,39,27,59.1
22,Toluwalase Arokodare,NGA,FW|MF,Köln,19,2000,1.2,0,0,0,1,1,2,1,1,1,0,0,0,9,9,13,40.9
23,Santiago Ascacíbar,ARG,MF,Hertha BSC,23,1997,8.5,2,0,0,10,4,0,4,13,15,0,0,0,64,9,8,52.9
24,Ludwig Augustinsson,SWE,DF|FW,Werder Bremen,26,1994,21.7,4,0,0,15,25,3,193,20,20,0,1,1,78,46,24,65.7
25,Taiwo Awoniyi,NGA,FW,Union Berlin,22,1997,15.1,0,0,0,22,20,15,4,3,3,1,0,0,44,33,76,30.3
26,Mehmet Aydin,GER,DF,Schalke 04,18,2002,5.6,0,0,0,9,6,1,10,6,7,0,0,0,22,13,13,50.0
27,Leon Bailey,JAM,FW|MF,Leverkusen,22,1997,23.8,6,0,0,24,43,15,155,9,8,0,0,0,107,18,29,38.3
28,Ridle Baku,GER,FW|DF,Wolfsburg,22,1998,29.8,1,0,0,33,39,10,102,40,31,0,0,0,173,16,48,25.0
29,Ridle Baku,GER,DF,Mainz 05,22,1998,2.0,0,0,0,1,5,0,6,3,2,0,0,0,14,1,1,50.0
30,Philipp Bargfrede,GER,MF,Werder Bremen,31,1989,0.3,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,
31,Aymen Barkok,MAR,MF|DF,Eint Frankfurt,22,1998,10.9,5,0,0,23,7,1,41,10,15,0,1,0,75,15,24,38.5
32,Leandro Barreiro Martins,LUX,MF,Mainz 05,20,2000,25.6,5,0,0,64,47,0,9,57,32,0,2,0,121,46,47,49.5
33,Jacob Barrett Laursen,DEN,DF,Arminia,25,1994,12.3,1,0,0,12,12,0,21,24,12,0,0,0,50,8,18,30.8
34,Oliver Baumann,GER,GK,Hoffenheim,30,1990,31.0,1,0,0,0,6,0,0,2,0,0,0,0,78,7,1,87.5
35,Julian Baumgartlinger,AUT,MF,Leverkusen,32,1988,11.9,1,0,0,11,13,0,3,12,20,0,0,0,76,22,9,71.0
