Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off
1,Issah Abbas,GHA,DF|FW,Mainz 05,21,1998,2,18,9,0.6,0.2,0,,0,2,9,5,0.00,0,0,0,0.00,+0.50,0.9,0.0,+0.9,+4.36,+4.45
2,David Abraham,ARG,DF,Eint Frankfurt,34,1986,14,1222,87,39.9,13.6,14,87,12,0,,0,1.64,25,17,+8,+0.59,+0.20,24.9,15.8,+9.1,+0.67,+0.55
3,Amir Abrashi,ALB,MF|DF,Freiburg,30,1990,5,60,12,2.0,0.7,0,,0,5,12,7,2.40,1,1,0,0.00,0.00,1.0,1.3,-0.3,-0.44,-0.24
4,Ragnar Ache,GER,FW|DF,Eint Frankfurt,22,1998,7,100,14,3.3,1.1,0,,0,7,14,3,2.29,4,1,+3,+2.70,+2.30,1.9,2.2,-0.2,-0.22,-0.58
5,Tyler Adams,USA,MF|DF,RB Leipzig,21,1999,27,1850,69,60.5,20.6,21,83,13,6,20,1,2.11,35,19,+16,+0.78,-0.11,37.0,18.7,+18.2,+0.89,-0.36
6,Sargis Adamyan,ARM,FW|MF,Hoffenheim,27,1993,18,479,27,15.7,5.3,3,77,1,15,16,6,1.50,13,6,+7,+1.32,+1.63,11.1,10.4,+0.7,+0.13,+0.20
7,Felix Agu,GER,DF,Werder Bremen,20,1999,15,701,47,22.9,7.8,8,76,5,7,13,16,1.00,12,15,-3,-0.39,+0.30,8.7,14.8,-6.1,-0.78,-0.24
8,Naouirou Ahamada,FRA,MF,Stuttgart,18,2002,6,252,42,8.2,2.8,3,43,0,3,41,6,0.50,3,12,-9,-3.21,-3.53,4.9,7.0,-2.1,-0.75,-0.79
9,Sören Ahlers,GER,GK,Schalke 04,22,1997,0,,,,,0,,0,0,,2,,,,,,,,,,,
10,Antonis Aidonis,GER,DF,Stuttgart,19,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,
11,Manuel Akanji,SUI,DF,Dortmund,25,1995,28,2350,84,76.8,26.1,26,89,23,2,25,0,1.82,60,37,+23,+0.88,+0.12,53.4,30.9,+22.5,+0.86,+0.59
12,Kevin Akpoguma,NGA,DF,Hoffenheim,25,1995,16,1184,74,38.7,13.2,14,83,10,2,14,2,1.06,21,22,-1,-0.08,-0.03,20.0,22.7,-2.7,-0.20,-0.27
13,David Alaba,AUT,DF|MF,Bayern Munich,28,1992,32,2675,84,87.4,29.7,30,88,27,2,23,0,2.25,82,43,+39,+1.31,-2.43,62.7,37.5,+25.2,+0.85,-1.62
14,Lucas Alario,ARG,FW,Leverkusen,27,1992,25,1245,50,40.7,13.8,12,75,3,13,27,4,1.56,21,15,+6,+0.43,+0.04,17.6,15.3,+2.4,+0.17,-0.06
15,Julian Albrecht,GER,MF,Hertha BSC,18,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,
16,Omar Alderete,PAR,DF,Hertha BSC,23,1996,17,1299,76,42.5,14.4,14,89,13,3,18,12,1.18,17,19,-2,-0.14,+0.32,18.7,17.9,+0.8,+0.06,+0.38
17,Alfons Amade,GER,DF|MF,Hoffenheim,20,1999,0,,,,,0,,0,0,,1,,,,,,,,,,,
18,Nadiem Amiri,GER,MF,Leverkusen,23,1996,29,1890,65,61.8,21.0,20,85,14,9,21,0,1.62,39,24,+15,+0.71,+0.79,27.6,23.7,+3.9,+0.19,-0.06
19,Sebastian Andersson,SWE,FW,Köln,29,1991,16,1126,70,36.8,12.5,14,79,4,2,10,1,0.69,14,23,-9,-0.72,+0.07,19.2,18.4,+0.8,+0.07,+0.71
20,Robert Andrich,GER,MF,Union Berlin,25,1994,29,2526,87,82.5,28.1,29,87,26,0,,0,1.45,43,32,+11,+0.39,+1.07,42.0,33.4,+8.6,+0.31,+1.07
21,Angeliño,ESP,DF|FW,RB Leipzig,23,1997,26,2161,83,70.6,24.0,24,87,18,2,38,2,1.88,43,20,+23,+0.96,+0.46,46.2,19.6,+26.5,+1.11,+0.26
22,Waldemar Anton,GER,DF,Stuttgart,24,1996,31,2711,87,88.6,30.1,30,90,29,1,18,1,1.29,50,52,-2,-0.07,-0.84,45.8,45.2,+0.7,+0.02,+0.40
23,Charles Aránguiz,CHI,MF,Leverkusen,31,1989,21,1669,79,54.5,18.5,20,82,13,1,21,2,1.19,20,24,-4,-0.22,-1.38,24.9,23.3,+1.6,+0.08,-0.28
24,Santiago Arias,COL,DF,Leverkusen,28,1992,1,90,90,2.9,1.0,1,90,1,0,,0,1.00,1,1,0,0.00,-0.42,1.5,0.8,+0.7,+0.69,+0.49
25,Maximilian Arnold,GER,MF,Wolfsburg,26,1994,30,2585,86,84.5,28.7,30,86,23,0,,0,1.87,53,30,+23,+0.80,+0.61,43.0,32.9,+10.1,+0.35,+0.97
26,Toluwalase Arokodare,NGA,FW|MF,Köln,19,2000,10,112,11,3.7,1.2,0,,0,10,11,7,0.60,3,4,-1,-0.80,-0.04,1.6,1.4,+0.2,+0.13,+0.54
27,Santiago Ascacíbar,ARG,MF,Hertha BSC,23,1997,13,762,59,24.9,8.5,8,75,3,5,33,7,1.38,7,9,-2,-0.24,+0.12,9.1,12.3,-3.2,-0.38,-0.29
28,Ludwig Augustinsson,SWE,DF|FW,Werder Bremen,26,1994,23,1957,85,64.0,21.7,21,89,17,2,45,1,0.83,21,34,-13,-0.60,+0.05,20.4,34.6,-14.2,-0.65,-0.16
29,Taiwo Awoniyi,NGA,FW,Union Berlin,22,1997,21,1359,65,44.4,15.1,16,77,3,5,26,1,1.48,22,17,+5,+0.33,+0.23,19.1,19.4,-0.3,-0.02,-0.25
30,Mehmet Aydin,GER,DF,Schalke 04,18,2002,6,500,83,16.3,5.6,6,83,4,0,,2,1.00,5,10,-5,-0.90,+1.07,5.6,10.0,-4.4,-0.79,+0.48
31,Leon Bailey,JAM,FW|MF,Leverkusen,22,1997,30,2141,71,70.0,23.8,25,82,15,5,20,0,1.57,42,27,+15,+0.63,+0.73,33.0,29.4,+3.6,+0.15,-0.20
32,Ridle Baku,GER,FW|DF,Wolfsburg,22,1998,32,2678,84,87.5,29.8,31,86,19,1,19,0,1.84,58,36,+22,+0.74,+0.27,44.8,37.4,+7.4,+0.25,+0.38
33,Ridle Baku,GER,DF,Mainz 05,22,1998,2,180,90,5.9,2.0,2,90,2,0,,0,0.00,2,7,-5,-2.50,-2.12,2.6,5.4,-2.9,-1.43,-1.45
34,Philipp Bargfrede,GER,MF,Werder Bremen,31,1989,1,27,27,0.9,0.3,0,,0,1,27,5,0.00,1,1,0,0.00,+0.62,0.3,0.4,-0.1,-0.35,+0.25
35,Aymen Barkok,MAR,MF|DF,Eint Frankfurt,22,1998,26,977,38,31.9,10.9,9,74,1,17,18,6,1.73,20,15,+5,+0.46,-0.01,19.5,13.6,+6.0,+0.55,+0.31
36,Leandro Barreiro Martins,LUX,MF,Mainz 05,20,2000,29,2303,79,75.3,25.6,27,84,13,2,24,4,1.34,28,37,-9,-0.35,+0.60,38.9,39.5,-0.5,-0.02,+0.18
37,Jacob Barrett Laursen,DEN,DF,Arminia,25,1994,16,1108,69,36.2,12.3,13,82,9,3,14,10,0.81,10,25,-15,-1.22,-0.71,10.7,20.6,-9.9,-0.80,-0.16
38,Oliver Baumann,GER,GK,Hoffenheim,30,1990,31,2790,90,91.2,31.0,31,90,31,0,,0,1.23,48,51,-3,-0.10,-0.43,46.9,49.4,-2.5,-0.08,-0.51
39,Julian Baumgartlinger,AUT,MF,Leverkusen,32,1988,17,1072,63,35.0,11.9,12,83,8,5,14,1,1.65,26,12,+14,+1.18,+1.18,15.7,11.5,+4.2,+0.35,+0.22
40,Christoph Baumgartner,AUT,MF|FW,Hoffenheim,20,1999,31,2369,76,77.4,26.3,28,81,13,3,30,0,1.23,42,46,-4,-0.15,-0.41,40.2,41.4,-1.2,-0.05,-0.05
41,Noah Joel Sarenren Bazee,NGA,FW|MF,Augsburg,23,1996,5,36,7,1.2,0.4,0,,0,5,7,7,1.20,2,3,-1,-2.50,-1.99,1.0,1.4,-0.4,-1.12,-0.54
42,Ihlas Bebou,TOG,FW|MF,Hoffenheim,26,1994,32,2200,69,71.9,24.4,23,85,13,9,28,2,1.31,43,40,+3,+0.12,+0.65,40.7,36.0,+4.7,+0.19,+0.81
43,Sheraldo Becker,SUR,FW|MF,Union Berlin,25,1995,18,1106,61,36.1,12.3,15,71,2,3,14,1,1.61,24,13,+11,+0.90,+1.08,17.6,13.0,+4.6,+0.37,+0.40
44,Timo Becker,GER,DF,Schalke 04,23,1997,20,1640,82,53.6,18.2,18,89,16,2,23,2,0.60,17,44,-27,-1.48,+0.67,15.1,33.7,-18.7,-1.02,+0.36
45,Brian Behrendt,GER,DF,Arminia,28,1991,3,79,26,2.6,0.9,0,,0,3,26,0,0.00,1,1,0,0.00,+0.78,0.5,2.1,-1.6,-1.84,-1.17
46,Maximilian Beier,GER,FW|DF,Hoffenheim,17,2002,3,10,3,0.3,0.1,0,,0,3,3,8,1.33,0,1,-1,-9.00,-8.97,0.0,0.1,-0.1,-1.01,-0.97
47,Ishak Belfodil,ALG,FW|MF,Hoffenheim,28,1992,14,596,43,19.5,6.6,7,68,1,7,18,12,0.50,4,14,-10,-1.51,-1.80,7.7,12.3,-4.6,-0.70,-0.82
48,Stefan Bell,GER,DF,Mainz 05,28,1991,16,1266,79,41.4,14.1,16,79,9,0,,4,1.81,18,17,+1,+0.07,+0.97,21.2,17.5,+3.6,+0.26,+0.55
49,Karim Bellarabi,GER,FW|MF,Leverkusen,30,1990,22,798,36,26.1,8.9,7,73,0,15,19,5,1.59,8,7,+1,+0.11,-0.40,12.8,9.2,+3.6,+0.40,+0.26
50,Jude Bellingham,ENG,MF,Dortmund,17,2003,29,1697,59,55.5,18.9,19,76,5,10,26,2,1.79,43,29,+14,+0.74,-0.25,37.8,20.9,+16.8,+0.89,+0.38
51,Lars Bender,GER,DF,Leverkusen,31,1989,14,936,67,30.6,10.4,12,75,5,2,16,3,2.00,22,8,+14,+1.35,+1.35,14.9,11.5,+3.4,+0.33,+0.17
52,Sven Bender,GER,DF,Leverkusen,31,1989,18,1170,65,38.2,13.0,14,80,8,4,13,2,1.78,20,17,+3,+0.23,-0.29,13.3,13.8,-0.5,-0.03,-0.40
53,László Bénes,SVK,MF,Augsburg,22,1997,12,660,55,21.6,7.3,9,68,1,3,16,3,0.83,6,13,-7,-0.95,-0.54,8.3,14.6,-6.3,-0.85,-0.34
54,László Bénes,SVK,MF,M'Gladbach,22,1997,7,150,21,4.9,1.7,1,45,0,6,18,6,1.43,3,5,-2,-1.20,-1.51,1.4,4.7,-3.3,-1.95,-2.34
55,Ramy Bensebaini,ALG,DF,M'Gladbach,25,1995,25,1811,72,59.2,20.1,20,86,13,5,17,1,1.44,40,36,+4,+0.20,-0.09,28.0,25.4,+2.6,+0.13,-0.35
56,Nabil Bentaleb,ALG,MF,Schalke 04,25,1994,9,548,61,17.9,6.1,6,80,4,3,23,2,0.33,2,19,-17,-2.79,-1.22,3.9,14.0,-10.0,-1.65,-0.56
57,Dion Berisha,KVX,MF,Augsburg,17,2003,0,,,,,0,,0,0,,4,,,,,,,,,,,
58,Jordan Beyer,GER,DF,M'Gladbach,20,2000,4,188,47,6.1,2.1,2,90,2,2,4,17,2.25,4,4,0,0.00,-0.25,3.5,3.3,+0.1,+0.06,-0.22
59,Bartosz Białek,POL,FW|MF,Wolfsburg,18,2001,19,270,14,8.8,3.0,1,72,0,18,11,12,1.95,9,3,+6,+2.00,+1.42,7.0,4.1,+2.9,+0.97,+0.85
60,Ermin Bičakčić,BIH,DF,Hoffenheim,30,1990,2,128,64,4.2,1.4,2,64,1,0,,0,3.00,5,3,+2,+1.41,+1.53,3.4,3.0,+0.3,+0.23,+0.28
61,Leonardo Bittencourt,GER,MF|FW,Werder Bremen,26,1993,27,1514,56,49.5,16.8,19,70,4,8,24,4,0.89,22,29,-7,-0.42,+0.40,18.9,26.8,-7.9,-0.47,+0.25
62,Jérôme Boateng,GER,DF,Bayern Munich,31,1988,29,2368,82,77.4,26.3,29,82,18,0,,3,2.34,75,33,+42,+1.60,-0.09,59.1,29.5,+29.6,+1.13,+0.33
63,Jean-Paul Boëtius,NED,MF|FW,Mainz 05,26,1994,31,2065,67,67.5,22.9,23,81,8,8,24,3,1.03,28,39,-11,-0.48,+0.06,37.1,36.7,+0.3,+0.02,+0.24
