Squad,# Pl,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Points
Arminia,26,34,23,331,100,30.2,9.74,2.94,0.07,0.22,18.5,14,1,2,32.9,31.3,0.1,-9.9,-9.3,35
Augsburg,25,34,35,332,108,32.5,9.76,3.18,0.1,0.31,18.1,10,2,5,37.3,33.4,0.1,-2.3,-0.4,36
Bayern Munich,29,34,98,572,219,38.3,16.82,6.44,0.16,0.41,16.9,9,9,10,75.9,68.1,0.12,22.1,20.9,78
Dortmund,26,34,74,488,184,37.7,14.35,5.41,0.15,0.39,16.7,14,3,7,66.2,60.4,0.12,7.8,10.6,64
Eint Frankfurt,25,34,63,442,162,36.7,13,4.76,0.12,0.34,16.3,12,8,8,58.5,52.2,0.12,4.5,2.8,60
Freiburg,24,34,51,383,140,36.6,11.26,4.12,0.12,0.32,17.3,17,6,6,45.5,40.9,0.11,5.5,4.1,45
Hertha BSC,32,34,40,377,142,37.7,11.09,4.18,0.1,0.25,18.4,12,4,6,41.9,37.2,0.1,-1.9,-1.2,35
Hoffenheim,30,34,51,424,149,35.1,12.47,4.38,0.11,0.31,17.5,20,5,6,51.9,47.3,0.11,-0.9,-1.3,43
Köln,28,34,33,354,103,29.1,10.41,3.03,0.08,0.28,17.2,9,4,6,40.5,35.9,0.1,-7.5,-6.9,33
Leverkusen,30,34,52,440,164,37.3,12.94,4.82,0.11,0.3,17.9,12,3,3,46.3,44,0.1,5.7,5,52
M'Gladbach,23,34,63,443,165,37.2,13.03,4.85,0.12,0.32,17.4,12,10,11,54.9,46.5,0.11,8.1,6.5,49
Mainz 05,31,34,39,374,134,35.8,11,3.94,0.09,0.25,17.4,10,5,5,49.9,46,0.13,-10.9,-12,39
RB Leipzig,25,34,59,533,189,35.5,15.68,5.56,0.1,0.27,17.4,19,8,10,64.4,56.7,0.11,-5.4,-5.7,65
Schalke 04,42,34,24,301,81,26.9,8.85,2.38,0.08,0.3,18.4,11,0,3,28.7,26.3,0.09,-4.7,-2.3,16
Stuttgart,29,34,54,448,150,33.5,13.18,4.41,0.11,0.32,17.7,12,6,8,51.4,45.1,0.1,2.6,2.9,45
Union Berlin,27,34,50,391,132,33.8,11.5,3.88,0.12,0.34,17.3,8,5,7,46.9,41.3,0.11,3.1,3.7,50
Werder Bremen,27,34,35,356,120,33.7,10.47,3.53,0.08,0.25,19,14,5,5,32.9,29,0.08,2.1,1,31
Wolfsburg,26,34,57,475,164,34.5,13.97,4.82,0.12,0.34,18.1,14,2,3,49,46.9,0.1,8,8.1,61
