Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err
1,Paxten Aaronson,USA,MF|DF,Eint Frankfurt,18,2003,1.9,6,5,2,2,2,2,3,66.7,1,2,1,1,0,6,2,0
2,Sargis Adamyan,ARM,FW|MF,Köln,29,1993,7.2,14,7,5,3,6,7,17,41.2,10,12,0,12,4,18,5,0
3,Karim Adeyemi,GER,FW|MF,Dortmund,20,2002,15.4,16,11,6,6,4,8,30,26.7,22,18,1,17,7,23,3,0
4,Amine Adli,MAR,FW|MF,Leverkusen,22,2000,15.9,18,10,4,6,8,5,17,29.4,12,28,2,26,6,24,7,0
5,Felix Agu,GER,DF|FW,Werder Bremen,22,1999,0.5,1,0,0,1,0,0,0,,0,1,1,0,0,1,0,0
6,Naouirou Ahamada,FRA,MF,Stuttgart,20,2002,15.5,17,11,7,7,3,8,20,40.0,12,16,5,11,8,25,7,0
7,Ludovic Ajorque,FRA,FW|MF,Mainz 05,28,1994,13.5,6,5,1,4,1,1,9,11.1,8,8,2,6,1,7,8,0
8,Kevin Akpoguma,NGA,DF,Hoffenheim,27,1995,21.7,75,44,45,27,3,32,45,71.1,13,45,16,29,24,99,70,1
9,Lucas Alario,ARG,FW|MF,Eint Frankfurt,29,1992,3.7,3,2,1,0,2,0,1,0.0,1,0,0,0,2,5,13,0
10,Faride Alidou,GER,DF|MF,Eint Frankfurt,21,2001,2.0,8,5,3,4,1,3,9,33.3,6,3,0,3,1,9,3,0
11,Éder Álvarez Balanta,COL,MF|FW,Schalke 04,29,1993,2.6,5,4,2,3,0,2,6,33.3,4,0,0,0,3,8,4,0
12,Lukáš Ambros,CZE,MF,Wolfsburg,18,2004,0.2,1,0,1,0,0,1,4,25.0,3,1,0,1,0,1,2,1
13,Nadiem Amiri,GER,MF|FW,Leverkusen,25,1996,10.9,15,6,5,8,2,9,20,45.0,11,12,1,11,6,21,10,2
14,Robert Andrich,GER,MF,Leverkusen,27,1994,26.7,61,38,30,27,4,26,45,57.8,19,27,9,18,42,103,55,2
15,Angeliño,ESP,DF,Hoffenheim,25,1997,29.1,40,24,19,18,3,23,37,62.2,14,32,6,26,25,65,67,0
16,Waldemar Anton,GER,DF,Stuttgart,26,1996,32.6,49,27,27,19,3,27,51,52.9,24,44,16,28,38,87,123,2
17,Christopher Antwi-Adjei,GHA,FW|MF,Bochum,28,1994,22.0,23,15,7,8,8,10,29,34.5,19,17,0,17,5,28,16,0
18,Charles Aránguiz,CHI,MF,Leverkusen,33,1989,5.5,17,7,7,10,0,12,20,60.0,8,4,0,4,7,24,4,0
19,Maximilian Arnold,GER,MF,Wolfsburg,28,1994,30.7,62,31,25,28,9,28,54,51.9,26,34,11,23,26,88,65,2
20,Takuma Asano,JPN,FW|MF,Bochum,27,1994,19.0,14,9,4,4,6,7,16,43.8,9,17,1,16,8,22,8,0
21,Fisnik Asllani,KVX,FW,Hoffenheim,19,2002,1.9,0,0,0,0,0,0,4,0.0,4,2,0,2,3,3,3,0
22,Mehmet Aydin,GER,DF|FW,Schalke 04,20,2002,6.3,25,18,14,9,2,11,24,45.8,13,11,0,11,10,35,15,0
23,Ayman Azhil,MAR,MF,Leverkusen,21,2001,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
24,Sardar Azmoun,IRN,FW|MF,Leverkusen,27,1995,10.3,6,3,1,4,1,1,7,14.3,6,4,0,4,2,8,14,0
25,Sanoussy Ba,GER,DF,RB Leipzig,18,2004,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
26,Mitchel Bakker,NED,DF|MF,Leverkusen,22,2000,18.4,16,8,9,7,0,6,15,40.0,9,20,2,18,15,31,20,2
27,Ridle Baku,GER,DF|FW,Wolfsburg,24,1998,28.7,50,26,29,17,4,32,58,55.2,26,44,6,38,21,71,59,0
28,Aymen Barkok,MAR,MF,Mainz 05,24,1998,6.5,18,8,10,5,3,5,10,50.0,5,7,0,7,3,21,9,0
29,Leandro Barreiro Martins,LUX,MF,Mainz 05,22,2000,23.8,60,38,19,28,13,22,49,44.9,27,38,13,25,41,101,39,1
30,Gil Bastião Dias,POR,FW,Stuttgart,25,1996,4.4,8,6,3,4,1,3,12,25.0,9,7,0,7,2,10,3,0
31,Maximilian Bauer,GER,DF,Augsburg,22,2000,20.5,31,17,18,12,1,17,34,50.0,17,25,9,16,23,54,79,1
32,Oliver Baumann,GER,GK,Hoffenheim,32,1990,34.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,15,1
33,Timo Baumgartl,GER,DF,Union Berlin,26,1996,6.2,11,6,5,4,2,5,18,27.8,13,12,4,8,2,13,14,0
34,Julian Baumgartlinger,AUT,MF,Augsburg,34,1988,6.2,15,4,5,6,4,6,19,31.6,13,4,2,2,4,19,15,0
35,Christoph Baumgartner,AUT,MF|FW,Hoffenheim,22,1999,28.5,36,19,12,17,7,9,52,17.3,43,57,5,52,15,51,19,1
36,Noah Joel Sarenren Bazee,NGA,MF|FW,Augsburg,25,1996,0.2,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0
37,Ihlas Bebou,TOG,FW|DF,Hoffenheim,28,1994,15.7,19,16,8,7,4,11,17,64.7,6,9,2,7,7,26,15,0
38,Sheraldo Becker,SUR,FW,Union Berlin,27,1995,28.4,15,5,1,7,7,2,11,18.2,9,13,1,12,3,18,7,1
39,Kevin Behrens,GER,FW,Union Berlin,31,1991,17.1,11,7,4,4,3,4,18,22.2,14,18,3,15,5,16,25,0
40,Stefan Bell,GER,DF,Mainz 05,30,1991,26.6,43,28,32,10,1,22,44,50.0,22,42,15,27,44,87,133,0
41,Karim Bellarabi,GER,FW|MF,Leverkusen,32,1990,0.9,2,0,1,1,0,2,3,66.7,1,0,0,0,0,2,0,0
42,Jude Bellingham,ENG,MF,Dortmund,19,2003,29.9,76,42,28,34,14,34,51,66.7,17,51,4,47,35,111,30,0
43,Ramy Bensebaini,ALG,DF,M'Gladbach,27,1995,27.6,34,21,21,10,3,26,39,66.7,13,44,14,30,36,70,98,1
44,Mergim Berisha,GER,FW,Augsburg,24,1998,18.7,11,6,4,3,4,4,14,28.6,10,16,1,15,0,11,19,0
45,Ermin Bičakčić,BIH,DF,Hoffenheim,32,1990,2.9,8,4,6,1,1,2,6,33.3,4,4,3,1,5,13,14,0
46,Tom Bischof,GER,MF|FW,Hoffenheim,17,2005,3.5,15,10,8,3,4,7,10,70.0,3,5,1,4,1,16,1,0
47,Leonardo Bittencourt,GER,MF|DF,Werder Bremen,28,1993,18.1,53,28,20,25,8,25,62,40.3,37,13,0,13,10,63,15,0
48,Janis Blaswich,GER,GK,RB Leipzig,31,1991,26.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,10,0
49,Daley Blind,NED,DF|MF,Bayern Munich,32,1990,1.5,2,0,2,0,0,0,1,0.0,1,4,2,2,2,4,6,0
50,Kevin-Prince Boateng,GHA,MF,Hertha BSC,35,1987,5.2,8,6,4,2,2,3,9,33.3,6,11,3,8,3,11,5,0
