Rk,Player,Nation,Pos,Squad,Age,Born,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP
1,Antonio Adán,ESP,GK,Atlético Madrid,31,1987,1.0,13,24,54.2,389,295,3,3,100.0,3,3,100.0,7,18,38.9,0,0.0,0.0,0.0,0,0,0,0,0
2,Aday,ESP,DF|MF,Girona,30,1987,7.2,227,320,70.9,4254,1386,105,117,89.7,86,123,69.9,30,63,47.6,2,1.5,0.9,+0.5,13,5,11,10,11
3,Aritz Aduriz,ESP,FW,Athletic Club,37,1981,10.5,146,238,61.3,1751,325,90,139,64.7,38,66,57.6,3,7,42.9,0,0.7,0.8,-0.7,8,9,4,1,15
4,Luis Advíncula,PER,DF,Rayo Vallecano,28,1990,26.5,957,1197,79.9,15766,5283,506,557,90.8,343,422,81.3,76,144,52.8,3,2.4,2.9,+0.6,16,60,23,11,90
5,Martin Agirregabiria,ESP,DF,Alavés,22,1996,22.6,653,964,67.7,10341,4920,340,413,82.3,246,343,71.7,47,137,34.3,0,0.5,0.9,-0.5,8,54,14,6,89
6,Juan Aguilera,ESP,MF,Huesca,32,1985,3.8,166,189,87.8,2706,846,90,93,96.8,58,68,85.3,14,19,73.7,0,0.0,0.2,0.0,0,16,3,2,21
7,Carlos Akapo,EQG,DF,Huesca,25,1993,11.4,332,443,74.9,4988,1943,189,217,87.1,100,141,70.9,26,47,55.3,0,0.2,0.6,-0.2,3,21,4,0,34
8,Sergio Akieme,ESP,DF,Rayo Vallecano,20,1997,2.0,64,84,76.2,950,312,36,39,92.3,22,26,84.6,4,12,33.3,1,0.1,0.1,+0.9,1,3,1,1,7
9,Jordi Alba,ESP,DF,Barcelona,29,1989,33.2,2279,2695,84.6,33032,10768,1392,1511,92.1,716,852,84.0,110,188,58.5,8,6.7,5.9,+1.3,47,140,57,7,207
10,Pedro Alcalá,ESP,DF,Girona,29,1989,20.8,686,869,78.9,14910,5012,168,200,84.0,408,462,88.3,106,190,55.8,1,0.6,0.4,+0.4,5,30,5,0,47
11,Rubén Alcaraz,ESP,MF,Valladolid,27,1991,33.1,1438,1757,81.8,29343,7859,556,603,92.2,604,681,88.7,254,402,63.2,2,0.9,1.1,+1.1,20,172,2,0,181
12,Álex Alegría,ESP,FW|MF,Rayo Vallecano,25,1992,1.6,22,32,68.8,293,51,13,18,72.2,6,8,75.0,1,1,100.0,0,0.4,0.1,-0.4,3,2,1,0,5
13,Iván Alejo,ESP,MF,Getafe,23,1995,1.6,18,43,41.9,341,87,7,15,46.7,7,16,43.8,3,6,50.0,0,0.6,0.4,-0.6,1,2,1,1,3
14,Carles Aleñá,ESP,MF,Barcelona,20,1998,7.1,536,587,91.3,8645,1908,272,288,94.4,208,218,95.4,43,55,78.2,0,0.7,0.8,-0.7,9,58,6,0,65
15,Alexander,ARG,FW,Leganés,29,1988,0.1,4,8,50.0,40,30,4,5,80.0,0,2,0.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0
16,Júnior Alonso,PAR,DF|MF,Celta Vigo,25,1993,6.0,233,319,73.0,3830,1525,123,137,89.8,84,113,74.3,19,48,39.6,0,0.2,0.4,-0.2,5,14,2,1,21
17,Sergio Álvarez,ESP,DF|MF,Eibar,26,1992,11.9,395,500,79.0,7730,1938,122,144,84.7,212,252,84.1,49,79,62.0,0,0.1,0.1,-0.1,2,32,0,0,29
18,Sergio Álvarez,ESP,GK,Celta Vigo,31,1986,13.0,302,463,65.2,9673,7638,38,38,100.0,139,141,98.6,124,277,44.8,0,0.0,0.0,0.0,0,6,0,0,0
19,Yeray Álvarez,ESP,DF,Athletic Club,23,1995,29.0,1031,1294,79.7,20322,8052,348,390,89.2,542,625,86.7,126,241,52.3,0,0.1,0.4,-0.1,2,76,4,1,93
20,Ibrahim Amadou,FRA,MF|DF,Sevilla,25,1993,8.5,302,361,83.7,5164,1309,138,151,91.4,128,149,85.9,26,36,72.2,0,0.1,0.1,-0.1,3,19,0,0,25
21,Jordi Amat,IDN,DF,Rayo Vallecano,26,1992,30.7,1064,1295,82.2,20994,7883,397,457,86.9,516,574,89.9,140,221,63.3,0,0.4,0.2,-0.4,5,63,0,0,95
22,Amath,SEN,MF,Getafe,22,1996,11.1,142,210,67.6,2264,798,77,99,77.8,47,64,73.4,13,22,59.1,2,1.5,1.2,+0.5,10,12,10,1,30
23,José Ángel,ESP,DF,Eibar,28,1989,33.6,1386,2173,63.8,29556,13592,488,569,85.8,582,822,70.8,289,663,43.6,1,5.7,5.5,-4.7,56,174,68,42,195
