Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off
1,Antonio Adán,ESP,GK,Atlético Madrid,31,1987,1,90,90,2.6,1.0,1,90,1,0,,35,2.00,5,4,+1,+1.00,+0.32,1.9,2.7,-0.8,-0.80,-0.96
2,Aday,ESP,DF|MF,Girona,30,1987,10,645,65,18.9,7.2,8,76,4,2,18,0,1.20,10,10,0,0.00,+0.52,9.4,9.5,-0.1,-0.01,+0.28
3,Aritz Aduriz,ESP,FW,Athletic Club,37,1981,20,943,47,27.6,10.5,10,80,4,10,14,3,1.15,6,14,-8,-0.76,-0.91,11.4,13.2,-1.8,-0.17,-0.16
4,Luis Advíncula,PER,DF,Rayo Vallecano,28,1990,28,2389,85,69.9,26.5,27,88,24,1,14,6,0.86,33,48,-15,-0.57,+0.66,33.1,41.2,-8.1,-0.30,-0.02
5,Martin Agirregabiria,ESP,DF,Alavés,22,1996,27,2032,75,59.4,22.6,23,88,18,4,5,4,1.37,24,30,-6,-0.27,+0.06,24.4,31.6,-7.2,-0.32,-0.01
6,Juan Aguilera,ESP,MF,Huesca,32,1985,6,344,57,10.1,3.8,4,64,1,2,45,20,0.17,1,5,-4,-1.05,-0.52,3.1,4.9,-1.8,-0.47,-0.24
7,Carlos Akapo,EQG,DF,Huesca,25,1993,13,1023,79,29.9,11.4,12,84,10,1,21,5,0.62,9,16,-7,-0.62,-0.05,12.5,15.9,-3.4,-0.31,-0.08
8,Sergio Akieme,ESP,DF,Rayo Vallecano,20,1997,2,180,90,5.3,2.0,2,90,2,0,,11,0.50,3,4,-1,-0.50,+0.28,1.8,2.6,-0.7,-0.36,-0.06
9,Paul Akouokou,CIV,MF,Betis,20,1997,0,,,,,0,,0,0,,1,,,,,,,,,,,
10,Jordi Alba,ESP,DF,Barcelona,29,1989,36,2991,83,87.5,33.2,32,90,32,4,27,0,2.39,86,30,+56,+1.69,+2.10,70.0,38.6,+31.4,+0.94,+1.13
11,Pedro Alcalá,ESP,DF,Girona,29,1989,25,1868,75,54.6,20.8,20,88,18,5,23,10,1.16,21,32,-11,-0.53,-0.24,23.7,28.1,-4.5,-0.21,+0.06
12,Rubén Alcaraz,ESP,MF,Valladolid,27,1991,34,2976,88,87.0,33.1,34,88,31,0,,1,1.18,29,43,-14,-0.42,+0.59,34.7,49.6,-14.9,-0.45,+0.06
13,Álex Alegría,ESP,FW|MF,Rayo Vallecano,25,1992,9,140,16,4.1,1.6,0,,0,9,15,4,0.89,0,6,-6,-3.86,-3.23,1.8,3.3,-1.5,-0.97,-0.70
14,Iván Alejo,ESP,MF,Getafe,23,1995,4,146,37,4.3,1.6,2,59,0,2,15,4,1.00,1,0,+1,+0.62,+0.29,1.1,1.2,-0.1,-0.03,-0.11
15,Carles Aleñá,ESP,MF,Barcelona,20,1998,17,637,37,18.6,7.1,6,78,1,11,15,10,2.06,16,8,+8,+1.13,-0.36,14.3,11.0,+3.3,+0.46,-0.42
16,Alex,ESP,GK,Atlético Madrid,19,1999,0,,,,,0,,0,0,,2,,,,,,,,,,,
17,Alexander,ARG,FW,Leganés,29,1988,1,10,10,0.3,0.1,0,,0,1,9,0,0.00,0,1,-1,-9.00,-8.87,0.0,0.3,-0.3,-2.58,-2.58
18,Julio Alonso,ESP,DF,Betis,19,1998,0,,,,,0,,0,0,,3,,,,,,,,,,,
19,Júnior Alonso,PAR,DF|MF,Celta Vigo,25,1993,9,536,60,15.7,6.0,6,82,4,3,14,5,1.11,8,8,0,0.00,+0.28,6.2,7.3,-1.1,-0.18,+0.24
20,Diego Altamirano,ESP,FW,Betis,21,1997,0,,,,,0,,0,0,,1,,,,,,,,,,,
21,Sergio Álvarez,ESP,DF|MF,Eibar,26,1992,19,1069,56,31.3,11.9,12,84,9,7,9,17,1.37,7,14,-7,-0.59,-0.70,11.0,16.2,-5.2,-0.44,-0.98
22,Sergio Álvarez,ESP,GK,Celta Vigo,31,1986,13,1170,90,34.2,13.0,13,90,13,0,,25,1.08,23,22,+1,+0.08,+0.48,13.3,19.5,-6.2,-0.48,-0.15
23,Yeray Álvarez,ESP,DF,Athletic Club,23,1995,30,2613,87,76.4,29.0,30,87,28,0,,3,1.47,32,30,+2,+0.07,+0.74,32.6,31.9,+0.6,+0.02,+0.35
24,Ibrahim Amadou,FRA,MF|DF,Sevilla,25,1993,17,762,45,22.3,8.5,7,79,4,10,21,10,1.41,9,14,-5,-0.59,-1.27,13.7,13.0,+0.7,+0.09,-0.61
25,Jordi Amat,IDN,DF,Rayo Vallecano,26,1992,31,2763,89,80.8,30.7,31,89,30,0,,3,0.77,34,60,-26,-0.85,-0.44,38.2,48.0,-9.8,-0.32,-0.11
26,Amath,SEN,MF,Getafe,22,1996,15,1002,67,29.3,11.1,13,72,2,2,32,0,1.40,13,10,+3,+0.27,-0.10,15.1,10.7,+4.4,+0.40,+0.46
27,Jon Ander Serantes,ESP,GK,Leganés,28,1989,0,,,,,0,,0,0,,8,,,,,,,,,,,
28,Yhoan Andzouana,CGO,DF|MF,Girona,21,1996,0,,,,,0,,0,0,,1,,,,,,,,,,,
29,José Ángel,ESP,DF,Eibar,28,1989,35,3028,87,88.5,33.6,34,88,27,1,45,1,1.31,40,43,-3,-0.09,+0.14,49.7,41.3,+8.4,+0.25,+0.13
30,Miguel Ángel Moyá,ESP,GK,Real Sociedad,34,1984,11,990,90,28.9,11.0,11,90,11,0,,22,1.00,9,11,-2,-0.18,-0.22,13.7,10.2,+3.6,+0.32,+0.41
31,Miguel Ángel Rubio,ESP,DF,Getafe,20,1998,0,,,,,0,,0,0,,1,,,,,,,,,,,
32,Antoñito,ESP,DF|MF,Valladolid,30,1987,30,1863,62,54.5,20.7,18,89,16,12,22,6,1.13,19,36,-17,-0.82,-0.71,24.5,36.8,-12.3,-0.59,-0.30
33,Vitorino Antunes,POR,DF|MF,Getafe,31,1987,28,2181,78,63.8,24.2,25,86,21,3,11,3,1.57,31,21,+10,+0.41,+0.19,27.9,25.6,+2.3,+0.10,+0.08
34,Anuar,MAR,MF|FW,Valladolid,23,1995,19,1081,57,31.6,12.0,12,81,5,7,16,12,1.21,7,13,-6,-0.50,0.00,12.9,21.7,-8.8,-0.74,-0.40
35,Javier Aparicio,ESP,DF,Valladolid,18,2000,0,,,,,0,,0,0,,1,,,,,,,,,,,
36,Emmanuel Apeh,NGA,FW|MF,Celta Vigo,21,1996,2,14,7,0.4,0.2,0,,0,2,6,3,0.00,0,0,0,0.00,+0.24,0.0,0.2,-0.1,-0.80,-0.42
37,Mauro Arambarri,URU,MF,Getafe,22,1995,33,2676,81,78.2,29.7,32,83,20,1,10,2,1.48,32,25,+7,+0.24,-0.49,36.0,32.4,+3.7,+0.12,+0.25
38,Guilherme Arana,BRA,DF,Sevilla,21,1997,9,629,70,18.4,7.0,8,79,4,1,0,14,1.78,12,8,+4,+0.57,+0.22,11.1,7.6,+3.5,+0.50,-0.07
39,Néstor Araujo,MEX,DF,Celta Vigo,26,1991,32,2682,84,78.4,29.8,30,89,29,2,7,2,1.03,35,47,-12,-0.40,-0.77,34.5,44.0,-9.5,-0.32,+0.28
40,Anaitz Arbilla,ESP,DF,Eibar,31,1987,25,1950,78,57.0,21.7,22,88,19,3,5,2,1.24,26,31,-5,-0.23,-0.29,30.8,25.9,+4.9,+0.22,-0.02
41,Markel Areitio,ESP,GK,Eibar,21,1996,0,,,,,0,,0,0,,9,,,,,,,,,,,
42,Santiago Arias,COL,DF,Atlético Madrid,26,1992,25,1772,71,51.8,19.7,20,83,16,5,21,6,2.28,30,10,+20,+1.02,+0.69,25.7,19.6,+6.1,+0.31,+0.35
43,José Arnaiz,ESP,MF|FW,Leganés,23,1995,6,113,19,3.3,1.3,0,,0,6,18,5,1.33,4,0,+4,+3.19,+3.46,0.8,1.6,-0.8,-0.62,-0.62
44,Sergio Asenjo,ESP,GK,Villarreal,29,1989,32,2880,90,84.2,32.0,32,90,32,0,,4,1.03,40,45,-5,-0.16,-0.49,48.0,46.4,+1.6,+0.05,+0.50
45,Marco Asensio,ESP,FW,Real Madrid,22,1996,30,1779,59,52.0,19.8,19,81,9,11,22,2,1.73,31,26,+5,+0.25,-0.41,33.1,25.7,+7.5,+0.38,-0.29
46,Iago Aspas,ESP,FW|MF,Celta Vigo,30,1987,27,2251,83,65.8,25.0,26,86,14,1,24,1,1.37,44,39,+5,+0.20,+1.28,34.7,36.5,-1.8,-0.07,+0.90
47,Gustavo Assuncao,POR,MF,Atlético Madrid,18,2000,0,,,,,0,,0,0,,1,,,,,,,,,,,
48,Jose Aurelio Suarez,ESP,GK,Girona,22,1995,0,,,,,0,,0,0,,8,,,,,,,,,,,
49,Ezequiel Ávila,ARG,FW|MF,Huesca,24,1994,34,1997,59,58.4,22.2,20,84,9,14,23,0,0.94,26,36,-10,-0.45,+0.31,29.5,35.5,-6.0,-0.27,-0.06
50,Javier Avilés,ESP,FW,Leganés,20,1997,0,,,,,0,,0,0,,1,,,,,,,,,,,
51,Abdoulaye Ba,SEN,DF,Rayo Vallecano,27,1991,26,2110,81,61.7,23.4,25,83,21,1,36,5,1.00,27,34,-7,-0.30,+1.21,31.9,33.2,-1.3,-0.05,+0.64
52,Carlos Bacca,COL,FW,Villarreal,31,1986,33,1270,38,37.1,14.1,12,72,2,21,19,2,1.09,17,17,0,0.00,+0.13,21.7,20.3,+1.4,+0.10,+0.20
53,Gareth Bale,WAL,FW,Real Madrid,29,1989,29,1786,62,52.2,19.8,21,76,6,8,25,2,1.72,34,23,+11,+0.55,+0.22,36.1,24.6,+11.5,+0.58,+0.13
54,Mikel Balenziaga,ESP,DF,Athletic Club,30,1988,11,523,48,15.3,5.8,6,80,4,5,9,18,1.73,5,7,-2,-0.34,-0.28,5.7,8.7,-3.0,-0.53,-0.55
55,Éver Banega,ARG,MF,Sevilla,30,1988,32,2667,83,78.0,29.6,32,83,18,0,,0,1.59,51,33,+18,+0.61,+0.97,53.3,34.1,+19.2,+0.65,+0.41
56,Lass Bangoura,GUI,FW|MF,Rayo Vallecano,26,1992,0,,,,,0,,0,0,,1,,,,,,,,,,,
57,Léo Baptistão,BRA,FW|MF,Espanyol,25,1992,20,1233,62,36.1,13.7,14,79,5,6,22,1,1.15,16,23,-7,-0.51,-0.72,16.8,19.6,-2.7,-0.20,-0.11
58,Mariano Barbosa,ARG,GK,Villarreal,34,1984,0,,,,,0,,0,0,,2,,,,,,,,,,,
59,Enis Bardhi,MKD,MF,Levante,23,1995,36,2836,79,82.9,31.5,31,86,23,5,32,0,1.14,51,51,0,0.00,+1.08,47.4,61.4,-14.0,-0.44,+0.83
60,Antonio Barragán,ESP,DF|FW,Betis,31,1987,14,934,67,27.3,10.4,12,76,7,2,10,7,1.21,9,16,-7,-0.67,-0.64,10.6,14.2,-3.6,-0.35,-0.39
61,Ander Barrenetxea,ESP,FW|MF,Real Sociedad,16,2001,9,399,44,11.7,4.4,5,73,0,4,9,3,1.44,8,5,+3,+0.68,+0.80,6.4,3.9,+2.6,+0.58,+0.62
62,Marc Bartra,ESP,DF,Betis,27,1991,33,2928,89,85.6,32.5,33,89,31,0,,4,1.42,38,43,-5,-0.15,+0.40,42.4,41.3,+1.1,+0.03,+0.67
63,Borja Bastón,ESP,FW,Alavés,25,1992,27,1439,53,42.1,16.0,18,72,3,9,16,4,1.26,16,25,-9,-0.56,-0.47,18.3,24.0,-5.7,-0.36,-0.07
64,Michy Batshuayi,BEL,FW,Valencia,24,1993,15,527,35,15.4,5.9,4,74,1,11,21,2,1.00,6,4,+2,+0.34,-0.09,7.2,4.6,+2.6,+0.44,-0.03
