Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR
1,Antonio Adán,ESP,GK,Atlético Madrid,31,1987,1.0,28,25,28,0,0,0,28,0,0,,0,,10,70,57,0,0,0,0,0,8,0
2,Aday,ESP,DF|MF,Girona,30,1987,7.2,380,21,87,161,136,6,380,9,6,66.7,3,33.3,204,1587,836,35,24,5,8,4,227,40
3,Aritz Aduriz,ESP,FW,Athletic Club,37,1981,10.5,313,4,18,149,148,37,311,9,2,22.2,7,77.8,142,520,170,8,5,1,23,6,256,57
4,Luis Advíncula,PER,DF,Rayo Vallecano,28,1990,26.5,1462,84,439,671,370,25,1462,53,39,73.6,14,26.4,824,4387,2172,51,32,7,41,33,865,136
5,Martin Agirregabiria,ESP,DF,Alavés,22,1996,22.6,1200,89,403,595,218,9,1200,39,26,66.7,13,33.3,478,2887,1656,36,21,4,20,11,567,56
6,Juan Aguilera,ESP,MF,Huesca,32,1985,3.8,217,5,35,154,30,4,217,1,1,100.0,0,0.0,130,614,365,8,2,1,4,2,150,2
7,Carlos Akapo,EQG,DF,Huesca,25,1993,11.4,566,39,184,255,133,14,566,14,8,57.1,6,42.9,228,1687,1091,33,29,9,8,3,261,28
8,Sergio Akieme,ESP,DF,Rayo Vallecano,20,1997,2.0,107,7,32,49,27,0,107,2,2,100.0,0,0.0,60,364,204,5,5,0,4,4,65,9
9,Jordi Alba,ESP,DF,Barcelona,29,1989,33.2,2976,95,683,1300,1018,91,2976,22,16,72.7,6,27.3,1710,6503,3731,63,59,20,27,23,2096,372
10,Pedro Alcalá,ESP,DF,Girona,29,1989,20.8,1110,178,647,435,35,18,1110,5,4,80.0,1,20.0,530,2477,1404,13,7,1,7,5,600,3
11,Rubén Alcaraz,ESP,MF,Valladolid,27,1991,33.1,2152,93,559,1332,288,21,2151,30,23,76.7,7,23.3,1201,6376,3051,45,33,3,33,40,1324,21
12,Álex Alegría,ESP,FW|MF,Rayo Vallecano,25,1992,1.6,56,0,4,27,25,8,56,8,6,75.0,2,25.0,36,183,78,4,3,3,10,4,41,7
13,Iván Alejo,ESP,MF,Getafe,23,1995,1.6,67,1,12,30,27,1,67,10,4,40.0,6,60.0,41,462,177,7,7,0,4,5,42,10
14,Carles Aleñá,ESP,MF,Barcelona,20,1998,7.1,644,2,48,387,215,11,644,18,12,66.7,6,33.3,481,2498,1154,18,25,3,12,14,574,38
15,Alexander,ARG,FW,Leganés,29,1988,0.1,11,0,5,2,4,0,11,0,0,,0,,6,7,3,0,0,0,1,0,4,3
16,Júnior Alonso,PAR,DF|MF,Celta Vigo,25,1993,6.0,386,24,121,202,65,8,386,4,1,25.0,3,75.0,196,649,336,6,10,0,6,3,231,19
17,Sergio Álvarez,ESP,DF|MF,Eibar,26,1992,11.9,619,49,178,405,42,6,619,2,1,50.0,1,50.0,276,1152,482,7,2,0,2,6,330,3
18,Sergio Álvarez,ESP,GK,Celta Vigo,31,1986,13.0,490,444,489,1,0,0,490,0,0,,0,,221,1397,1043,0,0,0,0,0,189,0
19,Yeray Álvarez,ESP,DF,Athletic Club,23,1995,29.0,1628,172,772,819,55,23,1628,6,5,83.3,1,16.7,755,4481,2747,18,14,1,10,8,902,2
20,Ibrahim Amadou,FRA,MF|DF,Sevilla,25,1993,8.5,451,31,153,258,45,5,451,6,5,83.3,1,16.7,222,942,458,3,5,0,6,8,268,13
21,Jordi Amat,IDN,DF,Rayo Vallecano,26,1992,30.7,1595,145,758,816,42,10,1595,28,24,85.7,4,14.3,907,5429,3118,22,13,0,18,6,913,3
22,Amath,SEN,MF,Getafe,22,1996,11.1,387,10,65,153,177,42,387,45,20,44.4,25,55.6,222,1738,801,30,24,12,36,26,231,72
23,José Ángel,ESP,DF,Eibar,28,1989,33.6,2485,92,597,1189,734,12,2485,61,45,73.8,16,26.2,1137,6323,3094,78,81,7,22,19,1197,75
24,Miguel Ángel Moyá,ESP,GK,Real Sociedad,34,1984,11.0,389,319,385,5,0,0,389,1,1,100.0,0,0.0,183,925,668,0,1,1,1,0,184,0
25,Antoñito,ESP,DF|MF,Valladolid,30,1987,20.7,1090,42,279,454,368,17,1090,40,22,55.0,18,45.0,580,3435,1937,56,49,5,29,18,649,136
26,Vitorino Antunes,POR,DF|MF,Getafe,31,1987,24.2,1457,74,400,642,431,20,1457,34,22,64.7,12,35.3,541,3181,1569,45,37,8,26,13,613,54
27,Anuar,MAR,MF|FW,Valladolid,23,1995,12.0,513,32,146,315,64,12,513,6,4,66.7,2,33.3,255,1813,915,15,10,3,12,11,281,15
28,Emmanuel Apeh,NGA,FW|MF,Celta Vigo,21,1996,0.2,6,0,0,3,3,1,6,0,0,,0,,7,18,0,0,1,0,0,3,8,3
29,Mauro Arambarri,URU,MF,Getafe,22,1995,29.7,1095,50,213,682,218,21,1095,50,34,68.0,16,32.0,465,2242,888,16,20,4,36,25,478,24
30,Guilherme Arana,BRA,DF,Sevilla,21,1997,7.0,346,13,108,146,93,14,346,8,3,37.5,5,62.5,168,846,506,15,8,3,6,3,201,27
31,Néstor Araujo,MEX,DF,Celta Vigo,26,1991,29.8,1796,212,948,814,43,21,1796,2,2,100.0,0,0.0,913,3923,2076,4,3,0,6,2,1157,5
32,Anaitz Arbilla,ESP,DF,Eibar,31,1987,21.7,1380,92,458,833,100,18,1380,6,4,66.7,2,33.3,686,4776,2605,26,23,1,15,5,721,7
33,Santiago Arias,COL,DF,Atlético Madrid,26,1992,19.7,1205,48,289,508,412,18,1205,14,8,57.1,6,42.9,571,2793,1520,39,45,2,22,10,637,113
34,José Arnaiz,ESP,MF|FW,Leganés,23,1995,1.3,48,1,9,16,23,4,48,5,3,60.0,2,40.0,40,259,85,4,2,2,4,5,40,13
35,Sergio Asenjo,ESP,GK,Villarreal,29,1989,32.0,928,833,922,6,0,0,928,0,0,,0,,361,2745,1899,0,0,0,0,0,233,0
36,Marco Asensio,ESP,FW,Real Madrid,22,1996,19.8,1214,6,86,501,647,86,1214,60,41,68.3,19,31.7,865,6386,3271,116,60,30,46,15,970,228
37,Iago Aspas,ESP,FW|MF,Celta Vigo,30,1987,25.0,1129,7,86,511,540,114,1124,36,20,55.6,16,44.4,758,4366,1975,81,61,28,31,36,898,201
38,Ezequiel Ávila,ARG,FW|MF,Huesca,24,1994,22.2,879,27,106,365,417,99,878,46,22,47.8,24,52.2,506,2852,1336,55,33,18,52,28,611,131
39,Abdoulaye Ba,SEN,DF,Rayo Vallecano,27,1991,23.4,1357,203,836,502,26,11,1357,5,4,80.0,1,20.0,740,3135,1515,5,1,0,14,3,734,3
40,Carlos Bacca,COL,FW,Villarreal,31,1986,14.1,382,4,27,150,208,63,381,19,12,63.2,7,36.8,241,1262,642,21,17,15,26,27,288,89
41,Gareth Bale,WAL,FW,Real Madrid,29,1989,19.8,997,14,92,441,473,92,996,44,24,54.5,20,45.5,669,4094,1802,73,44,25,24,19,822,205
42,Mikel Balenziaga,ESP,DF,Athletic Club,30,1988,5.8,272,20,96,132,46,0,272,2,2,100.0,0,0.0,119,520,265,7,4,0,2,2,132,9
43,Éver Banega,ARG,MF,Sevilla,30,1988,29.6,2527,55,574,1507,484,17,2525,81,59,72.8,22,27.2,1546,7883,4241,50,33,7,43,58,1759,58
44,Léo Baptistão,BRA,FW|MF,Espanyol,25,1992,13.7,565,17,90,231,258,48,564,32,21,65.6,11,34.4,327,2161,1220,36,19,13,35,16,374,97
45,Enis Bardhi,MKD,MF,Levante,23,1995,31.5,1564,57,307,745,545,40,1564,72,43,59.7,29,40.3,838,4858,2567,68,62,8,69,56,995,128
46,Antonio Barragán,ESP,DF|FW,Betis,31,1987,10.4,731,38,198,286,250,15,731,9,3,33.3,6,66.7,361,1739,781,21,9,6,14,4,497,99
47,Ander Barrenetxea,ESP,FW|MF,Real Sociedad,16,2001,4.4,175,5,25,64,93,14,175,32,19,59.4,13,40.6,119,853,441,14,11,5,15,8,118,30
48,Marc Bartra,ESP,DF,Betis,27,1991,32.5,2679,236,1175,1398,125,21,2679,22,13,59.1,9,40.9,1569,9118,5799,32,43,3,26,13,1894,10
49,Borja Bastón,ESP,FW,Alavés,25,1992,16.0,471,14,56,224,194,49,471,9,5,55.6,4,44.4,230,878,319,10,10,2,39,18,327,75
50,Michy Batshuayi,BEL,FW,Valencia,24,1993,5.9,202,4,20,93,93,28,202,10,4,40.0,6,60.0,125,597,250,9,4,4,19,18,165,36
51,Jon Bautista,ESP,FW,Real Sociedad,23,1995,6.6,223,6,10,116,97,33,223,8,5,62.5,3,37.5,83,350,117,4,2,3,18,14,152,27
52,Bebé,CPV,FW|MF,Rayo Vallecano,28,1990,14.5,736,19,123,285,359,20,736,60,35,58.3,25,41.7,470,4255,1995,78,56,9,39,30,498,105
53,Bebé,CPV,MF,Eibar,28,1990,0.7,45,0,3,12,31,3,45,2,0,0.0,2,100.0,33,246,102,4,5,0,4,0,35,11
54,Fran Beltrán,ESP,MF,Celta Vigo,19,1999,16.9,1005,28,222,620,178,10,1005,15,12,80.0,3,20.0,625,2995,1212,15,17,1,20,21,702,29
55,Wissam Ben Yedder,FRA,FW,Sevilla,27,1990,31.2,1082,4,63,397,643,210,1080,81,46,56.8,35,43.2,661,3729,1994,72,57,33,65,37,788,249
56,Karim Benzema,FRA,FW,Real Madrid,30,1987,32.8,1531,27,72,639,828,202,1528,74,47,63.5,26,35.1,1012,5582,2583,110,67,46,62,48,1252,273
57,Yuri Berchiche,ESP,DF|FW,Athletic Club,28,1990,34.7,2118,106,629,950,568,37,2118,56,33,58.9,23,41.1,1043,6258,3519,90,72,9,41,19,1146,138
58,Markel Bergara,ESP,MF,Getafe,32,1986,0.6,33,2,7,17,9,1,33,1,0,0.0,1,100.0,11,67,27,1,2,0,3,0,15,2
59,Pedro Bigas,ESP,DF,Eibar,27,1990,6.5,346,24,118,219,10,4,346,1,0,0.0,1,100.0,171,1144,620,6,2,0,1,1,194,0
60,Alejandro Blanco,ESP,FW|MF,Alavés,19,1998,0.2,8,1,3,2,3,1,8,1,1,100.0,0,0.0,6,39,9,0,1,1,1,0,6,2
61,Rubén Blanco,ESP,GK,Celta Vigo,23,1995,25.0,881,744,874,7,0,0,881,0,0,,0,,353,2232,1477,0,0,0,1,0,325,0
62,Pablo de Blasis,ARG,DF|MF,Eibar,30,1988,16.9,956,27,154,450,365,24,956,18,8,44.4,10,55.6,472,2405,1249,36,26,4,32,16,574,86
63,Emmanuel Boateng,GHA,FW,Levante,22,1996,7.8,171,8,11,62,98,31,171,7,4,57.1,3,42.9,104,498,188,9,1,6,16,12,143,38
64,Kevin-Prince Boateng,GHA,FW,Barcelona,31,1987,2.7,86,3,5,41,40,7,86,1,0,0.0,1,100.0,62,175,36,0,0,0,9,10,72,17
65,Daniele Bonera,ITA,DF,Villarreal,37,1981,2.6,115,17,58,60,0,0,115,0,0,,0,,69,390,212,1,0,0,1,0,74,0
66,Ryad Boudebouz,ALG,MF|FW,Celta Vigo,28,1990,8.0,478,8,49,222,217,21,478,18,13,72.2,5,27.8,285,1486,711,18,23,3,16,14,348,56
67,Ryad Boudebouz,ALG,MF|FW,Betis,28,1990,6.0,401,2,32,156,213,13,401,10,7,70.0,3,30.0,259,1395,642,13,18,3,15,15,342,46
68,Sofiane Boufal,MAR,MF|FW,Celta Vigo,24,1993,23.2,1270,8,181,548,584,90,1270,224,144,64.3,80,35.7,888,7683,4395,154,113,44,90,64,953,126
69,Yassine Bounou,MAR,GK,Girona,27,1991,31.8,1062,975,1060,1,1,1,1062,1,1,100.0,0,0.0,530,3130,2043,0,1,1,2,1,396,0
70,Martin Braithwaite,DEN,FW,Leganés,27,1991,15.6,385,3,22,155,218,57,385,33,17,51.5,16,48.5,263,1400,654,24,17,14,38,24,292,75
71,Darko Brašanac,SRB,MF,Alavés,26,1992,17.6,782,32,165,463,164,16,782,16,12,75.0,4,25.0,362,2032,1074,24,8,3,27,15,412,28
72,Rajko Brežančić,SRB,DF,Huesca,28,1989,0.7,27,2,10,7,10,0,27,0,0,,0,,4,32,24,0,0,0,1,0,10,3
73,Burgui,ESP,MF|FW,Alavés,24,1993,6.2,261,1,41,121,106,8,261,13,6,46.2,7,53.8,158,955,508,13,9,3,9,3,186,39
74,Sergio Busquets,ESP,MF,Barcelona,30,1988,30.2,2673,85,585,1733,366,16,2673,15,9,60.0,6,40.0,1521,5928,3029,12,24,0,14,25,1982,13
75,Unai Bustinza,ESP,DF,Leganés,26,1992,22.5,1307,121,543,590,187,18,1307,4,3,75.0,1,25.0,520,2925,1832,26,20,0,11,7,563,15
