Squad,# Pl,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%
Alavés,26,38.0,101,1,0,551,499,58,729,390,389,2,6,2,1972,864,890,49.3
Athletic Club,27,38.0,118,4,2,580,492,74,728,453,384,6,5,0,2036,923,723,56.1
Atlético Madrid,29,38.0,100,5,3,476,453,80,590,463,487,2,5,2,2080,675,586,53.5
Barcelona,30,38.0,76,2,1,410,550,102,394,391,346,8,2,1,2017,449,365,55.2
Betis,25,38.0,89,1,0,435,548,79,590,361,378,5,5,0,1804,463,467,49.8
Celta Vigo,28,38.0,79,6,5,458,484,90,659,382,377,3,7,1,1904,663,611,52.0
Eibar,25,38.0,81,2,1,521,390,92,1057,368,424,5,4,1,2272,996,1018,49.5
Espanyol,25,38.0,90,2,2,531,510,84,544,408,394,3,8,2,1935,591,582,50.4
Getafe,26,38.0,107,7,4,642,501,102,638,453,358,4,7,2,2029,836,948,46.9
Girona,26,38.0,81,4,2,537,527,60,743,432,367,3,8,2,1974,749,756,49.8
Huesca,30,38.0,113,3,1,579,442,94,771,440,452,5,9,3,2029,740,762,49.3
Leganés,29,38.0,104,4,2,542,398,75,744,432,382,3,4,1,1942,914,721,55.9
Levante,26,38.0,107,7,5,501,487,85,674,422,372,6,9,2,1969,469,571,45.1
Rayo Vallecano,29,38.0,101,8,5,567,455,71,783,433,422,5,11,1,1996,535,587,47.7
Real Madrid,27,38.0,79,6,4,446,545,112,762,373,395,8,8,0,1957,479,434,52.5
Real Sociedad,30,38.0,80,4,2,492,544,92,627,425,344,7,3,2,2021,699,651,51.8
Sevilla,27,38.0,114,6,4,536,462,111,812,365,408,5,7,0,2050,651,724,47.3
Valencia,25,38.0,88,3,2,463,514,75,715,418,384,6,8,2,2016,596,621,49.0
Valladolid,28,38.0,92,0,0,521,521,96,804,387,441,6,9,1,1967,595,854,41.1
Villarreal,26,38.0,115,3,3,518,412,95,618,390,413,3,5,3,1914,613,629,49.4
