Squad,# Pl,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP
Alavés,26,38.0,9631,14061,68.5,186037,84436,4155,5125,81.1,3682,4818,76.4,1514,3235,46.8,27,29.0,24.9,-2.0,298,831,224,117,1113
Athletic Club,27,38.0,13195,17584,75.0,241813,95216,6013,7036,85.5,5053,6188,81.7,1662,3197,52.0,26,30.7,34.5,-4.7,299,1069,288,86,1452
Atlético Madrid,29,38.0,14943,19014,78.6,244070,89224,7677,8649,88.8,4958,6062,81.8,1494,2809,53.2,36,35.3,37.2,+0.7,350,1128,288,47,1386
Barcelona,30,38.0,23263,26691,87.2,387149,121599,11437,12414,92.1,8986,9977,90.1,2097,2877,72.9,61,55.8,54.3,+5.2,405,1807,438,37,2110
Betis,25,38.0,19411,22871,84.9,330969,106399,9076,9940,91.3,7937,8845,89.7,1761,2815,62.6,30,32.9,35.9,-2.9,326,1279,304,61,1631
Celta Vigo,28,38.0,14955,18808,79.5,268380,94860,6600,7448,88.6,6152,7186,85.6,1693,3042,55.7,37,33.6,29.7,+3.4,343,959,245,67,1288
Eibar,25,38.0,12976,18501,70.1,257830,97741,5205,6395,81.4,5155,6570,78.5,2179,4285,50.9,26,36.7,38.9,-10.7,374,1359,353,152,1619
Espanyol,25,38.0,13855,17740,78.1,257913,96514,5888,6755,87.2,5853,6979,83.9,1783,3044,58.6,26,33.8,32.7,-7.8,332,1060,306,60,1495
Getafe,26,38.0,8108,13021,62.3,166355,79572,3280,4305,76.2,3027,4335,69.8,1505,3376,44.6,34,32.9,28.7,+1.1,294,842,272,86,1131
Girona,26,38.0,13136,17212,76.3,250408,94834,5279,6114,86.3,5722,6882,83.1,1791,3324,53.9,23,29.3,31.2,-6.3,280,869,256,92,1316
Huesca,30,38.0,10586,14891,71.1,201067,85670,4641,5565,83.4,3976,5151,77.2,1575,3157,49.9,28,34.6,31.3,-6.6,336,873,272,111,1209
Leganés,29,38.0,10733,15210,70.6,211020,87095,4636,5593,82.9,4186,5407,77.4,1727,3486,49.5,25,28.1,26.9,-3.1,306,933,234,121,1153
Levante,26,38.0,10824,14765,73.3,197315,82835,4880,5718,85.3,4064,5049,80.5,1458,2927,49.8,39,38.5,28.5,+0.5,307,932,250,63,1295
Rayo Vallecano,29,38.0,12469,16307,76.5,226255,87288,5658,6496,87.1,4841,5856,82.7,1534,2945,52.1,24,33.0,29.2,-9.0,334,904,224,80,1326
Real Madrid,27,38.0,20625,24198,85.2,365419,117707,9972,10890,91.6,7745,8656,89.5,2465,3521,70.0,39,49.9,44.8,-10.9,464,1628,386,87,2094
Real Sociedad,30,38.0,14565,18547,78.5,268094,94553,6175,7064,87.4,6300,7372,85.5,1729,3062,56.5,27,33.0,31.3,-6.0,316,1016,252,89,1381
Sevilla,27,38.0,14555,18806,77.4,264057,99500,6592,7512,87.8,5816,6932,83.9,1752,3230,54.2,47,49.3,45.6,-2.3,390,1165,392,103,1804
Valencia,25,38.0,13679,17639,77.5,250732,95104,6044,6956,86.9,5503,6585,83.6,1731,3065,56.5,38,46.7,45.2,-8.7,369,1184,325,89,1561
Valladolid,28,38.0,12015,16279,73.8,227734,85945,5157,5989,86.1,4872,5901,82.6,1664,3425,48.6,19,26.7,24.2,-7.7,293,981,193,73,1299
Villarreal,26,38.0,13758,17648,78.0,258486,98478,5946,6834,87.0,5697,6759,84.3,1829,3142,58.2,34,39.0,33.8,-5.0,364,1206,294,67,1648
