Squad,# Pl,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG
Alavés,26,38.0,39,426,116,27.2,11.21,3.05,0.09,0.32,18.3,16,2,3,41.1,38.8,0.09,-2.1,-1.8
Athletic Club,27,38.0,39,380,132,34.7,10.00,3.47,0.09,0.26,17.1,6,5,7,43.4,37.8,0.10,-4.4,-3.8
Atlético Madrid,29,38.0,53,440,155,35.2,11.58,4.08,0.11,0.32,18.3,21,3,4,47.3,44.1,0.10,+5.7,+5.9
Barcelona,30,38.0,88,551,242,43.9,14.50,6.37,0.15,0.33,18.0,50,8,9,75.8,68.7,0.13,+12.2,+11.3
Betis,25,38.0,43,436,156,35.8,11.47,4.11,0.09,0.24,18.6,31,5,7,47.1,41.5,0.10,-4.1,-3.5
Celta Vigo,28,38.0,52,445,152,34.2,11.71,4.00,0.10,0.30,18.0,22,7,7,46.5,41.2,0.09,+5.5,+3.8
Eibar,25,38.0,46,524,147,28.1,13.79,3.87,0.07,0.27,17.4,20,7,8,54.8,48.6,0.10,-8.8,-9.6
Espanyol,25,38.0,43,470,154,32.8,12.37,4.05,0.08,0.25,19.0,25,4,4,48.9,45.8,0.10,-5.9,-6.8
Getafe,26,38.0,47,395,122,30.9,10.39,3.21,0.10,0.34,17.1,13,6,6,46.2,41.6,0.11,+0.8,-0.6
Girona,26,38.0,37,392,137,34.9,10.32,3.61,0.08,0.23,18.3,21,6,6,43.5,39.3,0.10,-6.5,-8.3
Huesca,30,38.0,43,463,139,30.0,12.18,3.66,0.08,0.27,17.9,19,6,7,50.8,45.4,0.10,-7.8,-8.4
Leganés,29,38.0,36,414,128,30.9,10.89,3.37,0.08,0.26,17.6,14,3,5,40.6,36.8,0.09,-4.6,-3.8
Levante,26,38.0,56,435,154,35.4,11.45,4.05,0.12,0.33,18.8,32,5,7,53.9,48.4,0.11,+2.1,+2.6
Rayo Vallecano,29,38.0,40,453,144,31.8,11.92,3.79,0.08,0.24,19.3,22,5,5,48.7,44.8,0.10,-8.7,-9.8
Real Madrid,27,38.0,61,585,203,34.7,15.39,5.34,0.09,0.26,17.7,19,9,9,66.7,60.2,0.11,-5.7,-8.2
Real Sociedad,30,38.0,44,418,133,31.8,11.00,3.50,0.09,0.27,18.5,16,8,10,49.7,42.2,0.10,-5.7,-6.2
Sevilla,27,38.0,60,524,167,31.9,13.79,4.39,0.10,0.33,17.2,11,5,6,66.6,61.8,0.12,-6.6,-6.8
Valencia,25,38.0,50,470,157,33.4,12.37,4.13,0.10,0.29,17.3,18,5,7,60.7,55.2,0.12,-10.7,-10.2
Valladolid,28,38.0,31,406,125,30.8,10.68,3.29,0.07,0.22,19.5,24,4,7,41.1,35.6,0.09,-10.1,-8.6
Villarreal,26,38.0,47,488,169,34.6,12.84,4.45,0.09,0.26,17.3,8,3,6,53.9,50.0,0.10,-6.9,-6.0
