Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def
1,Antonio Adán,ESP,GK,Atlético Madrid,32,1987,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2,Aritz Aduriz,ESP,FW|MF,Athletic Club,38,1981,2.3,2,0.87,1,0,1,0,0,0,0,0.00,0,0,0,0,0,0
3,Lumor Agbenyenu,GHA,DF,Mallorca,22,1996,20.1,34,1.70,24,4,3,1,2,0,0,0.00,0,0,0,0,0,0
4,Martin Agirregabiria,ESP,DF,Alavés,23,1996,23.3,25,1.07,18,2,3,0,2,0,3,0.13,3,0,0,0,0,0
5,Joseph Aidoo,GHA,DF,Celta Vigo,23,1995,27.8,12,0.43,7,2,1,2,0,0,2,0.07,2,0,0,0,0,0
6,Jordi Alba,ESP,DF,Barcelona,30,1989,24.3,51,2.10,50,1,0,0,0,0,6,0.25,6,0,0,0,0,0
7,Raúl Albiol,ESP,DF,Villarreal,33,1985,36.0,19,0.53,17,0,0,1,1,0,1,0.03,1,0,0,0,0,0
8,Paco Alcácer,ESP,FW,Villarreal,25,1993,10.3,17,1.66,15,0,0,1,1,0,2,0.19,1,0,0,0,1,0
9,Rubén Alcaraz,ESP,MF,Valladolid,28,1991,21.4,51,2.38,31,7,4,3,6,0,4,0.19,4,0,0,0,0,0
10,Álex Alegría,ESP,FW,Mallorca,26,1992,1.2,1,0.83,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0
11,Carles Aleñá,ESP,MF,Barcelona,21,1998,1.9,1,0.52,1,0,0,0,0,0,1,0.52,1,0,0,0,0,0
12,Carles Aleñá,ESP,MF|FW,Betis,21,1998,8.2,17,2.08,17,0,0,0,0,0,0,0.00,0,0,0,0,0,0
13,Sergio Álvarez,ESP,MF|DF,Eibar,27,1992,12.7,9,0.71,6,0,1,1,0,1,0,0.00,0,0,0,0,0,0
14,Sergio Álvarez,ESP,GK,Celta Vigo,32,1986,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
15,Yeray Álvarez,ESP,DF,Athletic Club,24,1995,31.2,21,0.67,17,1,1,0,2,0,1,0.03,1,0,0,0,0,0
16,Ibrahim Amadou,FRA,MF,Leganés,26,1993,8.6,3,0.35,1,0,0,1,0,1,0,0.00,0,0,0,0,0,0
17,Amath,SEN,MF,Getafe,23,1996,0.7,1,1.36,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
18,Miguel Ángel Guerrero,ESP,FW,Leganés,29,1990,8.8,20,2.28,16,0,1,0,3,0,2,0.23,1,0,0,0,1,0
19,José Ángel,ESP,DF,Eibar,29,1989,26.2,64,2.44,39,14,2,5,2,2,6,0.23,4,1,0,1,0,0
20,Miguel Ángel Moyá,ESP,GK,Real Sociedad,35,1984,13.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
21,Antoñito,ESP,DF|MF,Valladolid,31,1987,11.4,19,1.66,17,1,0,0,0,1,0,0.00,0,0,0,0,0,0
22,Vitorino Antunes,POR,MF,Getafe,32,1987,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
23,Anuar,MAR,MF|FW,Valladolid,24,1995,2.1,2,0.95,1,0,0,0,0,1,0,0.00,0,0,0,0,0,0
24,Mauro Arambarri,URU,MF,Getafe,23,1995,34.1,49,1.44,28,7,2,6,5,1,4,0.12,3,1,0,0,0,0
25,Néstor Araujo,MEX,DF,Celta Vigo,27,1991,32.1,15,0.47,10,0,1,3,0,1,4,0.12,2,0,0,2,0,0
26,Ronald Araújo,URU,DF,Barcelona,20,1999,2.6,1,0.38,1,0,0,0,0,0,1,0.38,1,0,0,0,0,0
27,Anaitz Arbilla,ESP,DF,Eibar,32,1987,22.3,23,1.03,18,2,1,2,0,0,1,0.04,0,0,1,0,0,0
28,Alphonse Areola,FRA,GK,Real Madrid,26,1993,4.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
29,Santiago Arias,COL,DF,Atlético Madrid,27,1992,12.0,23,1.92,19,2,0,1,1,0,2,0.17,2,0,0,0,0,0
30,José Arnaiz,ESP,FW|MF,Osasuna,24,1995,8.8,18,2.05,11,1,0,1,5,0,3,0.34,2,0,0,0,1,0
31,José Arnaiz,ESP,MF,Leganés,24,1995,3.7,14,3.74,9,2,2,0,1,0,0,0.00,0,0,0,0,0,0
32,Sergio Asenjo,ESP,GK,Villarreal,30,1989,34.0,4,0.12,2,2,0,0,0,0,1,0.03,1,0,0,0,0,0
33,Marco Asensio,ESP,FW,Real Madrid,23,1996,3.7,11,2.95,8,0,2,1,0,0,1,0.27,1,0,0,0,0,0
34,Iago Aspas,ESP,FW,Celta Vigo,31,1987,36.2,109,3.01,78,1,10,7,11,2,12,0.33,6,0,4,0,2,0
35,Roger Assalé,CIV,FW|MF,Leganés,25,1993,5.9,19,3.22,12,0,2,0,5,0,3,0.51,1,0,0,0,2,0
36,Miguel Atienza,ESP,MF,Eibar,20,1999,0.3,1,3.00,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0
37,Ezequiel Ávila,ARG,FW,Osasuna,25,1994,17.7,47,2.66,29,0,5,5,7,1,6,0.34,3,0,1,0,2,0
38,Javier Avilés,ESP,MF|FW,Leganés,21,1997,2.0,7,3.41,5,0,1,0,1,0,2,0.97,1,0,1,0,0,0
39,Chidozie Awaziem,NGA,DF,Leganés,22,1997,22.2,13,0.59,10,1,0,1,1,0,0,0.00,0,0,0,0,0,0
40,Ramon Azeez,NGA,MF,Granada,26,1992,15.1,22,1.46,13,1,0,3,3,2,1,0.07,1,0,0,0,0,0
41,Iddrisu Baba,GHA,MF,Mallorca,23,1996,32.3,28,0.87,25,0,0,0,2,1,1,0.03,1,0,0,0,0,0
