Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,Performance W,Performance D,Performance L,Performance CS,Performance CS%,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%
1,Antonio Adán,ESP,GK,Atlético Madrid,32,1987,1,0,25,0.3,0,0.00,1,1,100.0,0,0,0,0,,0,0,0,0,
2,Sergio Álvarez,ESP,GK,Celta Vigo,32,1986,4,4,180,2.0,1,0.50,3,2,66.7,1,1,0,1,25.0,0,0,0,0,
3,Miguel Ángel Moyá,ESP,GK,Real Sociedad,35,1984,13,13,1170,13.0,16,1.23,51,36,68.6,5,4,4,3,23.1,1,0,0,1,
4,Alphonse Areola,FRA,GK,Real Madrid,26,1993,4,4,360,4.0,5,1.25,14,9,78.6,3,1,0,1,25.0,2,2,0,0,0.0
5,Sergio Asenjo,ESP,GK,Villarreal,30,1989,34,34,3060,34.0,41,1.21,145,104,75.2,17,4,13,11,32.4,6,5,1,0,16.7
6,Rubén Blanco,ESP,GK,Celta Vigo,24,1995,33,33,2960,32.9,43,1.31,135,92,71.9,6,14,13,10,30.3,5,5,0,0,0.0
7,Yassine Bounou,MAR,GK,Sevilla,28,1991,6,5,495,5.5,3,0.55,20,17,90.0,4,1,0,4,80.0,1,1,0,0,0.0
8,Churripi,ESP,GK,Valladolid,25,1994,3,3,244,2.7,3,1.11,13,10,76.9,1,0,2,1,33.3,0,0,0,0,
9,Jasper Cillessen,NED,GK,Valencia,30,1989,24,24,2096,23.3,30,1.29,109,78,78.0,10,7,7,5,20.8,8,6,2,0,25.0
10,Thibaut Courtois,BEL,GK,Real Madrid,27,1992,34,34,3060,34.0,20,0.59,96,76,79.2,23,8,3,18,52.9,0,0,0,0,
11,Iván Cuéllar,ESP,GK,Leganés,35,1984,27,27,2429,27.0,33,1.22,99,65,67.7,7,9,11,7,25.9,2,1,1,0,50.0
12,Marko Dmitrović,SRB,GK,Eibar,27,1992,35,35,3150,35.0,51,1.46,122,71,61.5,9,9,17,10,28.6,5,4,1,0,20.0
13,Jaume Doménech,ESP,GK,Valencia,28,1990,15,14,1324,14.7,23,1.56,81,58,72.8,4,4,6,3,21.4,1,1,0,0,0.0
14,Aarón Escandell,ESP,GK,Granada,23,1995,3,3,270,3.0,3,1.00,14,11,78.6,1,0,2,1,33.3,0,0,0,0,
15,Fabricio,ESP,GK,Mallorca,31,1987,2,2,90,1.0,3,3.00,6,3,66.7,0,0,1,0,0.0,1,1,0,0,0.0
16,Aitor Fernández,ESP,GK,Levante,28,1991,36,36,3240,36.0,51,1.42,205,153,76.6,12,7,17,5,13.9,5,3,2,0,40.0
17,Andrés Fernández,ESP,GK,Villarreal,32,1986,4,4,360,4.0,8,2.00,19,12,73.7,1,2,1,1,25.0,3,3,0,0,0.0
