Rk,Player,Nation,Pos,Squad,Age,Born,90s,Goals GA,Goals PKA,Goals FK,Goals CK,Goals OG,Expected PSxG,Expected PSxG/SoT,Expected PSxG+/-,Expected /90,Launched Cmp,Launched Att,Launched Cmp%,Passes Att,Passes Thr,Passes Launch%,Passes AvgLen,Goal Kicks Att,Goal Kicks Launch%,Goal Kicks AvgLen,Crosses Opp,Crosses Stp,Crosses Stp%,Sweeper #OPA,Sweeper #OPA/90,Sweeper AvgDist
1,Antonio Adán,ESP,GK,Atlético Madrid,32,1987,0.3,0,0,0,0,0,0.0,0.04,0.0,+0.13,1,3,33.3,5,1,40.0,30.2,1,100.0,65.0,1,0,0.0,0,0.00,
2,Sergio Álvarez,ESP,GK,Celta Vigo,32,1986,2.0,1,0,0,0,0,1.0,0.34,0.0,+0.01,5,18,27.8,35,6,25.7,30.1,19,47.4,38.8,37,0,0.0,1,0.50,16.0
3,Miguel Ángel Moyá,ESP,GK,Real Sociedad,35,1984,13.0,16,0,0,1,1,15.4,0.30,+0.4,+0.03,81,158,51.3,361,57,24.7,30.3,100,69.0,44.3,150,7,4.7,23,1.77,17.7
4,Alphonse Areola,FRA,GK,Real Madrid,26,1993,4.0,5,2,0,1,0,4.1,0.15,-0.9,-0.22,14,32,43.8,105,27,17.1,26.9,29,48.3,41.4,57,2,3.5,4,1.00,14.2
5,Sergio Asenjo,ESP,GK,Villarreal,30,1989,34.0,41,5,0,8,1,38.7,0.23,-1.3,-0.04,130,397,32.7,750,157,33.2,33.2,282,52.5,41.6,576,16,2.8,27,0.79,14.1
6,Rubén Blanco,ESP,GK,Celta Vigo,24,1995,32.9,43,5,3,3,0,41.1,0.28,-1.9,-0.06,184,518,35.5,691,122,46.2,37.4,292,68.2,49.6,523,19,3.6,11,0.33,9.8
7,Yassine Bounou,MAR,GK,Sevilla,28,1991,5.5,3,1,0,0,0,4.7,0.19,+1.7,+0.31,34,75,45.3,123,24,36.6,33.7,45,66.7,47.6,73,1,1.4,1,0.18,11.7
8,Churripi,ESP,GK,Valladolid,25,1994,2.7,3,0,0,2,0,3.4,0.27,+0.4,+0.16,19,76,25.0,73,8,75.3,49.5,24,87.5,64.0,49,3,6.1,3,1.11,10.5
9,Jasper Cillessen,NED,GK,Valencia,30,1989,23.3,30,6,2,1,1,29.1,0.20,+0.1,+0.01,116,366,31.7,549,133,41.0,35.1,205,68.8,51.3,385,6,1.6,13,0.56,13.8
10,Thibaut Courtois,BEL,GK,Real Madrid,27,1992,34.0,20,0,0,4,0,26.7,0.28,+6.7,+0.20,76,280,27.1,865,200,23.4,30.6,217,35.9,37.7,403,21,5.2,33,0.97,14.5
11,Iván Cuéllar,ESP,GK,Leganés,35,1984,27.0,33,1,1,7,0,30.7,0.30,-2.3,-0.09,213,598,35.6,605,107,66.0,46.1,217,91.7,63.2,396,11,2.8,38,1.41,16.2
12,Marko Dmitrović,SRB,GK,Eibar,27,1992,35.0,51,4,2,3,1,45.8,0.35,-4.2,-0.12,266,822,32.4,815,88,72.1,51.6,244,95.9,70.9,419,24,5.7,75,2.14,17.9
13,Jaume Doménech,ESP,GK,Valencia,28,1990,14.7,23,1,1,3,0,21.0,0.26,-2.0,-0.13,95,233,40.8,329,68,41.9,34.2,132,72.0,48.7,234,6,2.6,6,0.41,10.8
14,Aarón Escandell,ESP,GK,Granada,23,1995,3.0,3,0,0,0,0,3.1,0.22,+0.1,+0.03,25,76,32.9,100,22,62.0,42.5,26,53.8,46.7,39,2,5.1,2,0.67,13.6
15,Fabricio,ESP,GK,Mallorca,31,1987,1.0,3,1,0,1,0,2.3,0.23,-0.7,-0.74,6,14,42.9,24,6,41.7,38.0,9,44.4,40.1,7,0,0.0,0,0.00,8.3
16,Aitor Fernández,ESP,GK,Levante,28,1991,36.0,51,3,1,8,2,52.7,0.24,+3.7,+0.10,170,491,34.6,772,193,43.3,37.6,333,47.1,39.8,590,20,3.4,45,1.25,14.4
17,Andrés Fernández,ESP,GK,Villarreal,32,1986,4.0,8,3,0,2,1,6.5,0.19,-0.5,-0.11,16,45,35.6,112,16,25.0,28.0,43,39.5,34.3,72,3,4.2,0,0.00,10.2
18,Sergio Herrera,ESP,GK,Osasuna,26,1993,18.4,27,1,2,4,0,27.4,0.33,+0.4,+0.02,149,453,32.9,462,73,69.3,47.1,147,90.5,59.2,235,16,6.8,31,1.69,16.4
19,Iago Herrerín,ESP,GK,Athletic Club,31,1988,4.7,9,0,1,0,0,5.2,0.29,-3.8,-0.80,41,101,40.6,138,27,55.8,41.4,30,80.0,54.8,52,6,11.5,0,0.00,10.0
20,Diego López,ESP,GK,Espanyol,37,1981,35.9,58,6,0,4,2,53.9,0.31,-2.1,-0.06,218,661,33.0,834,118,54.1,41.1,302,69.5,49.8,474,26,5.5,50,1.39,15.9
21,Daniel Martín,ESP,GK,Betis,21,1998,5.9,12,0,0,1,0,7.9,0.33,-4.1,-0.69,23,58,39.7,147,34,29.3,30.8,36,41.7,40.6,69,2,2.9,8,1.36,18.3
22,Jordi Masip,ESP,GK,Valladolid,30,1989,35.0,39,6,2,3,0,43.6,0.30,+4.6,+0.13,238,711,33.5,714,122,61.9,43.6,336,80.1,55.4,540,12,2.2,15,0.43,10.9
23,Neto,BRA,GK,Barcelona,30,1989,2.0,2,0,0,0,0,1.6,0.54,-0.4,-0.19,5,10,50.0,46,5,15.2,24.5,15,20.0,24.2,22,1,4.5,4,2.00,16.6
24,Jan Oblak,SVN,GK,Atlético Madrid,26,1993,37.7,27,3,1,4,3,29.8,0.25,+5.8,+0.15,232,589,39.4,635,111,56.7,41.2,316,72.5,49.9,532,12,2.3,12,0.32,13.1
25,Oier Olazábal,ESP,GK,Espanyol,29,1989,2.0,0,0,0,0,0,0.5,0.18,+0.5,+0.27,6,17,35.3,51,15,21.6,31.1,12,50.0,41.4,21,3,14.3,0,0.00,7.8
26,Fernando Pacheco,ESP,GK,Alavés,27,1992,26.2,37,8,3,2,0,34.3,0.24,-2.7,-0.10,262,572,45.8,558,85,62.0,42.5,250,90.4,56.7,386,8,2.1,11,0.42,13.1
27,Miquel Parera,ESP,GK,Mallorca,23,1996,1.0,2,0,0,0,0,0.6,0.12,-1.4,-1.41,6,12,50.0,21,3,47.6,37.6,4,50.0,57.0,12,0,0.0,0,0.00,
28,Juan Pérez,ESP,GK,Osasuna,23,1996,2.0,3,1,0,0,0,2.6,0.18,-0.4,-0.22,12,38,31.6,50,10,56.0,44.6,14,71.4,52.9,27,0,0.0,3,1.50,18.2
29,Samu Pérez,ESP,GK,Valladolid,22,1997,0.3,1,1,0,0,0,1.0,0.00,0.0,-0.02,1,6,16.7,2,0,50.0,49.5,5,100.0,65.2,1,0,0.0,0,0.00,
30,Manolo Reina,ESP,GK,Mallorca,34,1985,36.0,60,14,2,6,1,60.9,0.26,+1.9,+0.05,241,644,37.4,888,176,52.4,39.6,306,58.5,47.9,520,26,5.0,28,0.78,13.7
31,Álex Remiro,ESP,GK,Real Sociedad,24,1995,25.0,32,7,2,3,0,30.0,0.24,-2.0,-0.08,139,351,39.6,767,76,32.6,32.8,146,69.2,50.6,297,6,2.0,42,1.68,17.4
32,Roberto,ESP,GK,Alavés,33,1986,8.8,19,3,0,1,0,20.1,0.33,+1.1,+0.13,84,195,43.1,170,9,78.8,52.6,66,92.4,65.9,107,3,2.8,3,0.34,11.5
33,Joel Robles,ESP,GK,Betis,29,1990,32.1,48,11,1,3,1,46.9,0.28,-0.1,0.00,135,406,33.3,905,137,34.6,33.0,241,38.6,35.5,455,10,2.2,51,1.59,17.8
34,Rubén,ESP,GK,Osasuna,35,1984,17.6,24,3,1,1,0,21.2,0.35,-2.8,-0.16,128,367,34.9,376,61,66.5,47.0,142,82.4,58.0,226,5,2.2,13,0.74,15.4
35,Rui Silva,POR,GK,Granada,25,1994,35.0,42,4,1,5,0,42.8,0.27,+0.8,+0.02,304,823,36.9,974,115,59.9,43.1,299,80.3,55.8,499,25,5.0,66,1.89,16.6
36,Unai Simón,ESP,GK,Athletic Club,22,1997,33.2,29,5,1,2,2,34.6,0.28,+7.6,+0.23,304,716,42.5,838,145,56.6,42.2,268,90.3,61.6,495,20,4.0,20,0.60,13.1
37,Antonio Sivera,ESP,GK,Alavés,22,1996,3.0,3,1,0,0,0,2.2,0.25,-0.8,-0.28,29,61,47.5,56,9,67.9,46.1,27,85.2,57.9,34,1,2.9,1,0.33,9.1
38,David Soria,ESP,GK,Getafe,26,1993,38.0,37,5,0,2,2,38.3,0.30,+3.3,+0.09,359,970,37.0,880,46,83.4,52.7,259,91.1,58.5,383,20,5.2,69,1.82,18.1
39,Juan Soriano,ESP,GK,Leganés,21,1997,11.0,18,5,1,0,1,15.8,0.28,-1.2,-0.11,47,175,26.9,223,58,51.6,41.8,74,81.1,60.4,117,7,6.0,4,0.36,14.5
40,Marc-André ter Stegen,GER,GK,Barcelona,27,1992,36.0,36,6,2,1,0,34.8,0.25,-1.2,-0.03,122,239,51.0,1206,177,15.3,25.7,224,24.6,29.4,379,18,4.7,39,1.08,15.2
41,Tomáš Vaclík,CZE,GK,Sevilla,30,1989,32.5,31,2,3,2,1,27.3,0.25,-2.7,-0.08,145,375,38.7,692,155,34.8,34.2,234,57.3,44.9,405,18,4.4,28,0.86,15.0
42,Koke Vegas,ESP,GK,Levante,23,1995,2.0,2,0,0,1,0,1.6,0.16,-0.4,-0.22,9,24,37.5,43,13,39.5,36.7,19,36.8,31.5,46,0,0.0,4,2.00,16.1
43,Iván Villar,ESP,GK,Celta Vigo,22,1997,3.1,5,0,0,0,0,3.7,0.34,-1.3,-0.41,13,40,32.5,58,8,36.2,31.7,28,67.9,50.9,44,1,2.3,4,1.29,12.8
44,Yoel,ESP,GK,Eibar,30,1988,3.0,5,0,0,0,0,6.4,0.34,+1.4,+0.48,31,74,41.9,67,5,74.6,52.9,24,100.0,67.0,52,2,3.8,2,0.67,10.2
