Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err
1,Antonio Adán,ESP,GK,Atlético Madrid,32,1987,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2,Aritz Aduriz,ESP,FW|MF,Athletic Club,38,1981,2.3,3,2,0,3,0,0,0,,0,0,0,0,0,3,2,0
3,Lumor Agbenyenu,GHA,DF,Mallorca,22,1996,20.1,31,21,19,9,3,16,35,45.7,19,13,2,11,21,52,66,1
4,Martin Agirregabiria,ESP,DF,Alavés,23,1996,23.3,55,30,32,18,5,30,54,55.6,24,19,7,12,18,73,48,0
5,Joseph Aidoo,GHA,DF,Celta Vigo,23,1995,27.8,43,27,30,11,2,13,27,48.1,14,31,14,17,45,88,124,3
6,Jordi Alba,ESP,DF,Barcelona,30,1989,24.3,20,13,9,7,4,6,27,22.2,21,12,3,9,37,57,40,0
7,Raúl Albiol,ESP,DF,Villarreal,33,1985,36.0,43,23,27,16,0,18,27,66.7,9,29,21,8,42,85,175,2
8,Paco Alcácer,ESP,FW,Villarreal,25,1993,10.3,3,3,2,1,0,1,7,14.3,6,4,1,3,2,5,10,0
9,Rubén Alcaraz,ESP,MF,Valladolid,28,1991,21.4,61,30,37,20,4,30,63,47.6,33,46,15,31,15,76,41,0
10,Álex Alegría,ESP,FW,Mallorca,26,1992,1.2,1,0,1,0,0,0,0,,0,2,0,2,0,1,0,0
11,Carles Aleñá,ESP,MF,Barcelona,21,1998,1.9,2,1,1,1,0,1,4,25.0,3,1,0,1,0,2,0,0
12,Carles Aleñá,ESP,MF|FW,Betis,21,1998,8.2,14,9,5,7,2,3,17,17.6,14,4,1,3,1,15,3,0
13,Sergio Álvarez,ESP,MF|DF,Eibar,27,1992,12.7,37,22,11,24,2,8,24,33.3,16,16,2,14,17,54,26,1
14,Sergio Álvarez,ESP,GK,Celta Vigo,32,1986,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
15,Yeray Álvarez,ESP,DF,Athletic Club,24,1995,31.2,36,19,28,7,1,17,30,56.7,13,33,22,11,62,98,138,2
16,Ibrahim Amadou,FRA,MF,Leganés,26,1993,8.6,16,9,5,9,2,4,11,36.4,7,5,0,5,12,28,6,0
17,Amath,SEN,MF,Getafe,23,1996,0.7,2,1,1,1,0,0,5,0.0,5,2,0,2,0,2,0,0
18,Miguel Ángel Guerrero,ESP,FW,Leganés,29,1990,8.8,1,0,0,1,0,1,10,10.0,9,4,0,4,2,3,4,0
19,José Ángel,ESP,DF,Eibar,29,1989,26.2,54,31,26,25,3,26,43,60.5,17,23,7,16,33,87,61,1
20,Miguel Ángel Moyá,ESP,GK,Real Sociedad,35,1984,13.0,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,6,2
21,Antoñito,ESP,DF|MF,Valladolid,31,1987,11.4,26,18,19,7,0,12,20,60.0,8,9,0,9,15,41,20,1
22,Vitorino Antunes,POR,MF,Getafe,32,1987,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
23,Anuar,MAR,MF|FW,Valladolid,24,1995,2.1,4,2,1,2,1,2,6,33.3,4,7,3,4,5,9,0,0
24,Mauro Arambarri,URU,MF,Getafe,23,1995,34.1,72,33,24,40,8,31,69,44.9,38,52,5,47,43,115,40,2
25,Néstor Araujo,MEX,DF,Celta Vigo,27,1991,32.1,44,27,35,8,1,22,36,61.1,14,26,18,8,52,96,142,0
