Squad,# Pl,Age,Playing Time MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90
Alavés,32,27.6,38,3420,90,100,38.0,418,83,,133,22,187,1.03,34,59,-25,-0.66,39.3,57.8,-18.5,-0.49
Athletic Club,26,26.7,38,3420,90,100,38.0,418,83,,130,21,189,1.34,41,38,+3,+0.08,41.5,48.8,-7.3,-0.19
Atlético Madrid,30,26.1,38,3420,90,100,38.0,418,82,,130,23,187,1.84,51,27,+24,+0.63,56.8,32.5,+24.4,+0.64
Barcelona,28,27.8,38,3420,90,100,38.0,418,83,,123,22,183,2.16,86,38,+48,+1.26,66.3,38.3,+28.0,+0.74
Betis,27,27.5,38,3420,90,100,38.0,418,83,,132,20,182,1.08,48,60,-12,-0.32,51.0,54.8,-3.7,-0.10
Celta Vigo,30,25.8,38,3420,90,100,38.0,418,83,,130,20,187,0.97,37,49,-12,-0.32,39.2,45.3,-6.1,-0.16
Eibar,26,29.3,38,3420,90,100,38.0,418,84,,128,19,185,1.11,39,56,-17,-0.45,42.0,53.0,-11.0,-0.29
Espanyol,31,27.7,38,3420,90,100,38.0,418,83,,130,19,189,0.66,27,58,-31,-0.82,38.6,51.0,-12.4,-0.33
Getafe,30,27.5,38,3420,90,100,38.0,418,84,,128,19,175,1.42,43,37,+6,+0.16,41.6,41.4,+0.2,0.00
Granada,27,26.8,38,3420,90,100,38.0,418,82,,133,24,174,1.47,52,45,+7,+0.18,44.9,42.6,+2.3,+0.06
Leganés,29,26.9,38,3420,90,100,38.0,418,82,,130,25,190,0.95,30,51,-21,-0.55,39.9,42.8,-2.9,-0.08
Levante,29,27.7,38,3420,90,100,38.0,418,84,,134,19,187,1.29,47,53,-6,-0.16,48.1,62.9,-14.8,-0.39
Mallorca,32,26.8,38,3420,90,100,38.0,418,83,,132,22,185,0.87,40,65,-25,-0.66,41.1,63.5,-22.4,-0.59
Osasuna,31,27.7,38,3420,90,100,38.0,418,83,,129,20,185,1.37,46,54,-8,-0.21,49.4,49.4,+0.1,0.00
Real Madrid,26,27.6,38,3420,90,100,38.0,418,85,,120,18,198,2.29,70,25,+45,+1.18,67.9,33.3,+34.6,+0.91
Real Sociedad,27,24.8,38,3420,90,100,38.0,418,83,,126,22,195,1.47,56,48,+8,+0.21,48.9,43.0,+5.8,+0.15
Sevilla,26,27.7,38,3420,90,100,38.0,418,83,,133,23,187,1.84,54,34,+20,+0.53,53.2,36.1,+17.1,+0.45
Valencia,28,27.0,38,3420,90,100,38.0,418,83,,132,22,187,1.39,46,53,-7,-0.18,43.3,56.0,-12.7,-0.33
Valladolid,30,27.1,38,3420,90,100,38.0,418,83,,126,22,179,1.11,32,43,-11,-0.29,36.6,54.5,-18.0,-0.47
Villarreal,25,27.6,38,3420,90,100,38.0,418,84,,132,20,188,1.58,63,49,+14,+0.37,63.6,46.3,+17.3,+0.45
