Rk,Player,Nation,Pos,Squad,Age,Born,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP
1,Sabit Abdulai,GHA,MF,Getafe,21,1999,0.7,7,14,50.0,140,10,2,5,40.0,4,4,100.0,1,3,33.3,0,0.0,0.0,0.0,0,0,1,0,1
2,Marcos Acuña,ARG,DF,Sevilla,28,1991,25.9,1415,1767,80.1,24839,9704,675,730,92.5,542,639,84.8,159,310,51.3,2,2.6,2.9,-0.6,32,104,35,19,114
3,Bobby Adekanye,NED,FW|MF,Cádiz,21,1999,0.4,7,10,70.0,99,0,5,5,100.0,1,3,33.3,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0
4,Martin Agirregabiria,ESP,DF|MF,Alavés,24,1996,17.3,534,751,71.1,8856,4049,268,318,84.3,204,283,72.1,48,106,45.3,1,0.7,0.7,+0.3,12,39,15,10,39
5,Joseph Aidoo,GHA,DF,Celta Vigo,24,1995,14.3,511,629,81.2,10079,3604,164,183,89.6,285,324,88.0,56,95,58.9,0,0.3,0.1,-0.3,2,27,2,0,43
6,Carlos Akapo,EQG,DF,Cádiz,27,1993,9.6,229,356,64.3,3877,1740,100,126,79.4,104,156,66.7,17,54,31.5,0,0.2,0.3,-0.2,2,14,4,3,15
7,Paul Akouokou,CIV,MF,Betis,22,1997,4.2,170,187,90.9,3040,728,72,79,91.1,77,80,96.3,17,23,73.9,0,0.6,0.2,-0.6,2,21,1,1,13
8,Jony Álamo,ESP,MF,Elche,18,2001,0.8,14,16,87.5,255,64,5,6,83.3,7,8,87.5,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,1
9,Jordi Alba,ESP,DF|FW,Barcelona,31,1989,33.6,2479,2929,84.6,34728,9855,1520,1643,92.5,728,867,84.0,117,192,60.9,5,7.6,9.9,-2.6,52,149,76,16,197
10,Raúl Albiol,ESP,DF,Villarreal,34,1985,34.6,1829,2065,88.6,37606,12938,519,557,93.2,1047,1126,93.0,242,333,72.7,0,1.0,1.0,-1.0,4,92,3,1,136
11,Paco Alcácer,ESP,FW,Villarreal,26,1993,17.2,193,270,71.5,2269,375,106,135,78.5,40,58,69.0,10,14,71.4,4,2.8,2.5,+1.2,15,3,7,0,13
12,Pedro Alcalá,ESP,DF,Cádiz,31,1989,10.1,205,282,72.7,4573,1737,46,57,80.7,115,129,89.1,39,83,47.0,0,0.0,0.0,0.0,0,14,0,0,11
13,Rubén Alcaraz,ESP,MF,Valladolid,29,1991,24.1,930,1131,82.2,18393,5237,384,433,88.7,371,404,91.8,157,237,66.2,0,0.5,0.9,-0.5,9,100,11,3,107
14,Iván Alejo,ESP,MF|FW,Cádiz,25,1995,9.2,127,229,55.5,1816,637,74,97,76.3,39,61,63.9,7,35,20.0,1,0.8,0.8,+0.2,10,6,13,10,13
15,Carles Aleñá,ESP,MF,Barcelona,22,1998,0.5,36,39,92.3,624,177,17,19,89.5,11,12,91.7,6,6,100.0,0,0.0,0.0,0.0,0,3,0,0,7
16,Carles Aleñá,ESP,MF|FW,Getafe,22,1998,15.2,390,591,66.0,6991,2309,185,218,84.9,142,200,71.0,51,124,41.1,2,2.7,2.0,-0.7,25,52,24,4,77
17,Alfon,ESP,MF,Celta Vigo,21,1999,0.4,16,16,100.0,172,31,12,12,100.0,3,3,100.0,0,0,,0,0.1,0.0,-0.1,1,0,1,0,1
18,Sergio Álvarez,ESP,MF|DF,Eibar,28,1992,17.4,531,698,76.1,9925,2527,199,257,77.4,244,288,84.7,72,114,63.2,0,0.3,0.2,-0.3,6,43,2,1,49
19,Yeray Álvarez,ESP,DF,Athletic Club,25,1995,21.6,907,1107,81.9,18676,6666,301,349,86.2,441,485,90.9,151,226,66.8,0,0.5,0.4,-0.5,6,53,3,2,65
20,Emmanuel Amankwaa Akurugu,GHA,DF,Getafe,18,2001,0.5,9,14,64.3,130,36,5,6,83.3,3,4,75.0,1,2,50.0,0,0.0,0.0,0.0,0,3,0,0,0
21,Jon Ander Garrido,ESP,MF,Cádiz,30,1989,8.9,180,230,78.3,2990,1025,78,96,81.3,74,92,80.4,17,21,81.0,0,0.1,0.1,-0.1,2,22,1,1,22
22,Marcos André,BRA,FW,Valladolid,23,1996,13.1,114,199,57.3,1687,369,63,101,62.4,30,50,60.0,9,16,56.3,1,0.7,0.3,+0.3,6,10,0,0,15
