Rk,Player,Nation,Pos,Squad,Age,Born,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%
1,Luis Abram,PER,DF,Granada,25,1996,6.2,2,0,0,5,4,0,0,5,3,0,0,1,14,7,14,33.3
2,Marcos Acuña,ARG,DF,Sevilla,29,1991,25.1,10,0,0,38,48,0,178,14,29,0,1,0,173,22,32,40.7
3,Martin Agirregabiria,ESP,DF,Alavés,25,1996,18.0,4,0,0,24,22,1,45,25,22,0,1,0,79,31,27,53.4
4,Julen Agirrezabala,ESP,GK,Athletic Club,20,2000,4.0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,
5,Sergio Agüero,ARG,FW,Barcelona,33,1988,1.7,0,0,0,1,2,1,3,0,1,0,0,0,3,3,2,60.0
6,Álvaro Aguirre,ESP,FW,Rayo Vallecano,21,2000,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
7,Joseph Aidoo,GHA,DF,Celta Vigo,25,1995,29.3,1,0,0,10,18,1,3,38,26,0,0,1,164,62,47,56.9
8,Carlos Akapo,EQG,DF,Cádiz,28,1993,20.5,4,0,0,23,25,2,45,51,31,0,1,0,112,37,32,53.6
9,Ilias Akhomach,ESP,FW,Barcelona,17,2004,1.4,0,0,0,3,4,0,6,0,0,0,0,0,11,1,2,33.3
10,Paul Akouokou,CIV,MF,Betis,23,1997,5.7,2,1,0,13,2,0,1,11,9,0,0,0,42,6,2,75.0
11,David Alaba,AUT,DF,Real Madrid,29,1992,29.4,2,0,0,16,6,2,40,22,13,0,0,0,141,14,22,38.9
12,Tomás Alarcón,CHI,MF,Cádiz,22,1999,15.8,5,0,0,19,9,1,64,30,20,0,2,0,107,15,19,44.1
13,Jordi Alba,ESP,DF,Barcelona,32,1989,29.4,11,0,0,26,19,11,121,33,34,0,0,0,214,13,23,36.1
14,Raúl Albiol,ESP,DF,Villarreal,35,1985,27.4,8,0,0,18,12,2,3,21,15,0,0,0,137,41,27,60.3
15,Paco Alcácer,ESP,FW,Villarreal,27,1993,8.7,1,0,0,5,7,8,1,6,3,0,0,0,28,10,25,28.6
16,Rubén Alcaraz,ESP,MF,Cádiz,30,1991,12.3,7,0,0,30,35,1,23,13,20,0,1,0,86,22,23,48.9
17,Omar Alderete,PAR,DF,Valencia,24,1996,26.7,15,0,0,42,7,0,4,35,34,0,2,0,158,69,39,63.9
18,Iván Alejo,ESP,MF|FW,Cádiz,26,1995,11.8,7,0,0,37,33,5,97,8,15,0,1,0,74,11,12,47.8
19,Carles Aleñá,ESP,MF,Getafe,23,1998,25.8,6,1,0,50,37,1,44,15,19,0,0,0,129,13,25,34.2
20,Hugo Álvarez,ESP,FW,Celta Vigo,18,2003,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
21,Yeray Álvarez,ESP,DF,Athletic Club,26,1995,20.7,6,0,0,23,13,1,3,45,14,0,0,0,141,56,41,57.7
22,Dani Alves,BRA,DF,Barcelona,38,1983,12.2,2,1,0,27,6,0,75,11,19,0,1,0,98,9,8,52.9
23,Emmanuel Amankwaa Akurugu,GHA,DF,Getafe,19,2001,0.9,0,0,0,1,1,0,4,0,0,0,0,0,4,2,2,50.0
24,Amath,SEN,FW|MF,Mallorca,25,1996,9.8,5,0,0,19,18,6,7,7,11,0,0,0,34,5,20,20.0
25,Florin Andone,ROU,FW,Cádiz,28,1993,2.0,1,0,0,3,2,3,0,0,1,0,0,0,6,7,11,38.9
26,Marcos André,BRA,FW|MF,Valencia,24,1996,10.8,3,0,0,23,22,4,3,7,11,1,0,0,34,41,51,44.6
27,José Ángel,ESP,DF,Osasuna,31,1989,12.0,2,1,0,10,5,0,46,10,13,0,0,0,78,10,6,62.5
28,Josep Antoni Gayá,ESP,DF,Mallorca,21,2000,0.6,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,
29,Mauro Arambarri,URU,MF,Getafe,25,1995,29.6,13,0,0,51,48,0,116,32,37,0,1,0,182,27,26,50.9
30,Néstor Araujo,MEX,DF,Celta Vigo,29,1991,29.1,4,0,0,19,10,0,3,27,14,0,0,1,160,63,48,56.8
31,Ronald Araújo,URU,DF,Barcelona,22,1999,25.2,6,0,0,25,12,1,7,23,23,0,0,0,135,60,24,71.4
32,Jesús Areso,ESP,DF,Osasuna,22,1999,2.1,1,0,0,3,4,0,2,0,3,0,0,0,6,3,6,33.3
33,Matias Arezo,URU,FW|MF,Granada,18,2002,1.8,1,0,0,3,1,0,4,1,3,0,0,0,3,7,5,58.3
34,Santiago Arias,COL,DF,Granada,29,1992,4.9,1,0,0,6,5,2,15,5,5,0,0,0,23,9,14,39.1
