Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off
1,Abdel Abqar,MAR,DF,Alavés,22,1999,0,,,,,0,,0,0,,16,,,,,,,,,,,
2,Luis Abram,PER,DF,Granada,25,1996,8,560,70,16.4,6.2,6,80,4,2,39,12,1.38,8,5,+3,+0.48,+1.11,5.2,7.2,-1.9,-0.31,+0.33
3,Marcos Acuña,ARG,DF,Sevilla,29,1991,31,2260,73,66.1,25.1,26,83,17,5,22,1,1.87,32,13,+19,+0.76,+0.45,29.6,19.2,+10.4,+0.41,+0.80
4,Martin Agirregabiria,ESP,DF,Alavés,25,1996,24,1616,67,47.3,18.0,17,83,11,7,28,13,0.96,13,31,-18,-1.00,-0.20,16.7,26.7,-10.1,-0.56,-0.08
5,Julen Agirrezabala,ESP,GK,Athletic Club,20,2000,4,360,90,10.5,4.0,4,90,4,0,,10,1.25,5,5,0,0.00,-0.21,4.2,5.3,-1.1,-0.27,-0.63
6,Sergio Agüero,ARG,FW,Barcelona,33,1988,4,151,38,4.4,1.7,2,65,1,2,11,0,1.00,1,2,-1,-0.60,-1.45,3.4,1.7,+1.7,+1.01,+0.26
7,Álvaro Aguirre,ESP,FW,Rayo Vallecano,21,2000,1,9,9,0.3,0.1,0,,0,1,9,0,0.00,0,0,0,0.00,+0.29,0.0,0.1,0.0,-0.43,-0.29
8,Joseph Aidoo,GHA,DF,Celta Vigo,25,1995,32,2637,82,77.1,29.3,30,87,24,2,7,3,1.22,35,31,+4,+0.14,+0.60,34.1,33.1,+1.0,+0.03,+0.44
9,Carlos Akapo,EQG,DF,Cádiz,28,1993,25,1844,74,53.9,20.5,21,84,14,4,21,5,1.08,15,27,-12,-0.59,-0.36,21.0,25.1,-4.1,-0.20,+0.07
10,Ilias Akhomach,ESP,FW,Barcelona,17,2004,2,124,62,3.6,1.4,2,62,0,0,,3,3.00,1,0,+1,+0.73,-0.07,1.8,0.3,+1.4,+1.04,+0.29
11,Paul Akouokou,CIV,MF,Betis,23,1997,8,516,65,15.1,5.7,6,82,2,2,11,19,1.38,7,3,+4,+0.70,+0.14,5.8,4.6,+1.3,+0.22,-0.06
12,David Alaba,AUT,DF,Real Madrid,29,1992,30,2642,88,77.3,29.4,30,88,27,0,,0,2.30,60,26,+34,+1.16,-0.58,53.3,31.4,+21.9,+0.75,+0.06
13,Jony Álamo,ESP,MF,Elche,19,2001,0,,,,,0,,0,0,,8,,,,,,,,,,,
14,Tomás Alarcón,CHI,MF,Cádiz,22,1999,23,1425,62,41.7,15.8,16,81,9,7,19,5,0.96,12,23,-11,-0.69,-0.47,12.8,21.4,-8.6,-0.54,-0.54
15,Jordi Alba,ESP,DF,Barcelona,32,1989,30,2644,88,77.3,29.4,30,88,26,0,,1,2.00,54,32,+22,+0.75,-0.18,50.4,28.2,+22.2,+0.76,-0.03
16,Raúl Albiol,ESP,DF,Villarreal,35,1985,28,2465,88,72.1,27.4,28,88,26,0,,6,1.50,42,25,+17,+0.62,-0.23,42.3,29.6,+12.8,+0.47,-0.16
17,Paco Alcácer,ESP,FW,Villarreal,27,1993,18,787,44,23.0,8.7,10,65,0,8,17,8,1.44,16,11,+5,+0.57,-0.15,13.9,10.9,+3.1,+0.35,-0.21
18,Rubén Alcaraz,ESP,MF,Cádiz,30,1991,14,1105,79,32.3,12.3,12,87,10,2,31,0,1.21,10,12,-2,-0.16,+0.38,14.6,12.7,+1.9,+0.15,+0.56
19,Omar Alderete,PAR,DF,Valencia,24,1996,29,2403,83,70.3,26.7,28,84,20,1,45,3,1.21,32,34,-2,-0.07,+0.19,26.7,32.1,-5.4,-0.20,+0.10
20,Iván Alejo,ESP,MF|FW,Cádiz,26,1995,20,1065,53,31.1,11.8,11,73,2,9,29,7,1.20,14,9,+5,+0.42,+1.23,11.8,12.4,-0.6,-0.05,+0.26
21,Pedro Alemañ,ESP,MF,Valencia,19,2002,0,,,,,0,,0,0,,4,,,,,,,,,,,
22,Carles Aleñá,ESP,MF,Getafe,23,1998,33,2320,70,67.8,25.8,30,76,6,3,15,1,1.12,23,20,+3,+0.12,+1.02,18.0,23.5,-5.6,-0.22,+0.09
23,Alfon,ESP,FW,Celta Vigo,22,1999,0,,,,,0,,0,0,,1,,,,,,,,,,,
24,Ángel Algobia,ESP,MF,Getafe,22,1999,0,,,,,0,,0,0,,3,,,,,,,,,,,
25,Gastón Álvarez,URU,DF,Getafe,21,2000,0,,,,,0,,0,0,,15,,,,,,,,,,,
26,Hugo Álvarez,ESP,FW,Celta Vigo,18,2003,1,11,11,0.3,0.1,0,,0,1,11,5,3.00,0,0,0,0.00,0.00,0.3,0.0,+0.3,+2.18,+2.26
27,Iker Álvarez,AND,GK,Villarreal,20,2001,0,,,,,0,,0,0,,10,,,,,,,,,,,
28,Yeray Álvarez,ESP,DF,Athletic Club,26,1995,22,1860,85,54.4,20.7,21,88,20,1,15,6,1.23,20,20,0,0.00,-0.40,27.4,19.5,+7.9,+0.38,+0.19
29,Dani Alves,BRA,DF,Barcelona,38,1983,14,1098,78,32.1,12.2,13,84,6,1,5,3,2.50,26,10,+16,+1.31,+0.77,20.1,10.7,+9.3,+0.76,0.00
30,Emmanuel Amankwaa Akurugu,GHA,DF,Getafe,19,2001,3,79,26,2.3,0.9,1,63,0,2,8,8,1.00,2,1,+1,+1.14,+1.38,0.6,1.0,-0.4,-0.42,-0.18
31,Amath,SEN,FW|MF,Mallorca,25,1996,19,884,47,25.8,9.8,9,68,1,10,27,4,0.89,10,13,-3,-0.31,+0.55,11.3,11.9,-0.7,-0.07,+0.28
32,Florin Andone,ROU,FW,Cádiz,28,1993,5,176,35,5.1,2.0,1,66,0,4,28,14,0.20,1,7,-6,-3.07,-2.79,1.2,4.4,-3.2,-1.63,-1.48
33,Marcos André,BRA,FW|MF,Valencia,24,1996,29,973,34,28.5,10.8,8,76,2,21,18,3,1.31,19,16,+3,+0.28,+0.57,13.6,12.9,+0.8,+0.07,+0.42
34,Lluis Andreu,ESP,GK,Elche,22,1999,0,,,,,0,,0,0,,16,,,,,,,,,,,
35,Ángel,ESP,GK,Granada,19,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,
36,José Ángel,ESP,DF,Osasuna,31,1989,23,1083,47,31.7,12.0,12,78,4,11,13,12,1.04,14,20,-6,-0.50,-0.19,13.6,22.0,-8.4,-0.70,-0.65
37,Josep Antoni Gayá,ESP,DF,Mallorca,21,2000,1,58,58,1.7,0.6,1,58,0,0,,17,0.00,1,4,-3,-4.66,-4.01,0.8,1.9,-1.1,-1.73,-1.48
38,Mauro Arambarri,URU,MF,Getafe,25,1995,31,2663,86,77.9,29.6,31,86,27,0,,0,1.23,31,27,+4,+0.14,+1.56,25.0,28.2,-3.2,-0.11,+0.62
39,Arana,ESP,FW,Villarreal,21,2000,0,,,,,0,,0,0,,1,,,,,,,,,,,
40,Néstor Araujo,MEX,DF,Celta Vigo,29,1991,34,2617,77,76.5,29.1,29,87,24,5,19,3,1.26,32,30,+2,+0.07,+0.29,30.3,32.0,-1.7,-0.06,+0.04
41,Ronald Araújo,URU,DF,Barcelona,22,1999,30,2272,76,66.4,25.2,25,86,22,5,25,1,2.13,48,29,+19,+0.75,-0.11,42.2,23.8,+18.4,+0.73,-0.11
42,Iván Arboleda,COL,GK,Rayo Vallecano,25,1996,0,,,,,0,,0,0,,8,,,,,,,,,,,
43,Jesús Areso,ESP,DF,Osasuna,22,1999,3,188,63,5.5,2.1,2,86,1,1,16,15,1.00,2,5,-3,-1.44,-1.13,1.2,5.2,-4.0,-1.90,-1.74
44,Matias Arezo,URU,FW|MF,Granada,18,2002,8,162,20,4.7,1.8,1,71,0,7,13,8,0.25,4,5,-1,-0.56,-0.11,3.1,5.9,-2.8,-1.54,-1.00
45,Santiago Arias,COL,DF,Granada,29,1992,12,440,37,12.9,4.9,4,78,2,8,16,8,1.50,12,9,+3,+0.61,+1.22,7.7,9.2,-1.5,-0.32,+0.31
46,Juan Artola,ESP,FW,Athletic Club,21,2000,0,,,,,0,,0,0,,3,,,,,,,,,,,
