Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def
1,Abner,BRA,DF,Betis,22,2000,6.7,8,1.18,5,1,1,1,0,0,1,0.15,1,0,0,0,0,0
2,Álvaro Aceves,ESP,GK,Valladolid,19,2003,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
3,Marcos Acuña,ARG,DF,Sevilla,30,1991,21.2,65,3.04,45,14,3,3,0,0,4,0.19,4,0,0,0,0,0
4,Julen Agirrezabala,ESP,GK,Athletic Club,21,2000,7.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
5,Álvaro Aguado,ESP,MF,Valladolid,26,1996,21.0,76,3.62,56,13,3,0,4,0,4,0.19,2,2,0,0,0,0
6,Joseph Aidoo,GHA,DF,Celta Vigo,26,1995,34.7,10,0.29,8,0,0,1,0,1,0,0.00,0,0,0,0,0,0
7,Sergio Akieme,ESP,DF,Almería,24,1997,25.5,36,1.41,29,1,1,3,0,2,3,0.12,2,0,1,0,0,0
8,Babatunde Akinsola,NGA,FW,Valladolid,19,2003,0.1,1,8.18,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0
9,Paul Akouokou,CIV,MF|DF,Betis,24,1997,5.0,2,0.40,0,0,0,2,0,0,0,0.00,0,0,0,0,0,0
10,David Alaba,AUT,DF,Real Madrid,30,1992,20.4,27,1.32,23,3,0,1,0,0,4,0.20,3,0,0,1,0,0
11,Ángel Alarcón,ESP,FW,Barcelona,18,2004,0.3,,,,,,,,,,,,,,,,
12,Tomás Alarcón,CHI,MF,Cádiz,23,1999,2.5,4,1.61,2,1,0,0,1,0,0,0.00,0,0,0,0,0,0
13,Jordi Alba,ESP,DF,Barcelona,33,1989,15.8,59,3.74,52,5,1,1,0,0,6,0.38,5,1,0,0,0,0
14,Raúl Albiol,ESP,DF,Villarreal,36,1985,23.5,12,0.51,12,0,0,0,0,0,0,0.00,0,0,0,0,0,0
15,Rubén Alcaraz,ESP,MF,Cádiz,31,1991,22.7,47,2.07,34,9,1,1,2,0,2,0.09,2,0,0,0,0,0
16,Omar Alderete,PAR,DF,Getafe,25,1996,22.7,24,1.06,22,0,0,2,0,0,3,0.13,3,0,0,0,0,0
17,Iván Alejo,ESP,MF|FW,Cádiz,27,1995,14.6,40,2.75,27,3,3,5,2,0,0,0.00,0,0,0,0,0,0
