Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,Performance W,Performance D,Performance L,Performance CS,Performance CS%,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%
1,Álvaro Aceves,ESP,GK,Valladolid,19,2003,1,0,13,0.1,0,0.00,3,3,100.0,0,0,0,0,,0,0,0,0,
2,Julen Agirrezabala,ESP,GK,Athletic Club,21,2000,8,7,675,7.5,6,0.80,19,13,68.4,1,3,3,2,28.6,0,0,0,0,
3,Sergio Asenjo,ESP,GK,Valladolid,33,1989,10,10,900,10.0,21,2.10,51,30,60.8,2,2,6,1,10.0,1,1,0,0,0.0
4,Édgar Badía,ESP,GK,Elche,30,1992,36,36,3240,36.0,63,1.75,200,136,72.0,5,10,21,4,11.1,10,7,3,0,30.0
5,Yassine Bounou,MAR,GK,Sevilla,31,1991,25,25,2151,23.9,41,1.72,106,66,63.2,7,6,12,4,16.0,3,2,1,0,33.3
6,Claudio Bravo,CHI,GK,Betis,39,1983,12,12,1080,12.0,9,0.75,42,33,81.0,5,5,2,4,33.3,1,1,0,0,0.0
7,Juan Carlos,ESP,GK,Girona,34,1988,10,10,900,10.0,18,1.80,43,25,62.8,2,2,6,0,0.0,2,2,0,0,0.0
8,Thibaut Courtois,BEL,GK,Real Madrid,30,1992,31,31,2790,31.0,29,0.94,118,88,78.8,20,5,6,10,32.3,5,4,1,0,20.0
9,Stole Dimitrievski,MKD,GK,Rayo Vallecano,28,1993,37,37,3324,36.9,49,1.33,139,94,67.6,13,10,14,9,24.3,5,4,0,1,0.0
10,Marko Dmitrović,SRB,GK,Sevilla,30,1992,15,13,1269,14.1,13,0.92,55,43,76.4,6,4,3,5,38.5,0,0,0,0,
11,Aitor Fernández,ESP,GK,Osasuna,31,1991,21,21,1890,21.0,19,0.90,77,59,75.3,10,5,6,8,38.1,0,0,0,0,
12,Álvaro Fernández,ESP,GK,Espanyol,24,1998,11,11,990,11.0,18,1.64,50,33,64.0,3,4,4,2,18.2,0,0,0,0,
13,Fernando,ESP,GK,Almería,32,1990,37,37,3285,36.5,61,1.67,193,132,70.5,11,8,18,4,10.8,6,4,1,1,20.0
14,Joan García,ESP,GK,Espanyol,21,2001,1,1,90,1.0,3,3.00,4,1,50.0,0,1,0,0,0.0,1,1,0,0,0.0
15,Paulo Gazzaniga,ARG,GK,Girona,30,1992,28,28,2520,28.0,37,1.32,125,87,73.6,11,8,9,4,14.3,6,4,1,1,20.0
16,David Gil,ESP,GK,Cádiz,28,1994,4,4,360,4.0,5,1.25,23,18,82.6,1,1,2,1,25.0,1,1,0,0,0.0
