Rk,Player,Nation,Pos,Squad,Age,Born,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%
1,Abner,BRA,DF,Betis,22,2000,6.7,2,0,0,8,2,0,13,8,9,0,1,0,43,9,16,36.0
2,Álvaro Aceves,ESP,GK,Valladolid,19,2003,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,50.0
3,Marcos Acuña,ARG,DF,Sevilla,30,1991,21.2,10,3,0,32,34,1,147,23,36,0,1,0,141,30,18,62.5
4,Julen Agirrezabala,ESP,GK,Athletic Club,21,2000,7.5,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,100.0
5,Álvaro Aguado,ESP,MF,Valladolid,26,1996,21.0,4,0,0,13,33,0,57,13,15,0,1,0,130,15,17,46.9
6,Joseph Aidoo,GHA,DF,Celta Vigo,26,1995,34.7,6,1,1,18,18,0,2,31,36,0,1,0,214,63,63,50.0
7,Sergio Akieme,ESP,DF,Almería,24,1997,25.5,5,0,0,20,18,0,70,14,16,0,0,0,127,14,15,48.3
8,Babatunde Akinsola,NGA,FW,Valladolid,19,2003,0.1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,
9,Paul Akouokou,CIV,MF|DF,Betis,24,1997,5.0,3,0,0,7,4,0,0,12,9,0,0,0,27,6,7,46.2
10,David Alaba,AUT,DF,Real Madrid,30,1992,20.4,3,0,0,9,3,0,26,14,11,0,1,0,94,11,8,57.9
11,Ángel Alarcón,ESP,FW,Barcelona,18,2004,0.3,0,0,0,2,1,0,1,0,0,,,0,,,,
12,Tomás Alarcón,CHI,MF,Cádiz,23,1999,2.5,2,1,1,4,3,0,6,2,2,0,0,0,14,3,1,75.0
13,Jordi Alba,ESP,DF,Barcelona,33,1989,15.8,6,1,1,11,4,10,91,11,18,0,0,0,118,8,15,34.8
14,Raúl Albiol,ESP,DF,Villarreal,36,1985,23.5,6,0,0,17,13,1,1,14,17,0,0,0,108,38,25,60.3
15,Rubén Alcaraz,ESP,MF,Cádiz,31,1991,22.7,11,1,1,45,33,0,44,19,31,0,1,0,159,30,29,50.8
16,Omar Alderete,PAR,DF,Getafe,25,1996,22.7,9,0,0,35,10,0,7,26,20,0,0,0,141,61,31,66.3
17,Iván Alejo,ESP,MF|FW,Cádiz,27,1995,14.6,13,1,1,38,44,2,108,5,21,0,1,0,76,25,17,59.5
18,Carles Aleñá,ESP,MF|FW,Getafe,24,1998,23.5,12,1,1,60,50,3,43,4,10,0,1,0,120,15,38,28.3
19,Alejandro Alfaro,ESP,MF,Elche,20,2002,0.2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,
20,Ángel Algobia,ESP,MF,Getafe,23,1999,12.6,3,0,0,31,10,0,11,3,13,0,0,0,68,7,21,25.0
21,Mohamed Ali Cho,FRA,FW|MF,Real Sociedad,18,2004,6.5,1,0,0,11,12,3,30,2,10,1,0,0,34,5,15,25.0
