Rk,Player,Nation,Pos,Squad,Age,Born,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG
1,Ismael Aaneba,FRA,DF,Strasbourg,19,1999,2.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
2,Yunis Abdelhamid,MAR,DF,Reims,30,1987,38.0,0,19,4,21.1,0.50,0.11,0.00,0.00,15.4,0,0,0,1.6,1.6,0.09,-1.6,-1.6
3,Mehdi Abeid,ALG,MF,Dijon,25,1992,22.5,3,36,10,27.8,1.60,0.44,0.06,0.20,24.9,0,1,1,2.9,2.1,0.06,+0.1,-0.1
4,Charles Abi,FRA,DF|FW,Saint-Étienne,18,2000,0.4,0,1,0,0.0,2.81,0.00,0.00,,15.5,0,0,0,0.1,0.1,0.06,-0.1,-0.1
5,Khaled Adénon,BEN,DF,Amiens,33,1985,22.2,0,8,0,0.0,0.36,0.00,0.00,,10.8,0,0,0,0.7,0.7,0.09,-0.7,-0.7
6,Yacine Adli,FRA,MF,Bordeaux,18,2000,2.4,0,1,0,0.0,0.42,0.00,0.00,,46.4,0,0,0,0.0,0.0,0.02,0.0,0.0
7,Nayef Aguerd,MAR,DF,Dijon,22,1996,11.7,3,10,4,40.0,0.86,0.34,0.30,0.75,14.0,0,0,0,1.5,1.5,0.15,+1.5,+1.5
8,Ruben Aguilar,FRA,DF,Montpellier,25,1993,28.1,1,13,4,30.8,0.46,0.14,0.08,0.25,20.1,0,0,0,0.9,0.9,0.07,+0.1,+0.1
9,Jean-Eudes Aholou,CIV,MF,Monaco,24,1994,11.9,0,13,3,23.1,1.09,0.25,0.00,0.00,18.8,0,0,0,0.8,0.8,0.06,-0.8,-0.8
10,Youssef Aït Bennasser,MAR,MF,Saint-Étienne,22,1996,10.4,0,7,1,14.3,0.67,0.10,0.00,0.00,27.4,0,0,0,0.3,0.3,0.04,-0.3,-0.3
11,Youssef Aït Bennasser,MAR,MF,Monaco,22,1996,11.9,0,8,1,12.5,0.67,0.08,0.00,0.00,28.1,0,0,0,0.3,0.3,0.03,-0.3,-0.3
12,Rayan Aït Nouri,ALG,DF|MF,Angers,17,2001,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
13,Ludovic Ajorque,FRA,FW,Strasbourg,24,1994,17.0,9,46,17,37.0,2.70,1.00,0.20,0.53,15.5,2,0,0,5.7,5.7,0.12,+3.3,+3.3
14,Sofiane Alakouch,MAR,DF,Nîmes,20,1998,21.1,1,13,3,23.1,0.62,0.14,0.08,0.33,22.3,0,0,0,0.5,0.5,0.04,+0.5,+0.5
15,Alexis Alegue,FRA,FW,Nantes,21,1996,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
16,Rúnar Alex Rúnarsson,ISL,GK,Dijon,23,1995,25.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
17,Rachid Alioui,MAR,FW,Nîmes,26,1992,13.9,5,52,20,38.5,3.74,1.44,0.10,0.25,21.0,4,0,0,5.4,5.4,0.10,-0.4,-0.4
18,Bobby Allain,FRA,GK,Dijon,26,1991,13.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
19,Mickaël Alphonse,GLP,DF,Dijon,29,1989,6.3,1,3,1,33.3,0.47,0.16,0.33,1.00,24.7,0,0,0,0.3,0.3,0.10,+0.7,+0.7
20,Dani Alves,BRA,MF|DF,Paris S-G,35,1983,18.0,1,27,6,22.2,1.50,0.33,0.04,0.17,22.0,3,0,0,1.8,1.8,0.07,-0.8,-0.8
21,Romain Amalfitano,FRA,MF|FW,Dijon,28,1989,28.0,0,19,4,21.1,0.68,0.14,0.00,0.00,25.9,0,0,0,0.7,0.7,0.03,-0.7,-0.7
22,Jordan Amavi,FRA,DF,Marseille,24,1994,24.2,0,24,3,12.5,0.99,0.12,0.00,0.00,24.3,0,0,0,0.8,0.8,0.03,-0.8,-0.8
23,Kelvin Amian,FRA,DF,Toulouse,20,1998,32.0,0,18,4,22.2,0.56,0.12,0.00,0.00,26.7,0,0,0,0.6,0.6,0.03,-0.6,-0.6
24,Yanis Ammour,FRA,MF,Montpellier,19,1999,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
25,Benjamin André,FRA,MF,Rennes,27,1990,27.7,3,28,9,32.1,1.01,0.32,0.11,0.33,14.4,0,0,0,3.0,3.0,0.11,0.0,0.0
26,Yoann Andreu,FRA,DF,Angers,29,1989,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
27,Houssem Aouar,ALG,MF,Lyon,20,1998,34.0,7,71,22,31.0,2.09,0.65,0.10,0.32,17.8,1,0,0,6.8,6.8,0.10,+0.2,+0.2
28,Luiz Araújo,BRA,FW|MF,Lille,22,1996,8.7,3,24,7,29.2,2.77,0.81,0.13,0.43,24.1,2,0,0,2.1,2.1,0.09,+0.9,+0.9
29,Alphonse Areola,FRA,GK,Paris S-G,25,1993,21.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
30,Yoël Armougom,FRA,DF,Caen,20,1998,20.6,0,11,1,9.1,0.53,0.05,0.00,0.00,29.9,0,0,0,0.3,0.3,0.03,-0.3,-0.3
31,Youcef Atal,ALG,DF|FW,Nice,22,1996,25.1,6,35,14,40.0,1.39,0.56,0.17,0.43,17.1,0,0,1,4.6,3.9,0.11,+1.4,+2.1
32,Ludovic Baal,GUF,DF,Rennes,32,1986,1.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
33,Benoît Badiashile,FRA,DF,Monaco,17,2001,19.6,1,6,2,33.3,0.31,0.10,0.17,0.50,12.3,0,0,0,0.8,0.8,0.13,+0.2,+0.2
34,Stéphane Bahoken,CMR,FW,Angers,26,1992,27.4,11,64,30,46.9,2.33,1.09,0.14,0.30,17.3,2,2,3,9.5,7.1,0.11,+1.5,+1.9
35,Fodé Ballo-Touré,SEN,DF,Lille,21,1997,17.7,0,4,2,50.0,0.23,0.11,0.00,0.00,20.2,0,0,0,0.4,0.4,0.10,-0.4,-0.4
36,Fodé Ballo-Touré,SEN,DF,Monaco,21,1997,17.7,0,4,1,25.0,0.23,0.06,0.00,0.00,14.8,0,0,0,0.2,0.2,0.06,-0.2,-0.2
37,Florent Balmont,FRA,MF,Dijon,38,1980,12.0,0,5,0,0.0,0.42,0.00,0.00,,32.3,0,0,0,0.1,0.1,0.02,-0.1,-0.1
