Squad,# Pl,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err
Amiens,26,38.0,629,384,313,244,72,256,611,41.9,355,389,141,248,396,1025,876,16
Angers,24,38.0,673,399,351,254,68,259,623,41.6,364,396,109,287,420,1093,889,8
Bordeaux,33,38.0,720,447,359,303,58,296,666,44.4,370,394,114,280,391,1111,966,20
Caen,26,38.0,709,435,373,271,65,291,621,46.9,330,403,141,262,489,1198,952,18
Dijon,26,38.0,674,408,339,254,81,261,645,40.5,384,417,119,298,482,1156,826,14
Guingamp,30,38.0,684,431,320,299,65,275,551,49.9,276,416,112,304,421,1105,768,17
Lille,25,38.0,628,378,295,272,61,263,583,45.1,320,377,106,271,387,1015,764,15
Lyon,25,38.0,637,384,285,266,86,231,492,47.0,261,406,136,270,363,1000,680,19
Marseille,24,38.0,781,489,349,332,100,318,698,45.6,380,346,98,248,401,1182,690,18
Monaco,42,38.0,686,422,322,271,93,301,660,45.6,359,334,86,248,386,1072,841,15
Montpellier,25,38.0,759,431,364,305,90,304,676,45.0,372,411,105,306,484,1243,751,11
Nantes,33,38.0,767,478,360,315,92,321,690,46.5,369,382,106,276,435,1202,831,6
Nice,30,38.0,662,420,331,264,67,287,617,46.5,330,410,108,302,450,1112,777,11
Nîmes,23,38.0,733,442,373,282,78,325,757,42.9,432,378,119,259,443,1176,832,8
Paris S-G,30,38.0,701,434,286,315,100,282,625,45.1,343,335,93,242,342,1043,535,20
Reims,27,38.0,760,454,423,257,80,291,647,45.0,356,364,111,253,486,1246,886,18
Rennes,28,38.0,652,395,307,271,74,292,650,44.9,358,405,119,286,389,1041,779,10
Saint-Étienne,29,38.0,672,406,307,272,93,278,633,43.9,355,357,97,260,441,1113,774,24
Strasbourg,26,38.0,649,405,320,256,73,257,570,45.1,313,373,127,246,428,1077,751,12
Toulouse,29,38.0,669,418,362,243,64,265,582,45.5,317,433,126,307,384,1053,947,17
