Squad,# Pl,Age,Playing Time MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90
Amiens,26,26.5,38,3420,90,100,38.0,418,85,307,106,18,160,1.00,31,52,-21,-0.55,35.4,49.8,-14.5,-0.38
Angers,24,28.0,38,3420,90,100,38.0,418,84,304,110,20,155,1.21,44,49,-5,-0.13,50.7,47.9,+2.8,+0.07
Bordeaux,33,25.3,38,3420,90,100,38.0,418,84,303,110,22,156,1.08,34,42,-8,-0.21,39.7,53.5,-13.7,-0.36
Caen,26,25.8,38,3420,90,100,38.0,418,83,301,113,23,153,0.87,29,54,-25,-0.66,31.0,63.8,-32.8,-0.86
Dijon,26,27.1,38,3420,90,100,38.0,418,84,299,112,20,154,0.89,31,60,-29,-0.76,39.8,58.2,-18.5,-0.49
Guingamp,30,26.0,38,3420,90,100,38.0,418,84,306,107,22,158,0.71,28,68,-40,-1.05,40.4,53.4,-12.9,-0.34
Lille,25,24.1,38,3420,90,100,38.0,418,86,302,112,16,154,1.97,68,33,+35,+0.92,59.5,42.1,+17.4,+0.46
Lyon,25,24.4,38,3420,90,100,38.0,418,85,309,108,20,158,1.89,70,47,+23,+0.61,73.7,43.9,+29.8,+0.78
Marseille,24,26.9,38,3420,90,100,38.0,418,85,301,110,18,156,1.61,60,52,+8,+0.21,52.7,45.6,+7.1,+0.19
Monaco,42,25.6,38,3420,90,100,38.0,418,84,312,102,22,163,0.95,38,57,-19,-0.50,47.4,50.2,-2.8,-0.07
Montpellier,25,28.0,38,3420,90,100,38.0,418,85,308,107,17,156,1.55,53,42,+11,+0.29,50.1,41.8,+8.2,+0.22
Nantes,33,25.9,38,3420,90,100,38.0,418,86,300,112,15,154,1.26,48,48,0,0.00,49.1,47.0,+2.1,+0.05
Nice,30,24.2,38,3420,90,100,38.0,418,85,307,109,19,157,1.47,30,35,-5,-0.13,46.3,50.0,-3.7,-0.10
Nîmes,23,24.1,38,3420,90,100,38.0,418,85,302,111,19,155,1.39,57,58,-1,-0.03,50.0,56.5,-6.5,-0.17
Paris S-G,30,26.2,38,3420,90,100,38.0,418,84,305,109,21,140,2.39,105,35,+70,+1.84,88.9,37.6,+51.3,+1.35
Reims,27,26.2,38,3420,90,100,38.0,418,85,304,112,20,154,1.45,39,42,-3,-0.08,38.1,45.0,-6.9,-0.18
Rennes,28,25.7,38,3420,90,100,38.0,418,85,311,105,21,161,1.37,55,52,+3,+0.08,55.6,47.6,+8.0,+0.21
Saint-Étienne,29,27.8,38,3420,90,100,38.0,418,84,298,113,19,151,1.74,59,41,+18,+0.47,56.7,50.4,+6.3,+0.17
Strasbourg,26,26.2,38,3420,90,100,38.0,418,86,307,109,17,156,1.29,58,48,+10,+0.26,41.3,51.2,-9.9,-0.26
Toulouse,29,25.5,38,3420,90,100,38.0,418,84,312,102,21,163,1.00,35,57,-22,-0.58,45.7,56.4,-10.7,-0.28
