Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err
1,Yunis Abdelhamid,MAR,DF,Reims,31,1987,28.0,46,33,29,15,2,17,30,56.7,13,26,14,12,47,93,99,1
2,Mehdi Abeid,ALG,MF,Nantes,26,1992,20.2,55,29,18,32,5,20,53,37.7,33,16,3,13,23,78,8,1
3,Charles Abi,FRA,FW,Saint-Étienne,19,2000,6.9,9,9,2,5,2,2,7,28.6,5,2,0,2,4,13,4,0
4,Amine Adli,MAR,MF|FW,Toulouse,19,2000,0.5,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0
5,Yacine Adli,FRA,MF,Bordeaux,19,2000,11.3,22,14,4,15,3,11,34,32.4,23,10,0,10,8,30,3,0
6,Nayef Aguerd,MAR,DF,Dijon,23,1996,10.6,13,9,7,5,1,8,12,66.7,4,11,11,0,18,31,54,0
7,Ruben Aguilar,FRA,DF,Monaco,26,1993,11.9,36,22,19,15,2,19,28,67.9,9,6,2,4,11,47,21,0
8,Jean-Eudes Aholou,CIV,MF,Saint-Étienne,25,1994,7.0,16,12,2,11,3,3,9,33.3,6,6,1,5,15,31,10,0
9,Youssef Aït Bennasser,MAR,MF,Bordeaux,23,1996,6.0,11,8,6,4,1,4,24,16.7,20,6,1,5,4,15,10,1
10,Rayan Aït Nouri,ALG,DF,Angers,18,2001,14.2,29,22,14,8,7,10,21,47.6,11,14,1,13,18,47,33,0
11,Ludovic Ajorque,FRA,FW,Strasbourg,25,1994,22.9,15,10,2,10,3,2,13,15.4,11,11,0,11,2,17,20,0
12,Marley Aké,FRA,FW|MF,Marseille,18,2001,1.1,2,2,1,1,0,1,3,33.3,2,0,0,0,1,3,1,0
13,Chadrac Akolo,COD,FW|MF,Amiens,24,1995,6.0,16,8,8,6,2,5,12,41.7,7,6,1,5,5,21,5,0
14,Sofiane Alakouch,MAR,DF,Nîmes,21,1998,15.6,45,26,25,13,7,25,48,52.1,23,13,2,11,23,68,39,3
15,Haitam Aleesami,NOR,DF,Amiens,28,1991,21.3,36,16,25,9,2,18,43,41.9,25,33,10,23,34,70,59,1
16,Rúnar Alex Rúnarsson,ISL,GK,Dijon,24,1995,10.0,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,3,3
17,Rachid Alioui,MAR,FW,Angers,27,1992,17.4,8,5,0,7,1,2,13,15.4,11,3,0,3,2,10,9,0
18,Mickaël Alphonse,GLP,DF,Dijon,30,1989,15.3,39,25,26,12,1,23,37,62.2,14,19,3,16,17,56,64,0
19,Romain Amalfitano,FRA,MF,Dijon,29,1989,18.8,43,27,18,21,4,21,61,34.4,40,23,9,14,36,79,14,2
20,Jordan Amavi,FRA,DF,Marseille,25,1994,24.0,55,29,31,19,5,31,64,48.4,33,27,6,21,56,111,97,0
21,Thierry Ambrose,GLP,FW,Metz,22,1997,6.1,7,5,2,2,3,2,7,28.6,5,3,0,3,3,10,3,0
22,Kelvin Amian,FRA,DF,Toulouse,21,1998,18.1,27,21,21,5,1,14,25,56.0,11,14,7,7,18,45,56,0
23,Joachim Andersen,DEN,DF,Lyon,23,1996,17.0,17,9,15,2,0,7,19,36.8,12,16,12,4,10,27,74,2
24,Benjamin André,FRA,MF,Lille,28,1990,22.8,72,44,31,35,6,29,74,39.2,45,32,9,23,59,131,40,1
25,Victorien Angban,CIV,MF,Metz,22,1996,11.4,23,18,11,11,1,11,24,45.8,13,9,2,7,8,31,5,0
26,Janis Antiste,FRA,MF,Toulouse,16,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
27,Houssem Aouar,ALG,MF|FW,Lyon,21,1998,21.7,28,12,6,18,4,10,35,28.6,25,15,1,14,13,41,11,0
28,Adil Aouchiche,FRA,MF,Paris S-G,17,2002,0.7,3,2,1,2,0,2,4,50.0,2,3,0,3,0,3,0,0
29,Dennis Appiah,FRA,DF,Nantes,27,1992,17.8,58,35,32,20,6,28,52,53.8,24,9,3,6,23,81,34,0
30,Luiz Araújo,BRA,FW|MF,Lille,23,1996,9.2,20,11,3,8,9,5,31,16.1,26,14,0,14,4,24,6,0
31,Alphonse Areola,FRA,GK,Paris S-G,26,1993,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1
32,Youcef Atal,ALG,FW|DF,Nice,23,1996,11.1,24,11,15,6,3,13,31,41.9,18,12,1,11,24,48,11,1
33,Jean-Kévin Augustin,FRA,FW,Monaco,22,1997,3.0,3,0,1,2,0,1,6,16.7,5,2,0,2,3,6,0,0
34,Mathias Autret,FRA,MF|FW,Brest,28,1991,13.6,23,17,5,11,7,8,25,32.0,17,14,1,13,10,33,3,0
35,Ludovic Baal,GUF,DF,Brest,33,1986,9.2,27,15,13,12,2,10,22,45.5,12,9,3,6,17,44,20,0
36,Benoît Badiashile,FRA,DF,Monaco,18,2001,15.7,18,12,12,5,1,6,12,50.0,6,20,11,9,27,45,57,1
37,Bastian Badu,FRA,FW,Montpellier,19,2000,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
38,Stéphane Bahoken,CMR,FW,Angers,27,1992,10.1,7,4,1,2,4,1,7,14.3,6,4,1,3,2,9,2,0
39,Dénys Bain,FRA,DF,Brest,26,1993,14.1,21,14,15,6,0,9,9,100.0,0,13,10,3,28,49,66,0
40,Stefan Bajic,FRA,GK,Saint-Étienne,17,2001,1.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,2,0
41,Tiemoué Bakayoko,FRA,MF,Monaco,24,1994,19.1,48,24,16,27,5,29,54,53.7,25,12,4,8,29,77,17,0
