Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def
1,Yunis Abdelhamid,MAR,DF,Reims,31,1987,28.0,23,0.82,16,0,1,4,2,0,1,0.04,1,0,0,0,0,0
2,Mehdi Abeid,ALG,MF,Nantes,26,1992,20.2,53,2.63,30,16,1,3,1,2,4,0.20,2,1,0,1,0,0
3,Charles Abi,FRA,FW,Saint-Étienne,19,2000,6.9,18,2.60,11,0,1,1,4,1,2,0.29,1,0,0,0,1,0
4,Amine Adli,MAR,MF|FW,Toulouse,19,2000,0.5,3,5.87,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0
5,Yacine Adli,FRA,MF,Bordeaux,19,2000,11.3,45,3.97,29,5,5,2,2,2,7,0.62,3,1,2,1,0,0
6,Nayef Aguerd,MAR,DF,Dijon,23,1996,10.6,4,0.38,3,1,0,0,0,0,1,0.09,1,0,0,0,0,0
7,Ruben Aguilar,FRA,DF,Monaco,26,1993,11.9,36,3.02,31,2,0,0,2,1,4,0.34,4,0,0,0,0,0
8,Jean-Eudes Aholou,CIV,MF,Saint-Étienne,25,1994,7.0,13,1.86,7,0,0,0,2,4,1,0.14,0,0,0,0,0,1
9,Youssef Aït Bennasser,MAR,MF,Bordeaux,23,1996,6.0,10,1.68,10,0,0,0,0,0,2,0.34,2,0,0,0,0,0
10,Rayan Aït Nouri,ALG,DF,Angers,18,2001,14.2,26,1.83,20,1,1,1,1,2,2,0.14,2,0,0,0,0,0
11,Ludovic Ajorque,FRA,FW,Strasbourg,25,1994,22.9,42,1.84,32,0,2,5,3,0,12,0.52,7,0,1,2,2,0
12,Marley Aké,FRA,FW|MF,Marseille,18,2001,1.1,3,2.73,2,0,1,0,0,0,1,0.91,1,0,0,0,0,0
13,Chadrac Akolo,COD,FW|MF,Amiens,24,1995,6.0,13,2.15,9,0,0,2,1,1,2,0.33,1,0,0,1,0,0
14,Sofiane Alakouch,MAR,DF,Nîmes,21,1998,15.6,33,2.12,24,4,2,1,1,1,2,0.13,2,0,0,0,0,0
