Squad,# Pl,Poss,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec
Amiens,27,,28.0,15949,1587,4731,8179,3192,350,15944,409,244,59.7,165,40.3,7853,42492,21131,384,299,82,543,358,9610
Angers,26,,28.0,16445,1346,5096,7662,3853,511,16444,479,291,60.8,187,39.0,7730,42925,23294,542,385,127,455,344,10448
Bordeaux,26,,28.0,18253,1724,5742,9723,2955,385,18251,507,273,53.8,233,46.0,10991,52483,26706,441,350,101,457,285,12191
Brest,24,,28.0,17263,2041,6000,7885,3546,470,17258,364,209,57.4,155,42.6,9330,48143,25023,415,307,66,464,283,10983
Dijon,28,,28.0,16323,1848,5938,7538,3047,489,16322,543,312,57.5,231,42.5,8571,49178,25530,513,372,112,469,303,10015
Lille,25,,28.0,17279,1255,4060,9261,4127,551,17271,522,307,58.8,215,41.2,9397,52108,27799,544,429,136,442,300,11171
Lyon,27,,28.0,19207,1629,5456,9834,4080,558,19201,578,341,59.0,237,41.0,11551,60851,32940,563,442,142,484,293,13191
Marseille,23,,28.0,18065,1485,5084,8972,4199,516,18059,510,316,62.0,194,38.0,11047,59654,31913,639,468,139,441,298,11831
Metz,24,,28.0,15860,1638,5207,7745,3123,368,15856,561,337,60.1,224,39.9,7743,50513,25532,578,463,105,461,302,9502
Monaco,28,,28.0,17559,1547,4862,8731,4142,656,17555,500,308,61.6,192,38.4,10067,56025,31702,646,416,155,401,259,11605
Montpellier,27,,28.0,15917,1628,5080,7394,3597,463,15912,449,218,48.6,231,51.4,7983,43243,23427,425,297,79,461,192,9652
Nantes,29,,28.0,16839,1459,5037,8268,3742,477,16837,561,322,57.4,238,42.4,9108,51561,26102,548,434,136,474,305,10514
Nice,31,,28.0,18875,1893,6345,9323,3417,458,18870,626,364,58.1,262,41.9,10225,55202,31327,499,394,139,479,281,13324
Nîmes,28,,28.0,14493,1345,4519,6626,3515,486,14491,469,233,49.7,236,50.3,7068,39938,21216,421,295,91,465,250,8049
Paris S-G,31,,27.0,21903,1328,4729,12011,5325,855,21895,675,406,60.1,268,39.7,13031,67065,37548,711,568,194,410,233,16642
Reims,26,,28.0,16410,1640,6000,7221,3385,488,16405,519,301,58.0,218,42.0,8780,53250,29387,597,375,114,459,231,10261
Rennes,26,,28.0,16431,1665,5490,7998,3138,456,16426,488,261,53.5,227,46.5,9926,53981,28245,557,389,107,435,263,10319
Saint-Étienne,31,,28.0,16336,1527,5344,7827,3335,434,16331,485,289,59.6,196,40.4,8001,50278,27056,515,352,96,476,296,9974
Strasbourg,25,,27.0,15640,1461,4811,7586,3427,469,15636,426,257,60.3,169,39.7,9288,49549,26561,492,388,80,440,255,9971
Toulouse,30,,28.0,15562,1755,5101,7114,3522,492,15556,471,287,60.9,184,39.1,8756,48343,26213,556,379,96,475,293,9271
