Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off
1,Ismael Aaneba,FRA,DF,Strasbourg,20,1999,0,,,,,0,,0,0,,8,,,,,,,,,,,
2,Yunis Abdelhamid,MAR,DF,Reims,31,1987,28,2520,90,100.0,28.0,28,90,28,0,,0,1.46,26,21,+5,+0.18,,30.6,28.5,+2.1,+0.08,
3,Mehdi Abeid,ALG,MF,Nantes,26,1992,25,1817,73,72.1,20.2,20,85,15,5,22,1,1.44,20,25,-5,-0.25,-0.50,20.8,25.4,-4.5,-0.22,-0.65
4,Charles Abi,FRA,FW,Saint-Étienne,19,2000,15,623,42,24.7,6.9,6,73,2,9,20,1,0.93,7,14,-7,-1.01,-0.58,8.3,10.9,-2.5,-0.37,-0.14
5,Amine Adli,MAR,MF|FW,Toulouse,19,2000,4,46,12,1.8,0.5,0,,0,4,11,3,0.00,0,0,0,0.00,+1.31,0.6,0.7,-0.1,-0.18,+0.32
6,Yacine Adli,FRA,MF,Bordeaux,19,2000,21,1020,49,40.5,11.3,11,76,3,10,19,1,1.33,17,11,+6,+0.53,+0.53,11.3,11.9,-0.6,-0.05,+0.31
7,Amir Adouyev,RUS,MF,Montpellier,20,1999,0,,,,,0,,0,0,,1,,,,,,,,,,,
8,Nayef Aguerd,MAR,DF,Dijon,23,1996,11,957,87,38.0,10.6,11,87,10,0,,3,1.27,9,13,-4,-0.38,-0.03,12.0,14.5,-2.5,-0.23,+0.08
9,Ruben Aguilar,FRA,DF,Monaco,26,1993,19,1072,56,42.5,11.9,11,83,9,8,20,5,1.32,20,16,+4,+0.34,+0.58,22.5,16.3,+6.2,+0.52,+0.53
10,Jean-Eudes Aholou,CIV,MF,Saint-Étienne,25,1994,11,630,57,25.0,7.0,8,61,2,3,47,3,1.00,8,10,-2,-0.29,+0.38,9.6,8.0,+1.6,+0.23,+0.65
11,Youssef Aït Bennasser,MAR,MF,Bordeaux,23,1996,12,536,45,21.3,6.0,6,79,2,6,10,5,1.17,7,6,+1,+0.17,-0.06,5.7,7.2,-1.5,-0.25,-0.02
12,Rayan Aït Nouri,ALG,DF,Angers,18,2001,17,1282,75,50.9,14.2,16,79,10,1,19,0,1.53,18,17,+1,+0.07,+0.51,16.8,13.8,+3.1,+0.22,+0.37
13,Ludovic Ajorque,FRA,FW,Strasbourg,25,1994,26,2058,79,84.7,22.9,24,84,12,2,20,1,1.46,31,21,+10,+0.44,+2.86,28.6,25.4,+3.2,+0.14,+0.43
14,Marley Aké,FRA,FW|MF,Marseille,18,2001,9,99,11,3.9,1.1,0,,0,9,10,15,1.89,3,3,0,0.00,-0.45,2.4,1.6,+0.7,+0.66,+0.52
15,Chadrac Akolo,COD,FW|MF,Amiens,24,1995,15,544,36,21.6,6.0,5,65,0,10,22,6,0.87,7,16,-9,-1.49,-1.03,6.5,11.0,-4.4,-0.74,-0.40
16,Sofiane Alakouch,MAR,DF,Nîmes,21,1998,17,1400,82,55.6,15.6,17,82,11,0,,8,0.76,13,23,-10,-0.64,-0.24,16.7,21.9,-5.2,-0.33,+0.11
17,Haitam Aleesami,NOR,DF,Amiens,28,1991,22,1916,87,76.0,21.3,21,89,20,1,51,6,0.86,27,42,-15,-0.70,-0.11,23.6,33.1,-9.5,-0.45,-0.09
18,Rúnar Alex Rúnarsson,ISL,GK,Dijon,24,1995,11,901,82,35.8,10.0,9,90,9,2,45,15,0.64,8,17,-9,-0.90,-0.84,11.1,14.4,-3.2,-0.32,-0.06
19,Abdallah Ali Mohamed,COM,DF,Marseille,20,1999,0,,,,,0,,0,0,,4,,,,,,,,,,,
20,Rachid Alioui,MAR,FW,Angers,27,1992,28,1563,56,62.0,17.4,17,75,5,11,27,0,1.39,14,21,-7,-0.40,-0.59,16.8,18.2,-1.4,-0.08,-0.30
21,Mickaël Alphonse,GLP,DF,Dijon,30,1989,17,1378,81,54.7,15.3,15,89,14,2,19,6,0.88,11,23,-12,-0.78,-0.94,15.1,19.3,-4.3,-0.28,+0.01
22,Romain Amalfitano,FRA,MF,Dijon,29,1989,26,1695,65,67.3,18.8,18,83,12,8,24,2,1.04,18,25,-7,-0.37,-0.04,20.8,24.2,-3.4,-0.18,+0.32
23,Jordan Amavi,FRA,DF,Marseille,25,1994,26,2164,83,85.9,24.0,24,88,23,2,24,1,2.04,36,22,+14,+0.58,+1.09,32.5,24.5,+8.0,+0.33,+1.23
24,Thierry Ambrose,GLP,FW,Metz,22,1997,18,548,30,21.7,6.1,4,78,1,14,17,8,1.06,6,10,-4,-0.66,-0.47,8.3,9.0,-0.7,-0.12,+0.36
25,Kelvin Amian,FRA,DF,Toulouse,21,1998,20,1633,82,64.8,18.1,17,90,17,3,34,0,0.60,20,43,-23,-1.27,+0.05,22.3,31.3,-9.0,-0.50,0.00
26,Joachim Andersen,DEN,DF,Lyon,23,1996,18,1531,85,60.8,17.0,17,90,17,1,0,10,1.56,29,17,+12,+0.71,+0.43,22.6,18.5,+4.1,+0.24,-0.34
27,Benjamin André,FRA,MF,Lille,28,1990,26,2054,79,81.5,22.8,23,87,19,3,14,0,1.88,30,21,+9,+0.39,+0.59,31.9,24.0,+7.9,+0.35,+0.17
28,Victorien Angban,CIV,MF,Metz,22,1996,20,1029,51,40.8,11.4,11,84,8,9,12,3,1.30,11,13,-2,-0.17,+0.19,11.5,16.1,-4.5,-0.40,-0.01
29,Janis Antiste,FRA,MF,Toulouse,16,2002,1,12,12,0.5,0.1,0,,0,1,11,0,0.00,0,0,0,0.00,+1.29,0.2,0.0,+0.1,+1.08,+1.59
30,Houssem Aouar,ALG,MF|FW,Lyon,21,1998,25,1956,78,77.6,21.7,23,84,14,2,14,1,1.32,30,23,+7,+0.32,-0.95,28.6,22.3,+6.3,+0.29,-0.39
31,Adil Aouchiche,FRA,MF,Paris S-G,17,2002,1,64,64,2.6,0.7,1,64,0,0,,3,3.00,2,0,+2,+2.81,+0.95,1.3,0.3,+1.0,+1.40,-0.51
32,Dennis Appiah,FRA,DF,Nantes,27,1992,19,1605,84,63.7,17.8,18,88,16,1,28,5,1.37,16,16,0,0.00,+0.30,19.8,18.9,+0.9,+0.05,+0.26
33,Luiz Araújo,BRA,FW|MF,Lille,23,1996,21,828,39,32.9,9.2,7,84,3,14,17,5,1.48,11,14,-3,-0.33,-0.91,14.1,13.1,+1.0,+0.10,-0.32
34,Alphonse Areola,FRA,GK,Paris S-G,26,1993,3,270,90,11.1,3.0,3,90,3,0,,1,2.00,8,2,+6,+2.00,+0.13,8.6,1.9,+6.7,+2.22,+0.37
35,Youcef Atal,ALG,FW|DF,Nice,23,1996,13,1003,77,39.8,11.1,12,81,8,1,28,0,1.31,15,16,-1,-0.09,-0.33,11.8,18.1,-6.3,-0.56,-0.45
36,Jean-Kévin Augustin,FRA,FW,Monaco,22,1997,10,266,27,10.6,3.0,2,70,0,8,16,6,1.60,5,5,0,0.00,0.00,6.0,3.3,+2.6,+0.89,+0.75
37,Mathias Autret,FRA,MF|FW,Brest,28,1991,23,1222,53,48.5,13.6,14,74,1,9,21,1,1.09,14,10,+4,+0.29,+0.78,14.1,19.0,-4.9,-0.36,+0.33
38,Ludovic Baal,GUF,DF,Brest,33,1986,11,827,75,32.8,9.2,9,90,9,2,8,13,1.45,14,10,+4,+0.44,+0.81,12.5,13.3,-0.8,-0.09,+0.65
39,Benoît Badiashile,FRA,DF,Monaco,18,2001,16,1411,88,56.0,15.7,16,88,14,0,,12,1.44,23,23,0,0.00,0.00,26.7,25.0,+1.7,+0.11,-0.25
40,Bastian Badu,FRA,FW,Montpellier,19,2000,1,9,9,0.4,0.1,0,,0,1,8,1,1.00,0,0,0,0.00,-0.04,0.1,0.1,0.0,-0.13,-0.15
41,Stéphane Bahoken,CMR,FW,Angers,27,1992,20,907,45,36.0,10.1,10,67,1,10,24,1,1.55,14,9,+5,+0.50,+1.05,12.4,9.0,+3.4,+0.33,+0.47
42,Dénys Bain,FRA,DF,Brest,26,1993,15,1268,85,50.3,14.1,13,88,12,2,59,3,1.27,16,15,+1,+0.07,+0.36,12.5,26.0,-13.5,-0.96,-0.86
43,Stefan Bajic,FRA,GK,Saint-Étienne,17,2001,1,90,90,3.6,1.0,1,90,1,0,,5,0.00,0,1,-1,-1.00,-0.44,1.3,0.8,+0.5,+0.50,+0.79
44,Tiemoué Bakayoko,FRA,MF,Monaco,24,1994,20,1719,86,68.2,19.1,20,86,17,0,,0,1.45,36,30,+6,+0.31,+0.99,36.5,29.2,+7.3,+0.38,+0.51
45,Mitchel Bakker,NED,DF,Paris S-G,19,2000,1,90,90,3.7,1.0,1,90,1,0,,2,1.00,4,4,0,0.00,-1.96,3.2,1.3,+1.9,+1.87,-0.02
46,Keita Baldé,SEN,FW|MF,Monaco,24,1995,21,858,41,34.0,9.5,9,75,2,12,15,4,1.52,17,14,+3,+0.31,+0.48,17.2,15.0,+2.2,+0.23,+0.02
47,Fodé Ballo-Touré,SEN,DF,Monaco,22,1997,21,1679,80,66.6,18.7,18,90,18,3,19,4,1.24,29,38,-9,-0.48,-1.45,34.5,31.1,+3.5,+0.19,-0.10
48,Florent Balmont,FRA,MF,Dijon,39,1980,11,401,36,15.9,4.5,4,74,2,7,15,13,1.45,2,4,-2,-0.45,-0.11,4.6,4.5,+0.1,+0.02,+0.37
49,Abdoulaye Bamba,CIV,DF,Angers,29,1990,7,554,79,22.0,6.2,6,90,6,1,13,7,2.14,9,3,+6,+0.97,+1.48,6.0,5.5,+0.5,+0.08,+0.06
50,Jonathan Bamba,CIV,FW|MF,Lille,23,1996,26,1937,75,76.9,21.5,22,85,13,4,17,1,1.77,27,20,+7,+0.33,+0.17,30.3,24.1,+6.2,+0.29,-0.12
