Squad,# Pl,90s,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def
Amiens,27,28.0,405,14.46,283,33,35,12,31,11,50,1.79,36,0,4,4,5,1
Angers,26,28.0,629,22.46,452,65,35,33,35,9,48,1.71,36,2,3,4,3,0
Bordeaux,26,28.0,530,18.93,357,53,32,28,43,17,65,2.32,35,9,7,7,6,1
Brest,24,28.0,574,20.50,443,47,19,23,25,17,59,2.11,44,5,1,5,1,3
Dijon,28,28.0,580,20.71,390,75,46,32,30,7,44,1.57,31,3,3,6,1,0
Lille,25,28.0,615,21.96,414,65,57,33,37,9,58,2.07,38,5,5,4,5,1
Lyon,27,28.0,636,22.71,453,53,56,30,31,13,72,2.57,51,2,9,4,5,1
Marseille,23,28.0,637,22.75,427,74,40,40,43,13,63,2.25,40,6,5,5,6,1
Metz,24,28.0,544,19.43,379,44,49,25,34,13,46,1.64,29,5,6,3,1,2
Monaco,28,28.0,668,23.86,462,58,55,41,40,12,75,2.68,52,5,5,7,6,0
Montpellier,27,28.0,617,22.04,418,70,25,40,51,13,58,2.07,39,6,2,5,5,1
Nantes,29,28.0,583,20.82,407,57,40,30,36,13,40,1.43,30,2,4,2,1,1
Nice,31,28.0,598,21.36,396,52,55,44,39,12,72,2.57,50,7,2,8,5,0
Nîmes,28,28.0,593,21.18,391,77,35,41,36,13,47,1.68,30,4,3,6,4,0
Paris S-G,31,27.0,795,29.44,606,42,61,36,37,13,124,4.59,91,6,12,8,7,0
Reims,26,28.0,594,21.21,433,61,34,26,31,9,45,1.61,29,5,2,2,7,0
Rennes,26,28.0,602,21.50,422,40,51,30,52,7,62,2.21,44,3,6,5,4,0
Saint-Étienne,31,28.0,520,18.57,352,54,38,25,37,14,51,1.82,30,8,2,5,5,1
Strasbourg,25,27.0,572,21.19,423,56,34,23,31,5,56,2.07,43,3,3,2,5,0
Toulouse,30,28.0,552,19.71,381,57,35,34,29,16,39,1.39,26,2,2,4,4,1
