Squad,# Pl,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%
Amiens,27,28.0,57,4,2,403,320,37,463,300,238,5,1,1,1543,470,551,46.0
Angers,26,28.0,42,2,1,336,315,28,550,267,279,1,3,0,1511,449,455,49.7
Bordeaux,26,28.0,55,0,0,379,361,40,425,302,284,1,3,1,1562,487,445,52.3
Brest,24,28.0,45,2,0,329,286,35,520,352,282,4,6,0,1464,405,477,45.9
Dijon,28,28.0,43,2,0,351,334,32,451,332,304,0,1,2,1497,542,499,52.1
Lille,25,28.0,49,3,2,385,343,60,528,278,237,7,6,3,1536,478,479,49.9
Lyon,27,28.0,49,4,1,342,312,26,495,311,304,4,3,3,1495,455,372,55.0
Marseille,23,28.0,67,3,1,376,318,23,499,312,325,4,5,2,1471,472,448,51.3
Metz,24,28.0,45,4,0,335,344,31,447,312,337,2,4,0,1504,462,547,45.8
Monaco,28,28.0,60,10,1,336,345,44,510,281,307,3,6,1,1479,405,372,52.1
Montpellier,27,28.0,55,5,2,421,386,42,614,308,286,4,5,2,1596,606,518,53.9
Nantes,29,28.0,51,2,1,376,340,44,464,305,347,0,6,1,1638,464,518,47.3
Nice,31,28.0,54,7,4,295,362,22,395,343,279,4,7,2,1441,279,299,48.3
Nîmes,28,28.0,41,6,3,360,401,39,544,329,302,2,4,1,1431,575,596,49.1
Paris S-G,31,27.0,50,1,1,333,291,57,520,255,295,5,0,1,1511,234,226,50.9
Reims,26,28.0,52,5,5,384,385,45,539,325,324,4,6,0,1478,427,503,45.9
Rennes,26,28.0,51,1,0,387,404,40,478,272,296,5,5,1,1462,495,465,51.6
Saint-Étienne,31,28.0,59,3,2,371,324,43,563,376,318,3,6,0,1542,532,526,50.3
Strasbourg,25,27.0,46,1,1,367,311,33,579,301,293,4,7,0,1442,512,399,56.2
Toulouse,30,28.0,48,5,1,396,295,30,534,320,346,4,5,1,1517,468,522,47.3
