Rk,Player,Nation,Pos,Squad,Age,Born,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%
1,Ismael Aaneba,FRA,DF,Strasbourg,21,1999,0.1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,
2,Yunis Abdelhamid,MAR,DF,Reims,32,1987,32.1,4,1,0,37,22,0,0,61,37,0,1,0,200,92,53,63.4
3,Mehdi Abeid,ALG,MF,Nantes,27,1992,14.7,5,0,0,31,22,1,40,20,19,0,0,0,108,13,18,41.9
4,Laurent Abergel,FRA,MF,Lorient,27,1993,32.9,5,0,0,44,37,0,26,46,84,1,0,0,231,9,17,34.6
5,Charles Abi,FRA,FW|MF,Saint-Étienne,20,2000,10.1,1,0,0,18,7,7,3,4,2,0,0,0,26,37,59,38.5
6,Matthis Abline,FRA,FW,Rennes,17,2003,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,Pape Abou Cissé,SEN,DF,Saint-Étienne,24,1995,14.0,1,0,0,10,9,1,1,27,13,0,0,0,97,55,15,78.6
8,Yacine Adli,FRA,MF,Bordeaux,20,2000,26.9,6,0,0,39,37,0,53,39,37,0,0,0,172,27,27,50.0
9,Nayef Aguerd,MAR,DF,Rennes,24,1996,35.0,6,0,0,22,29,2,1,47,30,0,1,0,197,121,71,63.0
10,Ruben Aguilar,FRA,DF|MF,Monaco,27,1993,24.7,6,0,0,39,36,1,118,47,37,1,0,0,139,46,38,54.8
11,Matteo Ahlinvi,BEN,MF,Nîmes,21,1999,10.0,0,0,0,17,15,1,6,2,20,0,1,0,57,8,13,38.1
12,Jean-Eudes Aholou,CIV,MF,Strasbourg,26,1994,23.8,9,0,0,50,32,0,8,53,25,0,0,0,165,40,30,57.1
13,Jean-Eudes Aholou,CIV,MF,Monaco,26,1994,0.4,0,0,0,0,1,0,0,1,0,0,0,0,2,1,0,100.0
14,Rayan Aït Nouri,ALG,DF,Angers,19,2001,2.1,0,0,0,2,3,0,4,4,2,0,0,0,8,1,3,25.0
15,Ludovic Ajorque,FRA,FW,Strasbourg,26,1994,33.0,5,0,0,38,46,12,27,11,18,2,0,0,67,166,133,55.5
16,Marley Aké,FRA,FW,Marseille,19,2001,1.6,0,0,0,6,5,0,2,0,3,0,0,0,7,4,6,40.0
