Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off
1,Ismael Aaneba,FRA,DF,Strasbourg,21,1999,2,11,6,0.3,0.1,0,,0,2,6,18,2.00,0,0,0,0.00,+0.24,0.0,0.2,-0.2,-1.75,-1.81
2,Yunis Abdelhamid,MAR,DF,Reims,32,1987,33,2889,88,84.5,32.1,33,88,32,0,,0,1.18,37,39,-2,-0.06,+0.95,29.1,45.4,-16.2,-0.51,+1.20
3,Mehdi Abeid,ALG,MF,Nantes,27,1992,18,1320,73,38.6,14.7,15,83,10,3,23,1,0.94,13,23,-10,-0.68,-0.77,16.2,22.8,-6.6,-0.45,-0.54
4,Laurent Abergel,FRA,MF,Lorient,27,1993,38,2963,78,86.6,32.9,32,85,22,6,40,0,1.11,42,53,-11,-0.33,+1.04,41.8,43.0,-1.2,-0.04,+0.52
5,Charles Abi,FRA,FW|MF,Saint-Étienne,20,2000,24,912,38,26.7,10.1,9,64,1,15,22,2,1.33,16,23,-7,-0.69,-0.51,15.5,16.1,-0.6,-0.06,-0.03
6,Matthis Abline,FRA,FW,Rennes,17,2003,1,2,2,0.1,0.0,0,,0,1,2,3,3.00,1,0,+1,+45.00,+44.71,0.4,0.0,+0.4,+17.75,+17.50
7,Pape Abou Cissé,SEN,DF,Saint-Étienne,24,1995,14,1260,90,36.8,14.0,14,90,14,0,,1,1.64,21,18,+3,+0.21,+0.84,20.0,19.6,+0.4,+0.03,+0.10
8,Yacine Adli,FRA,MF,Bordeaux,20,2000,35,2418,69,70.7,26.9,25,84,16,10,32,0,1.17,28,47,-19,-0.71,-1.16,30.4,40.4,-9.9,-0.37,-0.24
9,Nayef Aguerd,MAR,DF,Rennes,24,1996,35,3147,90,92.0,35.0,35,90,34,0,,0,1.54,46,36,+10,+0.29,-0.37,41.7,35.0,+6.7,+0.19,-0.79
10,Ruben Aguilar,FRA,DF|MF,Monaco,27,1993,33,2225,67,65.1,24.7,27,79,15,6,14,2,1.97,37,30,+7,+0.28,-1.75,38.2,24.8,+13.4,+0.54,-1.02
11,Matteo Ahlinvi,BEN,MF,Nîmes,21,1999,20,899,45,26.3,10.0,10,77,5,10,13,14,0.75,5,21,-16,-1.60,-1.07,9.2,21.8,-12.6,-1.26,-0.96
12,Jean-Eudes Aholou,CIV,MF,Strasbourg,26,1994,27,2146,79,62.7,23.8,26,82,14,1,17,0,1.19,34,38,-4,-0.17,+0.19,34.0,35.3,-1.2,-0.05,-0.29
13,Jean-Eudes Aholou,CIV,MF,Monaco,26,1994,2,36,18,1.1,0.4,0,,0,2,18,1,2.00,0,0,0,0.00,-0.90,0.2,0.5,-0.4,-0.93,-1.85
14,Rayan Aït Nouri,ALG,DF,Angers,19,2001,3,187,62,5.5,2.1,2,80,0,1,28,0,1.00,3,8,-5,-2.41,-2.04,2.0,5.7,-3.7,-1.79,-1.60
15,Ludovic Ajorque,FRA,FW,Strasbourg,26,1994,35,2967,85,86.8,33.0,34,87,28,1,25,1,1.20,46,49,-3,-0.09,+1.10,48.7,45.0,+3.7,+0.11,+0.43
16,Marley Aké,FRA,FW,Marseille,19,2001,9,146,16,4.3,1.6,0,,0,9,16,11,1.56,3,3,0,0.00,-0.19,3.1,3.4,-0.4,-0.23,-0.23
17,Sofiane Alakouch,MAR,DF,Nîmes,22,1998,22,1505,68,44.0,16.7,17,84,9,5,17,9,0.77,22,34,-12,-0.72,+0.18,19.8,28.4,-8.6,-0.51,+0.07
18,Rúnar Alex Rúnarsson,ISL,GK,Dijon,25,1995,0,,,,,0,,,0,,3,,,,,,,,,,,
19,Mohamed Ali Cho,FRA,FW|MF,Angers,16,2004,21,348,17,10.2,3.9,1,65,0,20,14,10,0.67,5,8,-3,-0.78,-0.34,5.6,5.8,-0.2,-0.05,+0.26
20,Rachid Alioui,MAR,FW,Angers,28,1992,1,15,15,0.4,0.2,0,,0,1,15,0,1.00,0,0,0,0.00,+0.48,0.0,0.0,0.0,+0.05,+0.33
21,Saturnin Allagbé,BEN,GK,Dijon,26,1993,12,1080,90,31.6,12.0,12,90,12,0,,20,0.67,6,30,-24,-2.00,-1.08,10.8,23.1,-12.3,-1.03,-0.01
22,Ibrahim Amadou,FRA,MF,Angers,27,1993,24,1504,63,44.0,16.7,20,72,7,4,15,0,1.25,13,19,-6,-0.36,+0.20,17.9,20.9,-3.0,-0.18,+0.18
23,Romain Amalfitano,FRA,FW|DF,Dijon,30,1989,2,116,58,3.4,1.3,1,70,0,1,46,0,0.00,1,4,-3,-2.33,-1.10,0.3,5.3,-5.0,-3.91,-2.99
24,Jordan Amavi,FRA,DF,Marseille,26,1994,13,813,63,23.8,9.0,10,80,7,3,3,2,2.31,16,6,+10,+1.11,+1.21,11.3,12.6,-1.3,-0.15,-0.18
