Rk,Player,Nation,Pos,Squad,Age,Born,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP
1,Ismael Aaneba,FRA,DF,Strasbourg,21,1999,0.1,1,1,100.0,38,8,0,0,,0,0,,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0
2,Yunis Abdelhamid,MAR,DF,Reims,32,1987,32.1,1506,1762,85.5,30174,12190,427,483,88.4,909,999,91.0,154,238,64.7,0,0.3,0.3,-0.3,4,76,1,0,99
3,Mehdi Abeid,ALG,MF,Nantes,27,1992,14.7,605,718,84.3,10646,2928,279,298,93.6,239,266,89.8,70,116,60.3,0,0.8,0.7,-0.8,12,64,7,4,65
4,Laurent Abergel,FRA,MF,Lorient,27,1993,32.9,1288,1564,82.4,22633,6551,591,661,89.4,524,596,87.9,145,224,64.7,1,1.7,1.4,-0.7,20,115,13,4,138
5,Charles Abi,FRA,FW|MF,Saint-Étienne,20,2000,10.1,128,202,63.4,1703,317,81,111,73.0,27,44,61.4,9,17,52.9,2,0.3,0.3,+1.7,6,11,6,0,21
6,Matthis Abline,FRA,FW,Rennes,17,2003,0.0,0,1,0.0,0,0,0,1,0.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
7,Pape Abou Cissé,SEN,DF,Saint-Étienne,24,1995,14.0,521,681,76.5,11246,4984,159,187,85.0,262,307,85.3,93,169,55.0,0,0.1,0.1,-0.1,3,31,1,0,31
8,Yacine Adli,FRA,MF,Bordeaux,20,2000,26.9,1327,1631,81.4,24310,6907,569,643,88.5,548,642,85.4,167,251,66.5,5,4.4,3.0,+0.6,53,158,20,2,188
9,Nayef Aguerd,MAR,DF,Rennes,24,1996,35.0,2449,2712,90.3,45688,18953,976,1021,95.6,1198,1282,93.4,251,365,68.8,1,0.7,0.7,+0.3,5,126,1,0,136
10,Ruben Aguilar,FRA,DF|MF,Monaco,27,1993,24.7,1265,1568,80.7,19271,5384,721,779,92.6,420,535,78.5,87,166,52.4,3,4.7,5.8,-1.7,41,77,39,21,101
11,Matteo Ahlinvi,BEN,MF,Nîmes,21,1999,10.0,258,322,80.1,4276,822,121,131,92.4,116,144,80.6,15,25,60.0,0,0.2,0.1,-0.2,5,12,2,0,25
12,Jean-Eudes Aholou,CIV,MF,Strasbourg,26,1994,23.8,701,851,82.4,11805,2947,324,367,88.3,283,341,83.0,68,93,73.1,2,1.3,0.8,+0.7,7,59,9,1,92
13,Jean-Eudes Aholou,CIV,MF,Monaco,26,1994,0.4,7,10,70.0,100,26,4,4,100.0,3,4,75.0,0,2,0.0,0,0.0,0.0,0.0,0,0,0,0,1
14,Rayan Aït Nouri,ALG,DF,Angers,19,2001,2.1,132,147,89.8,1680,637,87,92,94.6,36,42,85.7,2,4,50.0,1,0.3,0.2,+0.7,5,3,4,2,11
15,Ludovic Ajorque,FRA,FW,Strasbourg,26,1994,33.0,620,927,66.9,9736,1641,350,484,72.3,192,262,73.3,51,78,65.4,4,3.9,3.8,+0.1,36,43,19,3,61
16,Marley Aké,FRA,FW,Marseille,19,2001,1.6,22,31,71.0,290,108,15,16,93.8,6,7,85.7,0,3,0.0,0,0.0,0.0,0.0,0,3,1,0,5
17,Sofiane Alakouch,MAR,DF,Nîmes,22,1998,16.7,718,913,78.6,11430,4676,375,414,90.6,274,340,80.6,52,106,49.1,2,1.3,1.1,+0.7,5,64,8,2,65
18,Mohamed Ali Cho,FRA,FW|MF,Angers,16,2004,3.9,67,111,60.4,894,257,45,60,75.0,12,28,42.9,5,8,62.5,0,0.1,0.2,-0.1,2,3,2,1,4
19,Rachid Alioui,MAR,FW,Angers,28,1992,0.2,8,8,100.0,92,21,6,6,100.0,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
20,Saturnin Allagbé,BEN,GK,Dijon,26,1993,12.0,269,403,66.7,7971,6167,48,48,100.0,115,116,99.1,106,237,44.7,0,0.0,0.0,0.0,0,2,0,0,0
21,Ibrahim Amadou,FRA,MF,Angers,27,1993,16.7,582,691,84.2,9479,3023,290,326,89.0,240,272,88.2,37,59,62.7,0,0.2,0.2,-0.2,4,52,1,0,63
22,Romain Amalfitano,FRA,FW|DF,Dijon,30,1989,1.3,44,57,77.2,877,276,16,16,100.0,21,29,72.4,7,10,70.0,0,0.0,0.0,0.0,1,6,0,0,8
23,Jordan Amavi,FRA,DF,Marseille,26,1994,9.0,343,442,77.6,5892,1736,158,193,81.9,138,166,83.1,39,47,83.0,0,0.3,0.3,-0.3,5,11,6,2,25
24,Thierry Ambrose,GLP,FW,Metz,23,1997,8.4,164,243,67.5,2580,643,83,113,73.5,51,65,78.5,16,30,53.3,1,1.4,1.0,-0.4,11,21,9,2,30
25,Joachim Andersen,DEN,DF,Lyon,24,1996,2.1,105,117,89.7,2031,794,45,47,95.7,47,51,92.2,13,18,72.2,0,0.0,0.0,0.0,0,11,0,0,12
26,Benjamin André,FRA,MF,Lille,29,1990,32.1,1703,2040,83.5,26480,7377,886,984,90.0,606,706,85.8,124,189,65.6,1,1.1,1.6,-0.1,22,194,7,4,200
27,Victorien Angban,CIV,MF,Metz,23,1996,18.6,780,890,87.6,14254,3981,327,360,90.8,350,385,90.9,94,118,79.7,1,0.5,0.7,+0.5,12,81,6,1,90
28,Houssem Aouar,ALG,MF|FW,Lyon,22,1998,19.8,833,991,84.1,11684,3218,484,542,89.3,247,278,88.8,47,69,68.1,3,4.0,3.6,-1.0,38,91,29,0,130
29,Adil Aouchiche,FRA,MF|FW,Saint-Étienne,18,2002,19.2,571,818,69.8,10069,3336,307,364,84.3,152,213,71.4,85,181,47.0,5,5.8,4.0,-0.8,59,57,25,7,87
30,Dennis Appiah,FRA,DF,Nantes,28,1992,17.3,628,868,72.4,9400,4932,368,422,87.2,219,305,71.8,32,98,32.7,2,1.3,1.0,+0.7,14,66,15,5,77
31,Luiz Araújo,BRA,MF,Lille,24,1996,16.6,455,606,75.1,7916,2031,224,271,82.7,169,213,79.3,50,80,62.5,2,2.0,2.7,0.0,22,42,20,2,65
32,Karim Aribi,ALG,FW,Nîmes,26,1994,3.3,38,68,55.9,453,66,25,35,71.4,9,16,56.3,0,2,0.0,0,0.1,0.1,-0.1,2,1,1,0,2
33,Roger Assalé,CIV,FW|MF,Dijon,26,1993,9.2,118,181,65.2,1837,381,68,100,68.0,36,54,66.7,11,14,78.6,1,0.2,0.3,+0.8,3,8,5,0,14
34,Youcef Atal,ALG,DF|FW,Nice,24,1996,10.6,496,630,78.7,7378,2017,282,322,87.6,172,206,83.5,26,59,44.1,0,0.8,1.5,-0.8,5,27,11,6,44
35,Jean-Kévin Augustin,FRA,FW,Nantes,23,1997,0.4,4,4,100.0,36,0,4,4,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
36,Ludovic Baal,GUF,DF|MF,Brest,34,1986,3.3,212,253,83.8,3890,1562,85,95,89.5,94,106,88.7,28,43,65.1,0,0.4,0.1,-0.4,2,29,1,1,24
37,Loïc Bade,FRA,DF,Lens,20,2000,29.0,1672,1961,85.3,34428,11940,453,510,88.8,995,1089,91.4,207,320,64.7,0,0.3,0.5,-0.3,7,93,3,3,113
38,Benoît Badiashile,FRA,DF,Monaco,19,2001,31.9,2124,2450,86.7,43718,16007,566,632,89.6,1268,1366,92.8,274,412,66.5,1,1.2,1.4,-0.2,6,168,4,0,170
39,Stéphane Bahoken,CMR,FW,Angers,28,1992,18.0,234,333,70.3,3151,429,135,169,79.9,70,94,74.5,11,15,73.3,2,1.0,0.5,+1.0,11,14,7,1,22
40,Stefan Bajic,FRA,GK,Saint-Étienne,18,2001,1.0,23,37,62.2,650,391,4,4,100.0,12,12,100.0,7,21,33.3,0,0.0,0.0,0.0,0,0,0,0,0
41,Mitchel Bakker,NED,DF,Paris S-G,20,2000,18.8,1177,1334,88.2,15565,4196,750,792,94.7,340,394,86.3,31,64,48.4,2,1.9,2.4,+0.1,16,75,21,9,77
42,Dilane Bakwa,FRA,FW|MF,Bordeaux,17,2002,0.6,34,40,85.0,532,88,17,18,94.4,13,14,92.9,3,4,75.0,0,0.0,0.0,0.0,1,5,0,0,6
43,Leonardo Balerdi,ARG,DF,Marseille,21,1999,18.2,921,1064,86.6,17058,5887,343,378,90.7,477,525,90.9,87,129,67.4,0,0.0,0.1,0.0,1,41,0,0,48
44,Fodé Ballo-Touré,SEN,DF,Monaco,23,1997,7.4,349,432,80.8,5366,1549,198,222,89.2,117,140,83.6,24,42,57.1,3,0.7,0.7,+2.3,8,25,11,7,24
45,Abdoulaye Bamba,CIV,DF,Angers,30,1990,15.0,650,875,74.3,10169,4909,358,398,89.9,223,298,74.8,46,118,39.0,0,1.4,1.4,-1.4,8,47,11,5,53
46,Jonathan Bamba,CIV,MF,Lille,24,1996,33.2,1305,1680,77.7,19157,4900,751,841,89.3,374,472,79.2,104,210,49.5,9,5.1,5.4,+3.9,64,94,43,9,128
47,Robson Bambu,BRA,DF,Nice,22,1997,11.6,720,827,87.1,13344,4730,266,285,93.3,392,423,92.7,58,96,60.4,0,0.0,0.1,0.0,0,19,0,0,21
48,Simon Banza,COD,FW,Lens,23,1996,15.2,228,321,71.0,3292,581,117,159,73.6,83,101,82.2,13,21,61.9,2,2.1,1.3,-0.1,12,28,7,2,34
49,Danilo Barbosa,BRA,DF,Nice,24,1996,2.8,178,203,87.7,3422,1147,48,56,85.7,119,123,96.7,10,20,50.0,0,0.0,0.0,0.0,0,6,0,0,11
