Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,Performance W,Performance D,Performance L,Performance CS,Performance CS%,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%
1,Doğan Alemdar,TUR,GK,Rennes,18,2002,12,12,1080,12.0,13,1.08,36,22,66.7,6,1,5,4,33.3,2,1,1,0,50.0
2,Stefan Bajic,FRA,GK,Saint-Étienne,19,2001,7,4,510,5.7,13,2.29,29,16,62.1,0,1,3,0,0.0,2,2,0,0,0.0
3,Walter Benítez,ARG,GK,Nice,28,1993,37,37,3330,37.0,35,0.95,141,105,78.0,20,7,10,14,37.8,5,4,1,0,20.0
4,Paul Bernardoni,FRA,GK,Saint-Étienne,24,1997,19,19,1710,19.0,37,1.95,93,58,65.6,5,5,9,3,15.8,5,5,0,0,0.0
5,Paul Bernardoni,FRA,GK,Angers,24,1997,13,13,1170,13.0,19,1.46,46,27,65.2,4,5,4,4,30.8,3,3,0,0,0.0
6,Dimitry Bertaud,FRA,GK,Montpellier,23,1998,11,9,833,9.3,20,2.16,57,37,68.4,2,3,4,2,22.2,2,2,0,0,0.0
7,Marco Bizot,NED,GK,Brest,30,1991,38,38,3420,38.0,57,1.50,170,115,68.8,13,9,16,7,18.4,4,4,0,0,0.0
8,Marcin Bułka,POL,GK,Nice,21,1999,1,1,90,1.0,1,1.00,5,4,80.0,0,0,1,0,0.0,0,0,0,0,
9,Marc-Aurèle Caillard,FRA,GK,Metz,27,1994,19,17,1542,17.1,30,1.75,87,57,67.8,4,5,8,5,29.4,2,2,0,0,0.0
10,Benoît Costil,FRA,GK,Bordeaux,34,1987,25,25,2250,25.0,62,2.48,133,72,57.1,3,8,14,0,0.0,5,5,0,0,0.0
11,Arthur Desmas,FRA,GK,Clermont Foot,27,1994,15,15,1304,14.5,33,2.28,66,34,54.5,3,5,7,3,20.0,3,3,0,0,0.0
