Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def
1,Patrick van Aanholt,NED,DF,Crystal Palace,27,1990,35.5,86,2.42,67,8,2,7,2,0,6,0.17,4,1,0,1,0,0
2,Sergio Agüero,ARG,FW,Manchester City,30,1988,27.3,91,3.33,60,1,11,10,7,2,19,0.70,14,0,2,2,1,0
3,Nathan Aké,NED,DF,Bournemouth,23,1995,37.9,24,0.63,19,0,0,4,1,0,1,0.03,0,0,0,0,1,0
4,Marc Albrighton,ENG,FW|MF,Leicester City,28,1989,18.1,47,2.60,37,4,3,3,0,0,4,0.22,4,0,0,0,0,0
5,Toby Alderweireld,BEL,DF,Tottenham,29,1989,32.5,34,1.05,29,0,1,4,0,0,2,0.06,2,0,0,0,0,0
6,Trent Alexander-Arnold,ENG,DF,Liverpool,19,1998,27.4,96,3.51,62,24,6,2,1,1,18,0.66,13,5,0,0,0,0
7,Alisson,BRA,GK,Liverpool,25,1992,38.0,4,0.11,1,3,0,0,0,0,1,0.03,0,1,0,0,0,0
8,Dele Alli,ENG,MF,Tottenham,22,1996,20.3,64,3.16,45,2,6,5,5,1,5,0.25,3,0,0,1,1,0
9,Miguel Almirón,PAR,MF,Newcastle Utd,24,1994,8.4,36,4.27,27,0,1,3,3,2,3,0.36,1,0,0,1,1,0
10,Marcos Alonso,ESP,DF,Chelsea,27,1990,30.7,66,2.15,55,1,0,5,4,1,10,0.33,6,0,0,2,2,0
11,Daniel Amartey,GHA,DF,Leicester City,23,1994,7.1,11,1.55,10,1,0,0,0,0,0,0.00,0,0,0,0,0,0
12,Luke Amos,ENG,MF,Tottenham,21,1997,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
13,Felipe Anderson,BRA,MF|FW,West Ham,25,1993,33.8,139,4.11,95,17,11,5,7,4,15,0.44,10,0,3,2,0,0
14,Florin Andone,ROU,FW,Brighton,25,1993,9.8,13,1.33,7,0,1,3,2,0,1,0.10,0,0,0,1,0,0
15,Michail Antonio,JAM,MF|FW,West Ham,28,1990,23.4,64,2.74,40,0,9,8,5,2,10,0.43,5,0,1,2,2,0
16,Stuart Armstrong,SCO,MF,Southampton,26,1992,15.9,61,3.83,43,2,3,5,7,1,8,0.50,6,0,0,0,2,0
17,Marko Arnautović,AUT,FW,West Ham,29,1989,22.1,66,2.99,52,0,5,7,2,0,8,0.36,7,0,0,1,0,0
18,Kepa Arrizabalaga,ESP,GK,Chelsea,23,1994,36.0,1,0.03,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
19,Harry Arter,IRL,MF,Cardiff City,28,1989,22.2,37,1.67,32,1,1,2,1,0,6,0.27,5,0,0,1,0,0
20,Christian Atsu,GHA,MF,Newcastle Utd,26,1992,16.6,42,2.53,32,0,1,4,5,0,5,0.30,3,0,1,1,0,0
21,Pierre-Emerick Aubameyang,GAB,FW,Arsenal,29,1989,30.3,60,1.98,42,0,7,5,5,1,11,0.36,6,0,1,2,2,0
22,Serge Aurier,CIV,DF,Tottenham,25,1992,6.3,12,1.91,9,1,1,0,0,1,3,0.48,3,0,0,0,0,0
23,Charlie Austin,ENG,FW,Southampton,29,1989,10.9,23,2.11,13,0,0,5,3,2,2,0.18,1,0,0,1,0,0
24,Jordan Ayew,GHA,FW,Crystal Palace,26,1991,13.1,33,2.51,21,0,1,5,4,2,5,0.38,3,0,0,1,0,1
25,Floyd Ayité,TOG,FW|MF,Fulham,29,1988,5.3,16,3.03,13,1,1,1,0,0,1,0.19,0,0,1,0,0,0
26,César Azpilicueta,ESP,DF,Chelsea,28,1989,37.8,67,1.77,60,2,1,1,2,1,10,0.26,9,0,0,0,1,0
27,Ryan Babel,NED,FW|MF,Fulham,31,1986,13.9,50,3.60,31,7,6,4,2,0,6,0.43,4,0,1,1,0,0
28,Juninho Bacuna,CUW,MF|DF,Huddersfield,20,1997,15.7,41,2.61,30,6,2,0,3,0,0,0.00,0,0,0,0,0,0
29,Leandro Bacuna,CUW,MF,Cardiff City,26,1991,6.2,7,1.12,5,1,0,1,0,0,0,0.00,0,0,0,0,0,0
30,Eric Bailly,CIV,DF,Manchester Utd,24,1994,7.1,2,0.28,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0
31,Leighton Baines,ENG,DF,Everton,33,1984,4.2,10,2.40,3,6,0,1,0,0,2,0.48,1,1,0,0,0,0
32,Fabián Balbuena,PAR,DF,West Ham,26,1991,22.4,12,0.54,7,0,0,5,0,0,1,0.04,0,0,0,1,0,0
