Rk,Player,Nation,Pos,Squad,Age,Born,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%
1,Patrick van Aanholt,NED,DF,Crystal Palace,27,1990,35.5,3,0,0,12,14,10,42,40,24,0,0,0,216,10,12,45.5
2,Sergio Agüero,ARG,FW,Manchester City,30,1988,27.3,4,0,0,21,25,26,13,9,9,0,0,0,70,17,22,43.6
3,Nathan Aké,NED,DF,Bournemouth,23,1995,37.9,3,0,0,28,21,2,6,32,35,1,1,0,182,86,66,56.6
4,Marc Albrighton,ENG,FW|MF,Leicester City,28,1989,18.1,3,0,0,10,20,2,125,23,22,0,0,0,141,15,18,45.5
5,Toby Alderweireld,BEL,DF,Tottenham,29,1989,32.5,3,0,0,10,1,1,6,24,23,0,0,1,193,54,47,53.5
6,Trent Alexander-Arnold,ENG,DF,Liverpool,19,1998,27.4,3,0,0,14,7,4,201,35,39,0,0,0,169,9,23,28.1
7,Alisson,BRA,GK,Liverpool,25,1992,38.0,1,0,0,0,1,0,0,1,1,0,0,0,70,11,1,91.7
8,Dele Alli,ENG,MF,Tottenham,22,1996,20.3,4,0,0,23,20,3,10,19,19,0,0,0,124,20,20,50.0
9,Miguel Almirón,PAR,MF,Newcastle Utd,24,1994,8.4,0,0,0,6,17,4,21,8,12,0,0,0,61,1,9,10.0
10,Marcos Alonso,ESP,DF,Chelsea,27,1990,30.7,6,0,0,28,37,2,98,39,46,2,1,0,212,66,54,55.0
11,Daniel Amartey,GHA,DF,Leicester City,23,1994,7.1,2,0,0,6,1,1,3,17,12,0,1,0,58,14,9,60.9
12,Luke Amos,ENG,MF,Tottenham,21,1997,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,50.0
13,Felipe Anderson,BRA,MF|FW,West Ham,25,1993,33.8,3,0,0,27,52,5,122,41,49,0,1,0,227,9,26,25.7
14,Florin Andone,ROU,FW,Brighton,25,1993,9.8,5,0,0,28,20,4,5,3,2,0,0,0,42,36,73,33.0
15,Michail Antonio,JAM,MF|FW,West Ham,28,1990,23.4,3,0,0,34,44,10,50,18,14,2,0,0,114,79,103,43.4
16,Stuart Armstrong,SCO,MF,Southampton,26,1992,15.9,2,0,0,20,21,3,25,12,20,0,1,0,79,17,22,43.6
17,Marko Arnautović,AUT,FW,West Ham,29,1989,22.1,3,0,0,30,12,21,18,3,5,0,1,0,48,22,24,47.8
18,Kepa Arrizabalaga,ESP,GK,Chelsea,23,1994,36.0,2,0,0,0,4,0,0,0,1,0,0,0,57,7,0,100.0
19,Harry Arter,IRL,MF,Cardiff City,28,1989,22.2,10,0,0,25,14,2,17,21,37,0,0,0,128,6,14,30.0
20,Christian Atsu,GHA,MF,Newcastle Utd,26,1992,16.6,2,0,0,13,25,4,42,7,15,0,0,0,86,10,58,14.7
21,Pierre-Emerick Aubameyang,GAB,FW,Arsenal,29,1989,30.3,0,0,0,13,23,23,43,8,17,1,0,0,66,32,83,27.8
22,Serge Aurier,CIV,DF,Tottenham,25,1992,6.3,1,0,0,17,2,1,24,7,12,0,0,0,31,12,13,48.0
23,Charlie Austin,ENG,FW,Southampton,29,1989,10.9,1,0,0,14,18,9,0,2,7,0,0,0,28,42,80,34.4
24,Jordan Ayew,GHA,FW,Crystal Palace,26,1991,13.1,3,0,0,31,25,9,15,7,23,0,0,0,41,32,89,26.4
25,Floyd Ayité,TOG,FW|MF,Fulham,29,1988,5.3,0,0,0,6,7,4,6,7,4,0,0,0,37,6,7,46.2
26,César Azpilicueta,ESP,DF,Chelsea,28,1989,37.8,4,0,0,39,16,2,118,43,60,1,1,0,201,68,50,57.6
27,Ryan Babel,NED,FW|MF,Fulham,31,1986,13.9,3,0,0,14,16,9,38,6,4,0,0,0,48,15,19,44.1
28,Juninho Bacuna,CUW,MF|DF,Huddersfield,20,1997,15.7,4,0,0,33,22,1,34,24,29,0,1,0,121,17,21,44.7
29,Leandro Bacuna,CUW,MF,Cardiff City,26,1991,6.2,2,0,0,13,3,0,7,15,10,0,0,0,39,7,10,41.2
30,Eric Bailly,CIV,DF,Manchester Utd,24,1994,7.1,0,1,0,5,5,0,0,13,9,0,1,0,42,13,4,76.5
31,Leighton Baines,ENG,DF,Everton,33,1984,4.2,0,0,0,2,1,1,18,2,6,0,2,0,15,2,3,40.0
32,Fabián Balbuena,PAR,DF,West Ham,26,1991,22.4,2,0,0,19,4,0,1,53,20,0,1,0,102,69,60,53.5
33,Leon Balogun,NGA,DF,Brighton,30,1988,6.6,2,0,0,5,2,1,0,17,6,0,1,0,27,13,10,56.5
34,Sol Bamba,CIV,DF,Cardiff City,33,1985,27.5,7,0,0,35,12,3,1,82,42,0,2,0,175,93,43,68.4
35,Phil Bardsley,SCO,DF,Burnley,33,1985,18.6,9,0,0,22,11,0,37,31,19,0,0,1,70,32,28,53.3
36,Ross Barkley,ENG,MF,Chelsea,24,1993,13.8,1,0,0,14,27,0,7,9,10,0,0,0,89,19,8,70.4
37,Ashley Barnes,ENG,FW,Burnley,28,1989,26.5,8,0,0,54,65,22,6,2,17,1,0,1,77,119,223,34.8
38,Harvey Barnes,ENG,MF|FW,Leicester City,20,1997,11.2,0,0,0,7,7,2,23,3,6,0,0,0,41,7,8,46.7
39,Antonio Barreca,ITA,DF,Newcastle Utd,23,1995,0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
40,Michy Batshuayi,BEL,FW,Crystal Palace,24,1993,8.3,0,0,0,7,2,12,1,3,1,0,0,0,30,12,31,27.9
41,Jan Bednarek,POL,DF,Southampton,22,1996,23.9,7,0,0,22,6,0,1,71,25,0,0,0,129,79,60,56.8
42,Asmir Begović,BIH,GK,Bournemouth,31,1987,24.0,0,0,0,0,3,0,0,1,0,0,0,0,20,11,1,91.7
43,Héctor Bellerín,ESP,DF,Arsenal,23,1995,17.0,3,0,0,16,6,1,39,20,12,0,0,1,79,21,24,46.7
44,Joe Bennett,ENG,DF,Cardiff City,28,1990,29.3,5,0,0,20,35,1,43,60,29,0,0,0,129,34,17,66.7
45,Ryan Bennett,ENG,DF,Wolves,28,1990,34.0,12,0,0,37,11,1,1,43,32,0,2,0,133,119,93,56.1
46,Christian Benteke,BEL,FW,Crystal Palace,27,1990,9.0,1,0,0,18,9,10,1,0,1,0,0,0,18,89,60,59.7
47,Jóhann Berg Guðmundsson,ISL,MF,Burnley,27,1990,19.5,2,0,0,10,22,2,119,33,11,0,0,0,117,30,33,47.6
48,Bernard,BRA,FW|MF,Everton,25,1992,23.5,5,0,0,17,27,2,51,27,30,0,0,0,180,3,13,18.8
49,Bernardo,BRA,DF,Brighton,23,1995,19.5,4,0,0,17,23,2,31,34,43,0,0,0,120,44,29,60.3
50,Ryan Bertrand,ENG,DF,Southampton,28,1989,24.0,8,0,0,26,22,0,93,28,27,0,0,0,76,37,43,46.3
51,Marcus Bettinelli,ENG,GK,Fulham,26,1992,7.0,1,0,0,0,1,0,0,0,0,0,0,0,4,2,0,100.0
52,Philip Billing,DEN,MF,Huddersfield,22,1996,24.3,7,0,0,37,30,2,56,53,44,0,1,0,174,86,28,75.4
53,Yves Bissouma,MLI,MF,Brighton,21,1996,19.7,5,0,0,40,25,2,8,33,30,0,0,0,116,27,31,46.6
54,Willy Boly,CIV,DF,Wolves,27,1991,35.2,2,1,0,29,14,3,0,72,52,0,0,0,213,136,62,68.7
55,Léo Bonatini,BRA,FW,Wolves,24,1994,1.5,0,0,0,0,0,0,4,0,1,0,0,0,11,1,3,25.0
56,Gaëtan Bong,CMR,DF,Brighton,30,1988,20.1,0,0,0,11,4,0,57,25,10,0,2,0,112,24,31,43.6
57,Artur Boruc,POL,GK,Bournemouth,38,1980,12.0,2,0,0,0,0,0,0,0,0,0,0,0,9,2,0,100.0
58,Robbie Brady,IRL,MF,Burnley,26,1992,8.0,3,1,0,12,4,0,53,7,7,0,0,0,45,11,8,57.9
59,Miguel Britos,URU,DF,Watford,33,1985,2.1,0,0,0,3,1,0,1,3,2,0,0,0,13,5,2,71.4
60,David Brooks,WAL,MF|FW,Bournemouth,21,1997,25.1,3,0,0,15,46,2,33,24,26,0,0,0,115,6,31,16.2
61,Bruno,ESP,DF,Brighton,37,1980,12.6,2,0,0,4,9,3,17,11,16,0,0,0,67,8,16,33.3
62,Joe Bryan,ENG,DF|MF,Fulham,24,1993,26.1,5,0,0,25,28,2,115,31,41,0,0,0,125,31,37,45.6
63,David Button,ENG,GK,Brighton,29,1989,4.0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,100.0
64,Willy Caballero,ARG,GK,Chelsea,36,1981,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
65,Gary Cahill,ENG,DF,Chelsea,32,1985,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
66,Tom Cairney,SCO,MF|FW,Fulham,27,1991,24.4,0,0,0,9,40,0,27,10,21,0,0,0,139,9,15,37.5
67,Dominic Calvert-Lewin,ENG,FW,Everton,21,1997,19.8,3,0,0,34,32,6,8,7,7,1,0,0,61,110,146,43.0
68,Rafael Camacho,POR,DF,Liverpool,18,2000,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
69,Víctor Camarasa,ESP,MF,Cardiff City,24,1994,28.5,6,0,0,23,29,1,121,33,15,0,0,0,168,19,31,38.0
70,Étienne Capoue,FRA,MF,Watford,30,1988,32.7,14,1,0,47,58,0,5,85,56,0,0,0,256,63,49,56.3
71,Andy Carroll,ENG,FW,West Ham,29,1989,5.1,2,0,0,11,8,3,1,1,2,0,0,0,14,46,40,53.5
72,Jonny Castro,ESP,DF|MF,Wolves,24,1994,30.8,6,0,0,23,34,5,46,60,43,1,0,0,171,38,50,43.2
73,Craig Cathcart,NIR,DF,Watford,29,1989,34.4,2,0,0,16,8,0,3,38,31,0,0,2,160,86,79,52.1
74,Ivan Cavaleiro,POR,FW|MF,Wolves,24,1993,7.7,1,0,0,13,5,6,54,4,4,0,1,0,31,9,22,29.0
75,Petr Čech,CZE,GK,Arsenal,36,1982,6.5,0,0,0,0,2,0,0,0,1,0,0,0,6,1,1,50.0
76,Nathaniel Chalobah,ENG,MF,Watford,23,1994,3.0,2,0,0,5,3,0,1,5,2,0,0,0,19,4,4,50.0
77,Calum Chambers,ENG,MF|DF,Fulham,23,1995,28.8,9,0,0,34,4,0,14,69,36,0,0,0,233,64,54,54.2
78,Ben Chilwell,ENG,DF,Leicester City,21,1996,36.0,4,0,0,32,44,2,132,38,29,0,0,0,185,108,71,60.3
79,Tahith Chong,NED,FW,Manchester Utd,18,1999,0.4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,
80,Hamza Choudhury,ENG,MF,Leicester City,20,1997,6.6,0,0,0,7,2,0,3,15,10,0,0,0,33,5,6,45.5
81,Andreas Christensen,DEN,DF,Chelsea,22,1996,6.9,1,0,0,8,3,0,0,4,4,0,0,0,49,18,15,54.5
82,Cyrus Christie,IRL,DF|MF,Fulham,25,1992,21.6,7,0,0,29,13,2,90,29,23,0,1,0,94,56,32,63.6
83,Ibrahima Cissé,GUI,MF,Fulham,24,1994,1.0,0,0,0,1,0,0,0,3,0,0,0,0,10,1,0,100.0
84,Ciaran Clark,IRL,DF,Newcastle Utd,28,1989,9.5,1,0,0,6,6,0,3,12,17,0,0,0,46,42,23,64.6
85,Tom Cleverley,ENG,MF,Watford,28,1989,5.3,2,0,0,8,4,1,4,5,9,0,0,0,37,4,9,30.8
86,Nathaniel Clyne,ENG,DF,Bournemouth,27,1991,12.7,2,0,0,9,3,0,18,16,18,0,0,0,58,5,12,29.4
