Squad,# Pl,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%
Arsenal,28,38.0,73,2,1,412,455,89,605,412,366,4,7,1,2000,555,637,46.6
Bournemouth,28,38.0,60,1,0,340,441,57,613,371,299,8,5,3,1910,701,736,48.8
Brighton,21,38.0,61,4,1,463,301,90,636,463,391,5,10,0,1979,824,780,51.4
Burnley,23,38.0,75,1,0,360,356,106,692,367,311,1,3,4,1955,1016,1025,49.8
Cardiff City,25,38.0,66,1,0,374,390,77,562,529,375,2,7,0,1975,966,966,50.0
Chelsea,24,38.0,49,0,0,339,424,83,692,353,365,5,2,0,2171,523,504,50.9
Crystal Palace,26,38.0,58,2,1,386,391,78,577,445,446,10,5,1,1996,680,706,49.1
Everton,23,38.0,56,4,1,432,418,69,814,453,441,4,5,2,2157,872,877,49.9
Fulham,28,38.0,70,2,2,423,342,90,611,434,362,2,7,2,2072,742,718,50.8
Huddersfield,31,38.0,56,4,1,420,370,63,768,531,425,1,9,1,2063,844,807,51.1
Leicester City,25,38.0,60,5,3,351,378,72,779,438,393,6,5,0,2087,811,679,54.4
Liverpool,23,38.0,39,2,2,315,347,77,721,314,377,7,1,0,2111,593,587,50.3
Manchester City,21,38.0,44,1,0,328,301,98,783,362,327,4,4,0,2000,540,522,50.8
Manchester Utd,28,38.0,75,4,2,433,397,90,638,355,347,11,6,3,1969,687,550,55.5
Newcastle Utd,24,38.0,57,2,0,423,332,59,711,506,433,2,6,1,2034,785,914,46.2
Southampton,30,38.0,73,3,2,420,341,61,666,549,428,4,3,3,2053,767,873,46.8
Tottenham,28,38.0,57,3,1,376,364,74,643,325,373,3,5,3,2107,599,611,49.5
Watford,25,38.0,79,4,1,433,382,89,570,428,391,1,5,3,2021,753,797,48.6
West Ham,26,38.0,59,1,0,331,388,71,631,457,393,5,5,1,2104,636,620,50.6
Wolves,21,38.0,73,1,0,409,325,73,622,501,408,4,4,4,2239,803,788,50.5
