Squad,# Pl,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP
Arsenal,28,38.0,18425,22549,81.7,313400,105044,8573,9619,89.1,7384,8450,87.4,1716,2882,59.5,52,46.7,43.9,+5.3,363,1220,417,63,1874
Bournemouth,28,38.0,13505,17650,76.5,231203,91075,6643,7752,85.7,5284,6436,82.1,1261,2489,50.7,43,38.8,34.0,+4.2,330,979,330,76,1435
Brighton,21,38.0,11491,15824,72.6,217603,86066,5120,6084,84.2,4413,5549,79.5,1639,3202,51.2,24,24.5,23.1,-0.5,281,887,223,81,1150
Burnley,23,38.0,10134,14793,68.5,194079,85014,4537,5520,82.2,3643,4790,76.1,1595,3463,46.1,32,31.2,27.6,+0.8,254,879,239,82,1032
Cardiff City,25,38.0,7170,11715,61.2,138500,66941,3143,4097,76.7,2540,3622,70.1,1160,2987,38.8,20,27.6,25.4,-7.6,294,768,175,57,918
Chelsea,24,38.0,22960,26774,85.8,357355,116569,12272,13378,91.7,7956,8992,88.5,1700,2561,66.4,52,44.9,45.9,+7.1,482,1640,415,65,2155
Crystal Palace,26,38.0,12697,16870,75.3,222304,89991,6129,7072,86.7,4802,5866,81.9,1371,2862,47.9,33,29.5,27.1,+3.5,358,1003,275,63,1458
Everton,23,38.0,13878,18477,75.1,242908,92894,6427,7566,84.9,5206,6428,81.0,1589,3045,52.2,34,33.7,30.4,+0.3,353,1102,298,94,1581
Fulham,28,38.0,15096,19303,78.2,265652,102124,7060,7958,88.7,6054,7206,84.0,1538,3015,51.0,24,30.0,26.3,-6.0,350,1106,233,69,1487
Huddersfield,31,38.0,13045,17777,73.4,237346,93900,6045,7200,84.0,4765,6029,79.0,1792,3398,52.7,13,19.9,17.4,-6.9,283,1023,208,93,1248
Leicester City,25,38.0,14640,19068,76.8,259605,95052,6805,7883,86.3,5513,6788,81.2,1752,3120,56.2,34,37.6,31.5,-3.6,381,1181,264,66,1537
Liverpool,23,38.0,21146,25571,82.7,364398,118593,9634,10759,89.5,8817,10042,87.8,1982,3284,60.4,55,49.8,52.6,+5.2,422,1520,495,75,2008
Manchester City,21,38.0,24678,28389,86.9,395041,113549,12249,13188,92.9,9318,10379,89.8,1907,2834,67.3,71,65.5,63.6,+5.5,516,1948,554,62,2429
Manchester Utd,28,38.0,16834,20942,80.4,284489,101728,7987,8945,89.3,6247,7334,85.2,1704,2961,57.5,40,39.6,38.3,+0.4,381,1219,339,58,1668
Newcastle Utd,24,38.0,10774,15231,70.7,197304,79475,4812,5773,83.4,3758,4863,77.3,1584,3269,48.5,33,27.4,23.4,+5.6,324,792,255,99,985
Southampton,30,38.0,11463,15930,72.0,201495,79147,5615,6610,84.9,4317,5535,78.0,1241,2873,43.2,27,29.3,27.9,-2.3,337,1086,260,68,1333
Tottenham,28,38.0,18808,23056,81.6,324971,107296,8731,9745,89.6,7694,8904,86.4,1810,3083,58.7,47,39.1,36.2,+7.9,392,1283,364,90,1744
Watford,25,38.0,12550,16974,73.9,213157,87312,6240,7278,85.7,4322,5450,79.3,1370,2902,47.2,39,34.8,28.5,+4.2,310,944,291,55,1294
West Ham,26,38.0,13847,18038,76.8,239173,90485,6655,7661,86.9,4834,5923,81.6,1640,2995,54.8,33,34.1,30.9,-1.1,325,1005,266,55,1478
Wolves,21,38.0,13961,18261,76.5,255563,92552,5966,6900,86.5,5519,6661,82.9,1884,3353,56.2,35,39.4,30.3,-4.4,348,1053,242,73,1350
