Squad,# Pl,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG
Arsenal,28,38.0,69,462,159,34.4,12.16,4.18,0.14,0.41,16.7,11,4,5,60.1,56.0,0.12,+8.9,+9.0
Bournemouth,28,38.0,55,437,153,35.0,11.50,4.03,0.11,0.31,17.4,16,7,9,53.3,46.2,0.11,+1.7,+1.8
Brighton,21,38.0,35,364,99,27.2,9.58,2.61,0.08,0.30,17.9,12,5,6,35.3,30.7,0.09,-0.3,-0.7
Burnley,23,38.0,43,358,112,31.3,9.42,2.95,0.11,0.37,15.8,14,2,2,44.4,42.8,0.12,-1.4,-1.8
Cardiff City,25,38.0,33,413,113,27.4,10.87,2.97,0.07,0.27,17.7,13,3,4,42.4,39.2,0.10,-9.4,-9.2
Chelsea,24,38.0,61,602,192,31.9,15.84,5.05,0.09,0.29,17.8,30,5,5,58.6,54.6,0.09,+2.4,+1.4
Crystal Palace,26,38.0,48,482,135,28.0,12.68,3.55,0.08,0.28,18.4,16,10,11,47.6,39.2,0.08,+0.4,-1.2
Everton,23,38.0,53,493,163,33.1,12.97,4.29,0.10,0.31,16.9,20,2,5,49.7,45.7,0.10,+3.3,+5.3
Fulham,28,38.0,33,451,140,31.0,11.87,3.68,0.07,0.22,19.0,10,2,3,41.3,39.0,0.09,-8.3,-8.0
Huddersfield,31,38.0,21,400,116,29.0,10.53,3.05,0.05,0.17,19.1,15,1,1,28.8,28.0,0.07,-7.8,-8.0
Leicester City,25,38.0,48,508,173,34.1,13.37,4.55,0.08,0.25,18.6,19,5,7,52.4,47.3,0.10,-4.4,-4.3
Liverpool,23,38.0,86,568,211,37.1,14.95,5.55,0.14,0.37,17.0,20,7,7,73.7,68.4,0.12,+12.3,+10.6
Manchester City,21,38.0,91,679,252,37.1,17.87,6.63,0.13,0.35,16.9,21,3,4,84.3,81.3,0.12,+6.7,+6.7
Manchester Utd,28,38.0,65,514,210,40.9,13.53,5.53,0.11,0.27,18.7,27,9,12,61.4,52.0,0.10,+3.6,+4.0
Newcastle Utd,24,38.0,41,443,136,30.7,11.66,3.58,0.09,0.29,18.8,16,1,3,39.1,36.7,0.09,+1.9,+3.3
Southampton,30,38.0,44,479,155,32.4,12.61,4.08,0.08,0.26,18.9,20,4,5,46.9,43.4,0.10,-2.9,-3.4
Tottenham,28,38.0,66,533,182,34.1,14.03,4.79,0.12,0.34,18.1,23,4,4,54.9,51.8,0.10,+11.1,+10.2
Watford,25,38.0,51,436,148,33.9,11.47,3.89,0.11,0.34,17.3,22,1,1,48.2,47.5,0.11,+2.8,+2.5
West Ham,26,38.0,51,436,149,34.2,11.47,3.92,0.11,0.31,17.2,17,5,5,47.6,43.8,0.10,+3.4,+2.2
Wolves,21,38.0,46,473,144,30.4,12.45,3.79,0.09,0.29,17.7,12,4,4,52.1,49.0,0.11,-6.1,-7.0
