Squad,# Pl,90s,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def
Arsenal,29,38.0,709,18.66,501,59,52,48,33,16,85,2.24,57,5,4,9,4,6
Aston Villa,28,38.0,828,21.79,599,88,42,36,56,7,72,1.89,48,8,5,4,7,0
Bournemouth,27,38.0,669,17.61,472,69,34,39,47,8,63,1.66,36,6,7,8,6,0
Brighton,25,38.0,804,21.16,599,73,39,48,40,5,65,1.71,44,9,5,2,5,0
Burnley,22,38.0,667,17.55,459,83,27,44,45,9,71,1.87,47,10,4,6,3,1
Chelsea,27,38.0,1121,29.50,847,86,57,64,52,15,123,3.24,86,6,10,9,10,2
Crystal Palace,25,38.0,643,16.92,427,68,57,36,46,9,53,1.39,37,3,4,4,5,0
Everton,24,38.0,805,21.18,536,86,47,69,51,16,67,1.76,47,4,4,9,3,0
Leicester City,24,38.0,969,25.50,707,73,75,48,56,10,116,3.05,91,3,11,4,5,2
Liverpool,24,38.0,1044,27.47,800,77,60,54,36,17,148,3.89,108,11,10,9,8,2
Manchester City,24,38.0,1356,35.68,1040,72,101,75,53,15,173,4.55,123,6,16,14,12,2
Manchester Utd,29,38.0,978,25.74,766,50,62,36,56,8,112,2.95,86,4,7,2,12,1
Newcastle Utd,28,38.0,705,18.55,491,75,55,38,37,9,62,1.63,41,6,4,6,4,1
Norwich City,30,38.0,717,18.87,522,56,47,47,35,10,43,1.13,34,2,2,2,1,2
Sheffield Utd,26,38.0,630,16.58,457,62,44,38,23,6,63,1.66,47,3,6,6,1,0
Southampton,25,38.0,843,22.18,560,74,70,53,60,26,77,2.03,41,3,15,8,7,3
Tottenham,29,38.0,779,20.50,589,43,54,37,38,18,94,2.47,62,3,13,10,4,2
Watford,26,38.0,725,19.08,498,69,45,42,56,15,58,1.53,34,6,3,4,8,3
West Ham,29,38.0,735,19.34,514,78,42,42,47,12,89,2.34,62,7,5,7,8,0
Wolves,21,38.0,801,21.08,541,70,79,47,46,18,83,2.18,53,6,9,8,7,0
