Squad,# Pl,Age,Playing Time MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90
Arsenal,29,25.8,38,3420,90,100,38.0,418,83,,123,21,163,1.47,56,48,+8,+0.21,47.0,55.3,-8.3,-0.22
Aston Villa,28,25.7,38,3420,90,100,38.0,418,84,,113,22,173,0.92,41,67,-26,-0.68,44.3,67.8,-23.5,-0.62
Bournemouth,27,25.2,38,3420,90,100,38.0,418,84,,108,23,176,0.89,40,65,-25,-0.66,44.8,62.3,-17.5,-0.46
Brighton,25,26.4,38,3420,90,100,38.0,418,84,,128,20,155,1.08,39,54,-15,-0.39,45.4,55.0,-9.5,-0.25
Burnley,22,28.0,38,3420,90,100,38.0,418,86,,74,20,206,1.42,43,50,-7,-0.18,47.4,49.8,-2.4,-0.06
Chelsea,27,25.5,38,3420,90,100,38.0,418,84,,117,20,166,1.74,69,54,+15,+0.39,69.2,38.6,+30.6,+0.81
Crystal Palace,25,29.4,38,3420,90,100,38.0,418,85,,98,20,185,1.13,31,50,-19,-0.50,35.8,57.0,-21.2,-0.56
Everton,24,25.5,38,3420,90,100,38.0,418,83,,120,24,164,1.29,44,56,-12,-0.32,50.8,48.3,+2.5,+0.07
Leicester City,24,26.1,38,3420,90,100,38.0,418,84,,112,21,172,1.63,67,41,+26,+0.68,62.2,45.5,+16.7,+0.44
Liverpool,24,26.6,38,3420,90,100,38.0,418,85,,127,17,157,2.61,85,33,+52,+1.37,68.9,37.7,+31.2,+0.82
Manchester City,24,26.9,38,3420,90,100,38.0,418,83,,120,22,166,2.13,102,35,+67,+1.76,92.0,36.2,+55.7,+1.47
Manchester Utd,29,24.8,38,3420,90,100,38.0,418,85,,119,16,165,1.74,66,36,+30,+0.79,62.2,37.7,+24.5,+0.64
Newcastle Utd,28,26.5,38,3420,90,100,38.0,418,84,,118,20,166,1.16,38,58,-20,-0.53,35.5,65.6,-30.1,-0.79
Norwich City,30,26.0,38,3420,90,100,38.0,418,85,,126,17,157,0.55,26,75,-49,-1.29,37.0,66.5,-29.5,-0.78
Sheffield Utd,26,26.9,38,3420,90,100,38.0,418,84,,110,22,171,1.42,39,39,0,0.00,43.0,51.0,-7.9,-0.21
Southampton,25,25.9,38,3420,90,100,38.0,418,85,,111,18,171,1.37,51,60,-9,-0.24,56.1,52.8,+3.3,+0.09
Tottenham,29,26.7,38,3420,90,100,38.0,418,85,,113,18,171,1.55,61,47,+14,+0.37,47.9,54.2,-6.3,-0.17
Watford,26,28.9,38,3420,90,100,38.0,418,84,,113,20,171,0.89,36,64,-28,-0.74,48.9,58.1,-9.3,-0.24
West Ham,29,27.4,38,3420,90,100,38.0,418,85,,107,21,177,1.03,49,62,-13,-0.34,48.6,63.8,-15.2,-0.40
Wolves,21,26.6,38,3420,90,100,38.0,418,86,,97,19,187,1.55,51,40,+11,+0.29,54.1,38.0,+16.1,+0.42
