Squad,# Pl,Poss,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec
Arsenal,29,,38.0,25431,2426,7970,11384,6240,910,25425,535,296,55.3,239,44.7,15543,83237,45097,758,499,195,511,260,17924
Aston Villa,24,,38.0,21113,2577,6973,8614,5759,947,21107,595,369,62.0,223,37.5,11291,60378,30659,629,463,226,579,337,12832
Brighton,27,,38.0,23756,2489,7928,10231,5828,885,23747,573,350,61.1,222,38.7,13491,73709,37608,685,468,131,549,306,15634
Burnley,25,,38.0,19391,2181,5794,9081,4683,699,19388,403,234,58.1,170,42.2,9240,46385,20946,389,340,75,503,278,10755
Chelsea,27,,38.0,29889,2502,8879,13917,7308,1017,29879,657,359,54.6,298,45.4,17523,90661,48291,895,663,243,585,286,21851
Crystal Palace,24,,38.0,19798,2193,6917,8697,4410,653,19794,645,365,56.6,280,43.4,10226,56545,26885,526,388,151,596,402,11524
Everton,29,,38.0,22845,2729,8235,10258,4585,643,22840,591,362,61.3,229,38.7,12603,70612,36337,604,443,105,552,344,14706
Fulham,28,,38.0,23810,2407,8063,10438,5567,728,23804,795,506,63.6,289,36.4,13417,74354,37397,727,527,156,721,393,15290
Leeds United,23,,38.0,24873,2750,9043,10345,5695,880,24869,563,318,56.5,245,43.5,14066,80443,44866,811,491,158,667,319,16154
Leicester City,27,,38.0,25365,2268,7924,11997,5674,772,25353,645,358,55.5,287,44.5,13991,72340,37072,666,481,142,549,322,16883
Liverpool,28,,38.0,30073,2075,7215,14867,8242,1211,30067,696,407,58.5,288,41.4,19103,96220,50778,886,754,249,592,387,21796
Manchester City,24,,38.0,30700,1912,6477,15960,8504,1196,30691,783,485,61.9,298,38.1,20039,106424,59443,1096,863,340,510,350,23640
Manchester Utd,29,,38.0,26617,2222,7609,11950,7323,921,26606,711,415,58.4,293,41.2,15481,88886,47495,877,666,201,536,360,18671
Newcastle Utd,27,,38.0,18774,2524,7166,7894,3941,552,18767,587,350,59.6,237,40.4,9605,51309,24707,467,376,114,519,297,10730
Sheffield Utd,27,,38.0,20351,2314,6405,8599,5537,615,20347,475,269,56.6,207,43.6,10178,54344,27029,491,398,104,536,323,12037
Southampton,29,,38.0,23607,2302,7497,11566,4756,698,23601,601,343,57.1,258,42.9,12535,66172,33536,626,517,126,638,386,14818
Tottenham,24,,38.0,24670,2577,7991,11935,4997,700,24665,715,403,56.4,312,43.6,13842,73058,37183,633,506,152,519,334,16404
West Brom,30,,38.0,18247,2539,6670,7517,4237,578,18242,505,264,52.3,241,47.7,8262,44861,21527,441,283,103,613,313,9668
West Ham,24,,38.0,20810,2294,6638,9343,5060,761,20806,542,298,55.0,244,45.0,10960,63334,30416,658,455,152,491,318,12606
Wolves,27,,38.0,23259,2190,7246,11020,5206,694,23255,779,468,60.1,311,39.9,13272,72908,38578,800,566,177,592,309,15405
