Rk,Player,Nation,Pos,Squad,Age,Born,90s,Goals GA,Goals PKA,Goals FK,Goals CK,Goals OG,Expected PSxG,Expected PSxG/SoT,Expected PSxG+/-,Expected /90,Launched Cmp,Launched Att,Launched Cmp%,Passes Att,Passes Thr,Passes Launch%,Passes AvgLen,Goal Kicks Att,Goal Kicks Launch%,Goal Kicks AvgLen,Crosses Opp,Crosses Stp,Crosses Stp%,Sweeper #OPA,Sweeper #OPA/90,Sweeper AvgDist
1,Alisson,BRA,GK,Liverpool,28,1992,36.0,24,0,0,3,1,24.4,0.25,+1.4,+0.04,114,258,44.2,1216,211,16.5,26.3,172,33.1,33.4,340,22,6.5,89,2.47,18.7
2,Alphonse Areola,FRA,GK,West Ham,28,1993,1.0,1,0,0,0,0,1.2,0.39,+0.2,+0.17,9,28,32.1,26,3,69.2,46.3,14,71.4,48.5,15,1,6.7,0,0.00,5.5
3,Kepa Arrizabalaga,ESP,GK,Chelsea,26,1994,4.0,2,0,0,1,0,3.2,0.25,+1.2,+0.30,8,29,27.6,117,29,19.7,26.4,21,28.6,27.6,44,2,4.5,8,2.00,18.8
4,Daniel Bachmann,AUT,GK,Watford,27,1994,12.0,28,3,1,3,2,23.2,0.30,-2.8,-0.23,71,207,34.3,275,47,53.8,40.9,87,67.8,47.8,187,7,3.7,12,1.00,16.1
5,Asmir Begović,BIH,GK,Everton,34,1987,3.0,8,1,0,3,1,4.2,0.18,-2.8,-0.94,20,62,32.3,54,5,74.1,48.9,31,71.0,51.3,50,3,6.0,2,0.67,10.7
6,Jack Butland,ENG,GK,Crystal Palace,28,1993,8.5,13,0,1,1,2,9.7,0.31,-1.3,-0.16,25,93,26.9,221,40,28.5,29.8,66,45.5,36.3,139,11,7.9,7,0.82,11.2
7,Willy Caballero,ARG,GK,Southampton,39,1981,2.0,5,0,0,1,0,3.3,0.31,-1.7,-0.85,17,36,47.2,47,0,51.1,38.4,13,92.3,56.5,33,1,3.0,4,2.00,14.0
8,Karl Darlow,ENG,GK,Newcastle Utd,30,1990,8.0,15,2,0,1,1,9.5,0.21,-4.5,-0.56,72,163,44.2,187,28,61.5,44.5,62,77.4,56.7,106,5,4.7,4,0.50,10.5
9,Martin Dúbravka,SVK,GK,Newcastle Utd,32,1989,26.0,35,1,0,7,1,34.0,0.32,0.0,0.00,207,497,41.6,605,88,46.3,37.0,236,91.9,60.5,360,22,6.1,14,0.54,11.9
10,Ederson,BRA,GK,Manchester City,27,1993,37.0,26,1,0,1,0,25.7,0.30,-0.3,-0.01,87,182,47.8,988,165,15.7,25.7,138,19.6,26.8,300,21,7.0,55,1.49,19.0
11,Łukasz Fabiański,POL,GK,West Ham,36,1985,37.0,50,2,2,8,2,46.8,0.26,-1.2,-0.03,193,525,36.8,736,164,48.9,38.2,277,59.6,44.4,595,28,4.7,12,0.32,10.4
12,Álvaro Fernández,ESP,GK,Brentford,23,1998,12.0,24,1,0,5,2,19.9,0.28,-2.1,-0.17,64,216,29.6,433,60,40.4,33.9,83,49.4,36.9,194,9,4.6,18,1.50,16.8
13,Fraser Forster,ENG,GK,Southampton,33,1988,19.0,35,2,0,5,2,32.4,0.31,-0.6,-0.03,105,330,31.8,461,71,50.1,39.6,140,70.7,49.5,285,19,6.7,24,1.26,12.3
