Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def
1,Max Aarons,ENG,DF,Norwich City,21,2000,32.0,46,1.44,34,3,2,3,3,1,3,0.09,3,0,0,0,0,0
2,Che Adams,SCO,FW,Southampton,25,1996,22.7,51,2.25,32,0,2,4,11,2,5,0.22,3,0,1,0,0,1
3,Rayan Aït Nouri,ALG,DF|MF,Wolves,20,2001,20.3,45,2.22,30,8,4,0,2,1,6,0.30,4,1,0,0,1,0
4,Kristoffer Ajer,NOR,DF,Brentford,23,1998,22.2,33,1.50,22,6,2,1,1,1,7,0.32,3,1,2,0,1,0
5,Nathan Aké,NED,DF,Manchester City,26,1995,10.3,5,0.49,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0
6,Marc Albrighton,ENG,FW|DF,Leicester City,31,1989,12.6,19,1.51,12,4,0,0,3,0,2,0.16,2,0,0,0,0,0
7,Thiago Alcántara,ESP,MF,Liverpool,30,1991,17.0,67,3.93,57,0,1,7,1,1,6,0.35,6,0,0,0,0,0
8,Trent Alexander-Arnold,ENG,DF,Liverpool,22,1998,31.7,160,5.05,96,53,3,7,1,0,18,0.57,13,4,0,1,0,0
9,Alisson,BRA,GK,Liverpool,28,1992,36.0,2,0.06,2,0,0,0,0,0,1,0.03,1,0,0,0,0,0
10,Allan,BRA,MF,Everton,30,1991,24.3,38,1.57,35,0,1,0,1,1,7,0.29,5,0,1,0,1,0
11,Dele Alli,ENG,MF,Tottenham,25,1996,7.3,7,0.96,4,0,0,0,3,0,1,0.14,0,0,0,0,1,0
12,Dele Alli,ENG,MF|FW,Everton,25,1996,3.8,13,3.46,12,1,0,0,0,0,1,0.27,1,0,0,0,0,0
13,Miguel Almirón,PAR,MF|FW,Newcastle Utd,27,1994,19.1,49,2.57,36,0,3,8,2,0,4,0.21,3,0,1,0,0,0
14,Marcos Alonso,ESP,DF,Chelsea,30,1990,24.1,93,3.86,66,16,3,6,2,0,10,0.42,7,2,0,1,0,0
15,Steven Alzate,COL,MF,Brighton,22,1998,4.5,6,1.34,6,0,0,0,0,0,1,0.22,1,0,0,0,0,0
16,Daniel Amartey,GHA,DF,Leicester City,26,1994,23.6,18,0.76,18,0,0,0,0,0,1,0.04,1,0,0,0,0,0
17,Joachim Andersen,DEN,DF,Crystal Palace,25,1996,32.4,33,1.02,30,1,0,1,0,1,4,0.12,3,0,0,1,0,0
18,Michail Antonio,JAM,FW,West Ham,31,1990,33.0,97,2.94,65,1,11,11,9,0,17,0.51,10,0,1,4,2,0
19,Cameron Archer,ENG,FW|MF,Aston Villa,20,2001,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
20,Alphonse Areola,FRA,GK,West Ham,28,1993,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
21,Adam Armstrong,ENG,FW,Southampton,24,1997,15.7,36,2.29,22,0,5,6,3,0,3,0.19,2,0,0,0,1,0
22,Stuart Armstrong,SCO,MF,Southampton,29,1992,16.4,54,3.30,42,2,2,3,4,1,3,0.18,1,0,1,0,1,0
23,Kepa Arrizabalaga,ESP,GK,Chelsea,26,1994,4.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
24,Harrison Ashby,SCO,DF,West Ham,19,2001,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
25,Pierre-Emerick Aubameyang,GAB,FW,Arsenal,32,1989,11.5,22,1.91,14,0,2,4,2,0,3,0.26,2,0,0,1,0,0
26,Jordan Ayew,GHA,FW,Crystal Palace,29,1991,22.4,61,2.72,41,1,2,3,13,1,6,0.27,5,0,0,0,1,0
27,Luke Ayling,ENG,DF,Leeds United,29,1991,25.2,33,1.31,24,1,0,7,0,1,5,0.20,1,0,0,3,0,1
28,César Azpilicueta,ESP,DF,Chelsea,31,1989,23.0,48,2.09,43,0,2,3,0,0,8,0.35,6,0,1,1,0,0
29,Daniel Bachmann,AUT,GK,Watford,27,1994,12.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
30,Leon Bailey,JAM,FW|MF,Aston Villa,23,1997,8.5,20,2.37,15,0,1,2,2,0,1,0.12,1,0,0,0,0,0
31,Eric Bailly,CIV,DF,Manchester Utd,27,1994,2.4,1,0.41,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
32,Folarin Balogun,USA,FW,Arsenal,20,2001,0.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
33,Patrick Bamford,ENG,FW,Leeds United,27,1993,6.2,13,2.09,9,0,1,2,1,0,3,0.48,2,0,1,0,0,0
34,Shandon Baptiste,GRN,MF,Brentford,23,1998,10.1,21,2.07,16,0,4,1,0,0,1,0.10,1,0,0,0,0,0
35,Ross Barkley,ENG,MF|FW,Chelsea,27,1993,2.0,18,9.00,13,3,1,1,0,0,3,1.50,3,0,0,0,0,0
36,Ashley Barnes,ENG,FW,Burnley,31,1989,9.0,18,2.00,12,0,0,3,3,0,1,0.11,1,0,0,0,0,0
37,Harvey Barnes,ENG,FW|MF,Leicester City,23,1997,23.3,63,2.70,48,0,7,4,3,1,13,0.56,11,0,0,2,0,0
38,Lewis Bate,ENG,MF,Leeds United,18,2002,1.6,3,1.85,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0
39,Mads Bech Sørensen,DEN,DF,Brentford,22,1999,9.3,11,1.19,4,7,0,0,0,0,0,0.00,0,0,0,0,0,0
40,Jan Bednarek,POL,DF,Southampton,25,1996,29.2,22,0.75,16,3,0,1,0,2,1,0.03,1,0,0,0,0,0
41,Donny van de Beek,NED,MF,Manchester Utd,24,1997,0.8,6,7.20,5,0,1,0,0,0,1,1.20,1,0,0,0,0,0
42,Donny van de Beek,NED,MF,Everton,24,1997,5.4,8,1.49,7,0,0,1,0,0,0,0.00,0,0,0,0,0,0
43,Asmir Begović,BIH,GK,Everton,34,1987,3.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
44,Saïd Benrahma,ALG,FW|MF,West Ham,25,1995,24.1,75,3.11,58,0,7,7,3,0,8,0.33,7,0,0,1,0,0
45,Rodrigo Bentancur,URU,MF,Tottenham,24,1997,15.1,38,2.51,33,0,1,2,1,1,7,0.46,6,0,0,1,0,0
46,Christian Benteke,BEL,FW,Crystal Palace,30,1990,12.7,23,1.81,19,0,1,1,2,0,2,0.16,1,0,0,0,1,0
47,Jóhann Berg Guðmundsson,ISL,MF,Burnley,30,1990,12.2,23,1.88,16,0,1,4,2,0,2,0.16,2,0,0,0,0,0
48,Steven Bergwijn,NED,FW|MF,Tottenham,23,1997,6.3,21,3.35,15,1,2,1,2,0,3,0.48,1,0,1,0,1,0
