Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,Performance W,Performance D,Performance L,Performance CS,Performance CS%,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%
1,Emil Audero,ITA,GK,Sampdoria,21,1997,36,36,3240,36.0,51,1.42,147,96,70.1,14,7,15,11,30.6,8,7,1,0,12.5
2,Francesco Bardi,ITA,GK,Frosinone,26,1992,3,3,270,3.0,5,1.67,12,7,58.3,0,1,2,1,33.3,0,0,0,0,
3,Etrit Berisha,ALB,GK,Atalanta,29,1989,18,18,1620,18.0,25,1.39,63,41,61.9,9,3,6,5,27.8,2,1,0,1,0.0
4,Rafael Cabral,BRA,GK,Sampdoria,28,1990,2,2,180,2.0,0,0.00,2,2,100.0,1,1,0,2,100.0,0,0,0,0,
5,Andrea Consigli,ITA,GK,Sassuolo,31,1987,36,36,3213,35.7,56,1.57,155,98,66.5,9,15,12,12,33.3,8,4,3,1,42.9
6,Alessio Cragno,ITA,GK,Cagliari,24,1994,38,38,3420,38.0,54,1.42,205,151,77.6,10,11,17,7,18.4,10,8,2,0,20.0
7,Gianluigi Donnarumma,ITA,GK,Milan,19,1999,36,36,3092,34.3,31,0.90,126,95,77.8,18,11,7,11,30.6,4,3,1,0,25.0
8,Bartłomiej Drągowski,POL,GK,Empoli,20,1997,14,14,1260,14.0,24,1.71,96,71,78.1,5,2,7,3,21.4,4,3,1,0,25.0
9,Bartłomiej Drągowski,POL,GK,Fiorentina,20,1997,3,2,225,2.5,2,0.80,8,6,75.0,0,1,1,1,50.0,0,0,0,0,
10,Pierluigi Frattali,ITA,GK,Parma,32,1985,1,1,90,1.0,2,2.00,8,7,75.0,0,0,1,0,0.0,0,0,0,0,
11,Pierluigi Gollini,ITA,GK,Atalanta,23,1995,20,20,1800,20.0,21,1.05,70,49,74.3,11,6,3,4,20.0,3,3,0,0,0.0
12,Alfred Gomis,SEN,GK,SPAL,24,1993,20,19,1723,19.2,27,1.41,76,49,65.8,3,6,10,6,31.6,1,1,0,0,0.0
13,Guido Guerrieri,ITA,GK,Lazio,22,1996,1,1,90,1.0,3,3.00,4,1,25.0,0,1,0,0,0.0,0,0,0,0,
14,Samir Handanović,SVN,GK,Inter,34,1984,38,38,3420,38.0,33,0.87,127,97,76.4,20,9,9,17,44.7,5,3,0,2,0.0
15,Salvador Ichazo,URU,GK,Torino,26,1992,3,2,250,2.8,2,0.72,9,7,88.9,1,1,0,1,50.0,1,1,0,0,0.0
16,Jandrei,BRA,GK,Genoa,25,1993,1,1,90,1.0,1,1.00,3,2,66.7,0,0,1,0,0.0,0,0,0,0,
17,Orestis Karnezis,GRE,GK,Napoli,33,1985,9,9,810,9.0,7,0.78,27,20,77.8,6,2,1,4,44.4,1,1,0,0,0.0
18,Alban Lafont,FRA,GK,Fiorentina,19,1999,34,34,3015,33.5,40,1.19,128,90,72.7,8,15,11,8,23.5,6,5,1,0,16.7
19,Federico Marchetti,ITA,GK,Genoa,35,1983,4,4,360,4.0,10,2.50,18,9,44.4,2,0,2,1,25.0,0,0,0,0,
20,Alex Meret,ITA,GK,Napoli,21,1997,14,13,1150,12.8,9,0.70,48,39,85.4,9,1,3,5,38.5,2,2,0,0,0.0
21,Vanja Milinković-Savić,SRB,GK,SPAL,21,1997,2,2,164,1.8,4,2.20,16,12,75.0,1,0,1,0,0.0,0,0,0,0,
22,Antonio Mirante,ITA,GK,Roma,35,1983,11,11,990,11.0,6,0.55,38,31,84.2,6,4,1,6,54.5,1,0,1,0,100.0
23,Juan Musso,ARG,GK,Udinese,24,1994,29,29,2610,29.0,40,1.38,144,105,77.8,9,8,12,7,24.1,8,8,0,0,0.0
24,Robin Olsen,SWE,GK,Roma,28,1990,27,27,2430,27.0,42,1.56,126,85,69.8,12,8,7,4,14.8,6,4,0,2,0.0
25,David Ospina,COL,GK,Napoli,29,1988,17,16,1457,16.2,20,1.24,62,42,69.4,9,4,3,5,31.3,1,1,0,0,0.0
26,Gianluca Pegolo,ITA,GK,Sassuolo,37,1981,3,2,202,2.3,4,1.78,12,8,66.7,0,1,1,0,0.0,0,0,0,0,
27,Mattia Perin,ITA,GK,Juventus,25,1992,9,9,810,9.0,8,0.89,27,19,74.1,6,1,2,5,55.6,1,1,0,0,0.0
28,Carlo Pinsoglio,ITA,GK,Juventus,28,1990,1,1,90,1.0,2,2.00,3,1,33.3,0,0,1,0,0.0,0,0,0,0,
29,Giacomo Poluzzi,ITA,GK,SPAL,30,1988,1,0,5,0.1,0,0.00,0,0,,0,0,0,1,,0,0,0,0,
30,Silvio Proto,BEL,GK,Lazio,35,1983,2,2,180,2.0,4,2.00,13,9,69.2,1,0,1,0,0.0,0,0,0,0,
31,Ivan Provedel,ITA,GK,Empoli,24,1994,16,16,1440,16.0,36,2.25,104,69,68.3,4,4,8,0,0.0,4,3,0,1,0.0
32,Ionuț Radu,ROU,GK,Genoa,21,1997,33,33,2970,33.0,46,1.39,149,102,72.5,6,14,13,6,18.2,6,5,1,0,16.7
33,Pepe Reina,ESP,GK,Milan,35,1982,4,2,328,3.7,5,1.37,14,9,71.4,1,0,1,1,50.0,1,1,0,0,0.0
34,Francesco Rossi,ITA,GK,Atalanta,27,1991,1,0,,0.0,0,,0,0,,0,0,0,0,,0,0,0,0,
35,Simone Scuffet,ITA,GK,Udinese,22,1996,9,9,810,9.0,13,1.44,38,25,68.4,2,2,5,2,22.2,1,1,0,0,0.0
36,Andrea Seculin,ITA,GK,Chievo,28,1990,2,1,90,1.0,7,7.00,12,5,41.7,0,0,1,0,0.0,0,0,0,0,
37,Adrian Šemper,CRO,GK,Chievo,20,1998,6,6,540,6.0,8,1.33,32,24,75.0,1,3,2,2,33.3,0,0,0,0,
38,Luigi Sepe,ITA,GK,Parma,27,1991,37,37,3330,37.0,59,1.59,197,142,74.1,10,11,16,10,27.0,8,8,0,0,0.0
