Squad,# Pl,Poss,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec
Atalanta,27,,38.0,26487,1927,6923,12124,7708,1097,26483,654,363,55.5,291,44.5,16541,90108,46783,1104,849,263,652,464,18013
Bologna,29,,38.0,20309,2235,6440,9194,4926,721,20304,542,273,50.4,269,49.6,10638,62652,33445,675,499,142,557,360,11912
Cagliari,30,,38.0,22949,2387,6843,11161,5130,653,22946,346,180,52.0,166,48.0,11486,59374,30384,555,447,84,540,368,14386
Chievo,36,,38.0,20666,2374,7142,9621,4092,499,20660,365,201,55.1,164,44.9,10531,54119,26992,500,386,75,544,358,12447
Empoli,29,,38.0,22252,2401,6708,10134,5680,835,22245,556,333,59.9,223,40.1,13042,74663,41211,801,603,185,544,367,14544
Fiorentina,27,,38.0,21739,2168,6436,10234,5304,830,21733,591,306,51.8,284,48.1,11891,70602,37679,801,549,192,601,376,13206
Frosinone,33,,38.0,19629,2410,7126,8745,3979,524,19624,427,213,49.9,214,50.1,9849,51774,28579,520,407,72,482,348,11451
Genoa,31,,38.0,19557,2046,5834,8570,5408,745,19552,501,289,57.7,212,42.3,9899,57245,31380,690,551,124,497,329,11086
Inter,23,,38.0,27339,2148,7205,13219,7153,1003,27330,512,285,55.7,225,43.9,16606,86555,46653,954,700,176,534,310,19396
Juventus,31,,38.0,25818,1991,6533,12752,6767,908,25810,637,376,59.0,260,40.8,15863,84024,44961,926,679,199,496,320,18223
Lazio,30,,38.0,24027,2131,6576,11161,6540,940,24021,612,344,56.2,268,43.8,13455,77688,42988,912,685,200,526,332,15712
Milan,23,,38.0,25190,2419,7718,11864,5834,753,25186,543,341,62.8,202,37.2,16104,85328,45355,821,605,159,583,415,17446
Napoli,26,,38.0,28662,1986,6516,14900,7490,920,28658,570,336,58.9,234,41.1,18967,93730,52568,934,880,202,470,325,20995
Parma,31,,38.0,17996,2754,7182,7560,3485,496,17991,519,279,53.8,237,45.7,9240,51969,26571,487,378,120,529,375,9827
Roma,26,,38.0,23184,2300,6646,10797,5977,938,23178,640,363,56.7,275,43.0,12309,70603,37094,838,600,196,549,347,15207
Sampdoria,24,,38.0,25094,2477,7136,12368,5814,716,25082,478,286,59.8,192,40.2,14304,72633,39028,630,513,100,526,461,16987
Sassuolo,29,,38.0,24071,2342,7530,11334,5455,661,24066,631,359,56.9,272,43.1,14144,76401,41505,721,541,164,553,388,16273
SPAL,28,,38.0,21867,2527,7337,9819,4984,616,21859,492,274,55.7,216,43.9,12589,73844,40762,910,641,137,541,397,14145
Torino,25,,38.0,21591,2124,6337,10123,5403,758,21585,589,338,57.4,251,42.6,11107,66453,34465,770,588,136,629,450,12754
Udinese,31,,38.0,19764,2356,6652,9253,4105,596,19756,564,337,59.8,227,40.2,10731,62811,34053,713,506,137,605,374,11441
