Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR
1,Ignazio Abate,ITA,DF,Milan,31,1986,14.5,1070,67,342,579,156,11,1070,10,4,40.0,6,60.0,646,2673,1487,27,13,4,8,2,695,43
2,Francesco Acerbi,ITA,DF,Lazio,30,1988,36.8,2178,257,1019,1060,112,28,2178,11,9,81.8,2,18.2,1191,7946,4406,39,26,2,20,8,1306,17
3,Afriyie Acquah,GHA,MF,Empoli,26,1992,16.8,901,22,132,474,315,29,901,35,27,77.1,8,22.9,623,4409,2387,58,45,9,32,21,690,76
4,Claud Adjapong,ITA,MF|FW,Sassuolo,20,1998,3.0,147,5,29,62,59,8,147,14,6,42.9,8,57.1,71,399,168,6,4,4,12,6,79,19
5,Ali Adnan Kadhim,IRQ,DF,Atalanta,24,1993,1.8,137,7,34,56,50,4,137,7,5,71.4,2,28.6,73,419,252,7,2,0,0,1,79,11
6,Emmanuel Agyemang-Badu,GHA,MF,Udinese,27,1990,1.8,53,4,10,31,12,2,53,2,0,0.0,2,100.0,25,106,25,2,2,0,4,2,32,5
7,Ola Aina,NGA,DF,Torino,21,1996,24.0,1497,63,382,699,444,35,1497,61,30,49.2,31,50.8,658,4369,2412,62,56,6,35,23,761,96
8,Luis Alberto,ESP,MF|FW,Lazio,25,1992,22.1,1747,11,137,817,821,51,1746,41,24,58.5,17,41.5,1056,6301,3855,100,112,13,48,43,1212,132
9,Raúl Albiol,ESP,DF,Napoli,32,1985,19.0,1292,130,529,735,31,7,1292,2,1,50.0,1,50.0,758,3466,1959,4,4,0,5,2,889,2
10,Allan,BRA,MF,Napoli,27,1991,29.1,2582,70,466,1711,439,26,2582,64,41,64.1,23,35.9,1757,8379,4562,49,66,14,34,42,1876,45
11,Bruno Alves,POR,DF,Parma,36,1981,32.5,1564,277,898,601,75,28,1564,3,3,100.0,0,0.0,739,4057,2384,4,4,0,6,1,811,5
12,Joachim Andersen,DEN,DF,Sampdoria,22,1996,32.0,2328,277,1033,1260,52,17,2328,16,15,93.8,1,6.3,1363,8170,5150,25,12,1,10,6,1585,3
13,Marco Andreolli,ITA,DF,Cagliari,32,1986,1.2,84,12,42,41,1,1,84,0,0,,0,,33,125,79,0,0,0,0,0,60,0
14,Marco Andreolli,ITA,DF,Chievo,32,1986,7.2,314,43,183,128,5,2,314,0,0,,0,,146,530,273,1,1,0,1,1,182,0
15,Cristian Ansaldi,ARG,DF|MF,Torino,31,1986,20.1,1159,37,233,474,479,36,1159,80,53,66.3,27,33.8,632,5111,2846,96,60,9,48,33,660,108
16,Mirco Antenucci,ITA,FW,SPAL,33,1984,23.7,764,4,46,330,398,73,762,42,20,47.6,22,52.4,557,2886,996,41,26,14,77,45,611,172
17,Luca Antonelli,ITA,DF,Empoli,31,1987,8.4,490,37,142,240,110,18,490,7,5,71.4,2,28.6,259,1496,937,26,20,4,12,4,277,28
18,Mauro Antonio Burruchaga,ARG,MF,Chievo,20,1998,0.6,45,3,11,30,5,0,45,1,1,100.0,0,0.0,25,124,83,0,2,0,0,5,28,0
19,Joaquín Ardaiz,URU,FW,Frosinone,19,1999,0.2,5,0,0,3,2,0,5,1,1,100.0,0,0.0,2,3,3,0,0,0,0,1,3,0
20,Lorenzo Ariaudo,ITA,DF,Frosinone,29,1989,18.7,823,149,491,322,16,13,823,3,3,100.0,0,0.0,413,2524,1518,9,3,1,2,1,455,1
21,Nicolò Armini,ITA,DF,Lazio,17,2001,0.4,27,1,9,14,4,0,27,0,0,,0,,14,111,98,0,1,0,0,1,18,0
22,Kwadwo Asamoah,GHA,DF,Inter,29,1988,29.7,2475,77,588,1332,579,20,2475,65,40,61.5,25,38.5,1540,7411,4524,90,83,12,36,23,1761,153
23,Emil Audero,ITA,GK,Sampdoria,21,1997,36.0,1253,1153,1247,6,0,0,1253,0,0,,0,,621,2902,1941,0,0,0,2,0,480,0
24,Khouma Babacar,SEN,FW,Sassuolo,25,1993,16.5,514,29,47,219,256,74,512,21,10,47.6,11,52.4,316,1401,514,15,14,11,64,28,368,97
25,Milan Badelj,CRO,MF,Lazio,29,1989,12.7,1034,26,201,666,180,4,1034,37,29,78.4,8,21.6,552,2441,1216,19,13,3,10,9,703,12
26,Tiemoué Bakayoko,FRA,MF,Milan,23,1994,25.6,1679,74,358,1089,256,30,1679,84,60,71.4,24,28.6,1071,5565,2908,49,54,5,55,42,1126,45
27,Keita Baldé,SEN,FW,Inter,23,1995,9.9,450,3,28,141,289,56,450,34,20,58.8,14,41.2,330,2327,1132,57,25,19,25,16,368,98
28,Andrija Balić,CRO,FW|MF,Udinese,20,1997,0.3,28,1,6,14,10,0,28,1,0,0.0,1,100.0,17,88,30,0,0,0,0,2,18,2
29,Mattia Bani,ITA,DF,Chievo,24,1993,29.0,1647,236,976,631,53,21,1647,2,1,50.0,1,50.0,781,3467,1997,4,6,1,14,7,927,11
30,Antonín Barák,CZE,MF|FW,Udinese,23,1994,3.7,211,3,39,129,44,1,211,4,3,75.0,1,25.0,149,779,369,9,7,0,6,7,163,11
31,Federico Barba,ITA,DF,Chievo,24,1993,27.6,1567,146,707,730,147,12,1567,7,3,42.9,4,57.1,696,3366,2067,30,14,1,9,4,820,34
32,Francesco Bardi,ITA,GK,Frosinone,26,1992,3.0,82,71,82,0,0,0,82,0,0,,0,,41,272,187,0,0,0,1,0,24,0
33,Nicolò Barella,ITA,MF,Cagliari,21,1997,34.5,2423,43,363,1395,707,58,2422,67,42,62.7,25,37.3,1472,8731,4219,112,86,21,113,63,1683,139
34,Antonino Barillà,ITA,MF,Parma,30,1988,29.1,1131,68,333,549,269,22,1131,32,14,43.8,17,53.1,638,2916,1415,30,30,3,38,27,697,84
35,Édgar Barreto,PAR,MF,Sampdoria,34,1984,8.7,596,12,97,337,163,15,596,6,1,16.7,5,83.3,275,899,406,4,8,0,12,6,431,36
36,Musa Barrow,GAM,FW,Atalanta,19,1998,6.7,352,1,14,115,229,47,352,19,7,36.8,12,63.2,260,1546,739,33,20,17,41,13,289,79
37,Andrea Barzagli,ITA,DF,Juventus,37,1981,2.9,216,15,76,133,7,0,216,1,0,0.0,1,100.0,147,622,360,3,1,0,0,3,165,0
38,Daniele Baselli,ITA,MF,Torino,26,1992,26.4,1551,40,260,829,479,40,1551,31,22,71.0,9,29.0,770,4418,2181,50,41,2,51,33,950,73
