Squad,# Pl,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err
Atalanta,27,38.0,638,397,278,277,83,269,577,46.6,308,433,96,337,454,1092,675,10
Bologna,29,38.0,689,430,365,252,72,262,631,41.5,369,463,142,321,372,1061,863,17
Cagliari,30,38.0,603,388,259,249,95,211,524,40.3,313,449,126,323,344,947,837,4
Chievo,36,38.0,623,374,320,243,60,252,605,41.7,353,421,132,289,471,1094,988,18
Empoli,29,38.0,552,328,257,223,72,216,510,42.4,294,353,133,220,333,885,797,10
Fiorentina,27,38.0,592,371,272,238,82,199,470,42.3,271,401,130,271,413,1005,887,11
Frosinone,33,38.0,571,353,303,204,64,213,530,40.2,317,416,151,265,384,955,918,12
Genoa,31,38.0,670,424,329,249,92,253,541,46.8,288,377,114,263,424,1094,858,10
Inter,23,38.0,614,409,278,244,92,253,596,42.4,343,388,104,284,311,925,642,14
Juventus,31,38.0,571,355,259,234,78,213,452,47.1,239,383,130,253,396,967,681,16
Lazio,30,38.0,658,406,295,284,79,280,599,46.7,319,415,136,279,432,1090,798,14
Milan,23,38.0,641,382,336,233,72,268,559,47.9,291,408,109,299,373,1014,845,14
Napoli,26,38.0,574,359,233,254,87,223,553,40.3,330,353,107,246,358,932,645,8
Parma,31,38.0,580,351,329,197,54,195,500,39.0,305,445,182,263,399,979,1147,12
Roma,26,38.0,535,344,246,212,77,199,479,41.5,280,389,154,235,419,954,822,16
Sampdoria,24,38.0,647,425,290,258,99,276,567,48.7,291,418,122,296,364,1011,838,9
Sassuolo,29,38.0,529,328,288,175,66,216,517,41.8,301,387,110,277,378,907,841,15
SPAL,28,38.0,579,374,314,201,64,218,493,44.2,275,411,136,275,388,967,877,15
Torino,25,38.0,636,394,272,283,81,226,506,44.7,280,462,117,345,451,1087,848,12
Udinese,31,38.0,651,387,341,250,60,245,554,44.2,309,450,161,289,381,1032,1065,15
