Squad,# Pl,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP
Atalanta,27,38.0,18142,22141,81.9,310061,105943,8519,9551,89.2,7175,8322,86.2,1761,2860,61.6,60,55.8,48.4,+4.2,505,1323,443,96,1939
Bologna,29,38.0,12019,15954,75.3,221015,90163,5389,6210,86.8,4878,6031,80.9,1491,2803,53.2,35,30.8,27.4,+4.2,352,1003,249,95,1328
Cagliari,30,38.0,14474,18871,76.7,259925,100117,6404,7365,87.0,5553,6767,82.1,1797,3306,54.4,27,30.7,33.2,-3.7,321,978,281,105,1288
Chievo,36,38.0,12531,16525,75.8,231944,92500,5286,6104,86.6,5106,6235,81.9,1694,3130,54.1,17,25.6,21.2,-8.6,288,938,237,89,1229
Empoli,29,38.0,14608,18410,79.3,260654,95054,6476,7280,89.0,6067,7140,85.0,1643,2892,56.8,36,37.5,33.5,-1.5,332,1154,318,61,1567
Fiorentina,27,38.0,13307,17283,77.0,248794,92071,5250,6141,85.5,6020,7185,83.8,1635,2954,55.3,24,35.8,29.4,-11.8,440,1134,288,86,1544
Frosinone,33,38.0,11532,15608,73.9,215909,86944,4966,5773,86.0,4833,5943,81.3,1486,3006,49.4,21,27.1,21.8,-6.1,319,846,230,118,1220
Genoa,31,38.0,11171,15427,72.4,205811,84187,5013,5865,85.5,4299,5459,78.8,1476,3071,48.1,26,32.5,31.6,-6.5,389,981,305,92,1274
Inter,23,38.0,19523,23425,83.3,335617,113193,9129,10017,91.1,7633,8880,86.0,2045,3135,65.2,36,45.4,44.6,-9.4,494,1467,430,164,1917
Juventus,31,38.0,18333,21878,83.8,333644,104846,8003,8785,91.1,7564,8535,88.6,2247,3368,66.7,44,42.5,40.1,+1.5,474,1411,373,117,1853
Lazio,30,38.0,15807,19752,80.0,272374,99908,7504,8453,88.8,5935,7006,84.7,1751,2957,59.2,35,44.4,38.8,-9.4,477,1322,398,90,1737
Milan,23,38.0,17537,21047,83.3,305990,106870,8301,9101,91.2,7116,8146,87.4,1757,2888,60.8,35,35.6,31.9,-0.6,449,1284,349,98,1759
Napoli,26,38.0,21096,24763,85.2,345646,108898,10691,11567,92.4,7613,8584,88.7,1968,3072,64.1,54,49.4,42.0,+4.6,563,1607,404,78,2089
Parma,31,38.0,9920,13707,72.4,192103,82772,4120,4879,84.4,4043,5068,79.8,1490,2908,51.2,22,26.9,16.8,-4.9,244,779,164,45,990
Roma,26,38.0,15305,19082,80.2,274902,105832,6912,7787,88.8,5991,7080,84.6,1904,3105,61.3,41,46.2,38.2,-5.2,488,1241,371,117,1678
Sampdoria,24,38.0,17067,21032,81.1,278587,101876,8556,9554,89.6,6492,7604,85.4,1417,2597,54.6,41,34.1,33.5,+6.9,339,1328,343,74,1685
Sassuolo,29,38.0,16386,20009,81.9,282756,98616,7582,8414,90.1,6803,7791,87.3,1550,2702,57.4,33,34.1,28.2,-1.1,377,1183,257,64,1511
SPAL,28,38.0,14255,17829,80.0,242896,93003,6942,7682,90.4,5314,6268,84.8,1457,2703,53.9,30,28.2,23.9,+1.8,349,945,242,124,1259
Torino,25,38.0,12851,17064,75.3,237922,91472,5512,6452,85.4,5066,6276,80.7,1788,3181,56.2,31,32.0,28.1,-1.0,378,984,309,119,1407
Udinese,31,38.0,11520,15218,75.7,209065,82604,5214,6052,86.2,4343,5382,80.7,1526,2759,55.3,30,27.9,25.1,+2.1,342,774,234,77,1088
