Rk,Player,Nation,Pos,Squad,Age,Born,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG
1,Francesco Acerbi,ITA,DF,Lazio,31,1988,35.1,2,16,5,31.3,0.46,0.14,0.13,0.40,14.5,0,0,0,2.4,2.4,0.15,-0.4,-0.4
2,Bobby Adekanye,NED,FW,Lazio,20,1999,2.1,1,5,4,80.0,2.39,1.91,0.20,0.25,11.3,0,0,0,1.4,1.4,0.27,-0.4,-0.4
3,Claud Adjapong,ITA,DF,Hellas Verona,21,1998,2.6,0,3,1,33.3,1.17,0.39,0.00,0.00,14.1,0,0,0,0.2,0.2,0.08,-0.2,-0.2
4,Lucien Agoume,FRA,MF,Inter,17,2002,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
5,Kevin Agudelo,COL,MF|FW,Fiorentina,20,1998,0.7,0,4,0,0.0,5.63,0.00,0.00,,22.6,0,0,0,0.2,0.2,0.05,-0.2,-0.2
6,Kevin Agudelo,COL,MF|FW,Genoa,20,1998,7.4,1,10,2,20.0,1.35,0.27,0.10,0.50,17.4,0,0,0,1.2,1.2,0.12,-0.2,-0.2
7,Emmanuel Agyemang-Badu,GHA,MF,Hellas Verona,28,1990,2.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
8,Ola Aina,NGA,DF,Torino,22,1996,23.1,0,12,2,16.7,0.52,0.09,0.00,0.00,24.0,0,0,0,0.4,0.4,0.04,-0.4,-0.4
9,Luis Alberto,ESP,MF,Lazio,26,1992,34.6,6,97,27,27.8,2.80,0.78,0.05,0.19,21.6,11,1,1,6.6,5.8,0.06,-0.6,-0.8
10,Enrico Alfonso,ITA,GK,Brescia,31,1988,3.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
11,Allan,BRA,MF,Napoli,28,1991,14.2,2,12,7,58.3,0.84,0.49,0.17,0.29,21.1,0,0,0,0.5,0.5,0.05,+1.5,+1.5
12,Bruno Alves,POR,DF,Parma,37,1981,29.7,0,24,1,4.2,0.81,0.03,0.00,0.00,20.0,10,0,0,1.3,1.3,0.05,-1.3,-1.3
13,Sofyan Amrabat,MAR,MF,Hellas Verona,22,1996,32.4,1,18,6,33.3,0.55,0.18,0.00,0.00,22.7,0,1,1,2.0,1.3,0.07,-1.0,-1.3
14,Djavan Anderson,NED,FW|DF,Lazio,24,1995,1.9,0,1,0,0.0,0.54,0.00,0.00,,17.3,0,0,0,0.1,0.1,0.05,-0.1,-0.1
15,Lorenzo Andrenacci,ITA,GK,Brescia,24,1995,5.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
16,Peter Ankersen,DEN,DF,Genoa,28,1990,11.8,0,13,3,23.1,1.10,0.25,0.00,0.00,23.6,0,0,0,0.4,0.4,0.03,-0.4,-0.4
