Squad,# Pl,90s,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def
Atalanta,30,38.0,1242,32.68,938,91,67,75,51,20,170,4.47,120,8,10,16,12,4
Bologna,31,38.0,967,25.45,726,68,62,47,50,14,85,2.24,54,4,10,10,7,0
Brescia,32,38.0,725,19.08,482,88,27,50,70,8,58,1.53,36,8,0,6,7,1
Cagliari,33,38.0,771,20.29,574,71,50,32,32,12,82,2.16,61,5,3,6,4,3
Fiorentina,33,38.0,970,25.53,676,93,61,59,69,12,83,2.18,48,9,6,11,9,0
Genoa,34,38.0,754,19.84,540,59,41,51,48,15,80,2.11,53,4,5,6,10,2
Hellas Verona,30,38.0,766,20.16,562,70,42,56,31,5,77,2.03,51,5,7,6,7,1
Inter,29,38.0,1078,28.37,786,79,65,81,50,17,137,3.61,98,6,9,11,12,1
Juventus,30,38.0,1209,31.82,901,79,75,69,69,16,125,3.29,82,7,13,10,12,1
Lazio,27,38.0,1038,27.32,770,76,71,60,44,17,135,3.55,98,2,10,9,13,3
Lecce,30,38.0,935,24.61,711,79,38,45,51,11,93,2.45,55,8,7,9,12,2
Milan,32,38.0,1089,28.66,817,77,75,60,47,13,102,2.68,67,6,8,10,10,1
Napoli,25,38.0,1242,32.68,982,75,65,65,41,14,103,2.71,71,9,3,11,7,2
Parma,25,38.0,808,21.26,587,71,58,38,42,12,95,2.50,66,7,10,5,5,2
Roma,31,38.0,1133,29.82,801,101,78,76,57,20,128,3.37,90,7,9,11,11,0
Sampdoria,31,38.0,972,25.58,693,91,46,68,62,12,80,2.11,53,4,3,6,12,2
Sassuolo,31,38.0,968,25.47,721,57,65,59,50,16,116,3.05,82,2,13,11,8,0
SPAL,34,38.0,822,21.63,579,91,49,36,56,11,45,1.18,25,4,5,5,6,0
Torino,27,38.0,786,20.68,542,91,43,43,53,14,73,1.92,44,8,5,12,4,0
Udinese,25,38.0,826,21.74,628,69,48,37,32,12,61,1.61,43,4,6,4,1,3
