Squad,# Pl,90s,Goals GA,Goals PKA,Goals FK,Goals CK,Goals OG,Expected PSxG,Expected PSxG/SoT,Expected PSxG+/-,Expected /90,Launched Cmp,Launched Att,Launched Cmp%,Passes Att (GK),Passes Thr,Passes Launch%,Passes AvgLen,Goal Kicks Att,Goal Kicks Launch%,Goal Kicks AvgLen,Crosses Opp,Crosses Stp,Crosses Stp%,Sweeper #OPA,Sweeper #OPA/90,Sweeper AvgDist
Atalanta,3,38.0,48,6,2,4,3,41.9,0.26,-3.1,-0.08,175,410,42.7,892,194,29.4,34.0,235,63.0,48.7,366,8,2.2,67,1.76,18.1
Bologna,2,38.0,65,6,2,6,1,54.1,0.26,-9.9,-0.26,161,366,44.0,869,222,29.2,27.0,296,37.8,33.3,482,44,9.1,30,0.79,33.0
Brescia,3,38.0,79,9,1,9,3,69.0,0.26,-7.0,-0.19,170,467,36.4,731,218,42.0,31.8,365,43.8,38.1,682,20,2.9,17,0.45,10.1
Cagliari,3,38.0,56,7,0,3,3,52.3,0.23,-0.7,-0.02,188,541,34.8,750,154,48.1,40.2,362,49.7,40.0,665,23,3.5,15,0.39,10.1
Fiorentina,3,38.0,48,9,2,5,0,50.2,0.25,+2.2,+0.06,128,417,30.7,828,232,35.5,24.0,281,43.8,38.3,543,19,3.5,35,0.92,18.0
Genoa,2,38.0,73,7,3,7,2,65.8,0.29,-5.2,-0.14,190,542,35.1,1042,180,40.5,,341,35.2,34.7,593,26,4.4,19,0.50,
Hellas Verona,2,38.0,51,9,2,7,1,51.1,0.25,+1.1,+0.03,194,720,26.9,697,84,61.7,43.7,344,84.3,55.7,570,17,3.0,16,0.42,11.0
Inter,2,38.0,36,3,0,5,1,33.0,0.25,-2.0,-0.05,114,239,47.7,922,203,18.3,29.9,291,24.1,28.6,545,26,4.8,21,0.55,12.2
Juventus,3,38.0,43,9,1,3,0,44.7,0.22,+1.7,+0.04,94,191,49.2,715,197,21.3,25.1,251,15.5,24.8,464,14,3.0,44,1.16,13.6
Lazio,1,38.0,42,7,1,7,1,44.4,0.24,+3.4,+0.09,148,368,40.2,936,143,32.1,31.2,293,23.2,25.9,474,10,2.1,18,0.47,13.6
Lecce,2,38.0,85,11,1,10,3,79.1,0.27,-2.9,-0.08,145,363,39.9,745,221,31.7,32.2,375,33.9,30.6,687,29,4.2,18,0.47,12.0
Milan,3,38.0,46,5,1,4,1,45.6,0.24,+0.6,+0.02,188,430,43.7,932,189,32.2,34.9,278,46.8,36.9,506,29,5.7,39,1.03,12.0
Napoli,2,38.0,50,7,1,4,1,42.6,0.26,-6.4,-0.17,65,180,36.1,833,141,17.0,25.7,240,15.8,21.6,425,15,3.5,32,0.84,16.2
Parma,2,38.0,57,7,1,10,0,61.0,0.25,+4.0,+0.11,234,495,47.3,847,129,41.3,29.3,382,38.0,31.2,685,21,3.1,10,0.26,7.8
Roma,3,38.0,51,9,1,5,0,53.4,0.28,+2.4,+0.06,170,380,44.7,1012,209,29.4,31.4,249,32.9,33.8,470,11,2.3,53,1.39,18.2
Sampdoria,2,38.0,65,8,0,10,4,53.5,0.26,-7.5,-0.20,192,544,35.3,784,142,45.2,29.8,310,61.3,44.6,630,16,2.5,34,0.89,16.4
Sassuolo,3,38.0,63,8,1,9,4,54.7,0.26,-4.3,-0.11,108,307,35.2,932,172,26.1,24.8,261,24.5,25.9,537,21,3.9,38,1.00,18.8
SPAL,3,38.0,77,7,3,4,3,67.5,0.26,-6.5,-0.17,227,565,40.2,903,206,40.4,37.2,355,56.3,43.1,623,19,3.0,24,0.63,10.3
Torino,3,38.0,68,10,3,7,3,61.9,0.25,-3.1,-0.08,258,552,46.7,885,120,39.3,30.9,356,57.3,40.8,613,22,3.6,19,0.50,9.3
Udinese,1,38.0,51,8,2,4,0,52.1,0.22,+1.1,+0.03,184,421,43.7,812,171,34.5,32.7,358,39.4,34.1,581,25,4.3,20,0.53,11.6
