Squad,# Pl,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%
Atalanta,30,38.0,80,2,1,534,518,50,767,418,351,9,6,3,2145,624,500,55.5
Bologna,31,38.0,109,7,3,595,567,85,733,412,338,6,8,1,1903,644,666,49.2
Brescia,32,38.0,95,6,3,504,583,68,641,361,273,3,11,3,1768,498,602,45.3
Cagliari,33,38.0,108,6,3,534,449,56,762,337,338,3,9,3,1836,516,691,42.8
Fiorentina,33,38.0,105,5,3,546,500,50,726,347,333,8,11,0,1926,458,491,48.3
Genoa,34,38.0,107,10,5,571,514,57,723,385,335,12,9,2,1828,600,583,50.7
Hellas Verona,30,38.0,87,7,2,555,490,91,750,398,290,7,9,1,2146,718,783,47.8
Inter,29,38.0,104,6,3,563,450,96,790,370,287,10,4,1,1862,515,470,52.3
Juventus,30,38.0,87,3,2,508,486,73,698,370,318,10,12,0,1811,432,338,56.1
Lazio,27,38.0,99,2,1,462,399,71,741,378,311,12,9,1,1921,450,515,46.6
Lecce,30,38.0,98,5,2,469,490,67,711,383,293,10,13,3,1804,487,495,49.6
Milan,32,38.0,97,6,2,545,460,63,713,419,345,4,10,1,1928,538,507,51.5
Napoli,25,38.0,73,2,0,421,523,54,813,330,295,2,8,1,1958,384,374,50.7
Parma,25,38.0,81,1,0,519,467,60,597,394,348,4,11,0,1871,540,463,53.8
Roma,31,38.0,111,7,4,541,435,45,781,400,303,7,10,0,1852,530,415,56.1
Sampdoria,31,38.0,111,7,5,563,459,63,814,396,354,10,9,4,1928,588,625,48.5
Sassuolo,31,38.0,99,3,1,498,560,64,562,348,332,4,9,4,1812,341,385,47.0
SPAL,34,38.0,98,4,1,541,525,53,693,394,327,6,8,3,1718,552,520,51.5
Torino,27,38.0,96,7,5,606,539,63,756,495,314,3,11,3,2048,699,640,52.2
Udinese,25,38.0,77,3,2,506,414,65,730,375,340,0,10,0,1888,483,534,47.5
