Squad,# Pl,Age,Playing Time MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90
Atalanta,30,27.2,38,3420,90,100,38.0,418,82,,134,23,268,2.05,98,48,+50,+1.32,83.5,41.3,+42.2,+1.11
Bologna,31,27.2,38,3420,90,100,38.0,418,83,,136,20,274,1.24,52,65,-13,-0.34,56.9,54.8,+2.0,+0.05
Brescia,32,25.6,38,3420,90,100,38.0,418,83,,121,23,235,0.66,35,79,-44,-1.16,43.4,74.5,-31.2,-0.82
Cagliari,33,27.4,38,3420,90,100,38.0,418,83,,129,21,298,1.18,52,56,-4,-0.11,41.8,59.0,-17.2,-0.45
Fiorentina,33,25.1,38,3420,90,100,38.0,418,83,,129,21,323,1.29,51,48,+3,+0.08,53.6,48.9,+4.7,+0.12
Genoa,34,26.8,38,3420,90,100,38.0,418,82,,135,23,305,1.03,47,73,-26,-0.68,48.7,60.0,-11.3,-0.30
Hellas Verona,30,26.1,38,3420,90,100,38.0,418,83,,128,22,320,1.29,47,51,-4,-0.11,50.5,53.7,-3.2,-0.08
Inter,29,27.7,38,3420,90,100,38.0,418,84,,134,18,298,2.16,81,36,+45,+1.18,69.4,40.7,+28.7,+0.76
Juventus,30,28.6,38,3420,90,100,38.0,418,82,,127,25,272,2.18,76,43,+33,+0.87,71.1,44.9,+26.1,+0.69
Lazio,27,27.9,38,3420,90,100,38.0,418,83,,137,22,307,2.05,79,42,+37,+0.97,68.0,51.1,+16.9,+0.44
Lecce,30,28.7,38,3420,90,100,38.0,418,82,,120,26,325,0.92,52,85,-33,-0.87,54.7,85.6,-30.8,-0.81
Milan,32,24.6,38,3420,90,100,38.0,418,82,,128,25,302,1.74,63,46,+17,+0.45,62.8,45.1,+17.6,+0.46
Napoli,25,26.9,38,3420,90,100,38.0,418,83,,135,21,277,1.63,61,50,+11,+0.29,61.7,44.7,+16.9,+0.45
Parma,25,28.8,38,3420,90,100,38.0,418,83,,136,22,244,1.29,56,57,-1,-0.03,48.4,64.3,-15.9,-0.42
Roma,31,26.9,38,3420,90,100,38.0,418,83,,131,21,272,1.84,77,51,+26,+0.68,73.2,49.4,+23.9,+0.63
Sampdoria,31,26.0,38,3420,90,100,38.0,418,82,,127,24,321,1.11,48,65,-17,-0.45,50.2,54.9,-4.7,-0.12
Sassuolo,31,26.4,38,3420,90,100,38.0,418,83,,138,21,306,1.34,69,63,+6,+0.16,52.9,62.0,-9.2,-0.24
SPAL,34,27.5,38,3420,90,100,38.0,418,83,,129,22,307,0.53,27,77,-50,-1.32,40.7,68.6,-27.9,-0.73
Torino,27,27.3,38,3420,90,100,38.0,418,84,,118,21,277,1.05,46,68,-22,-0.58,44.8,60.8,-16.0,-0.42
Udinese,25,26.5,38,3420,90,100,38.0,418,84,,124,19,299,1.18,37,51,-14,-0.37,41.6,53.4,-11.8,-0.31
